"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ORD",2018,5,710,-6,1101,-14,0,"","American Airlines Inc. "
"ORD",2018,7,1318,-1,1724,-21,0,"","American Airlines Inc. "
"ORD",2018,11,1304,42,1700,17,0,"","American Airlines Inc. "
"ORD",2018,8,1319,-2,1725,-15,0,"","American Airlines Inc. "
"ORD",2018,3,705,10,1058,-8,0,"","American Airlines Inc. "
"ORD",2018,5,710,82,1101,74,0,"","American Airlines Inc. "
"DFW",2018,9,507,11,755,9,0,"","American Airlines Inc. "
"ORD",2018,8,1319,0,1725,-5,0,"","American Airlines Inc. "
"DFW",2018,8,1044,-2,1334,-11,0,"","American Airlines Inc. "
"ORD",2018,4,710,-7,1102,3,0,"","American Airlines Inc. "
"ORD",2018,4,1325,-4,1726,-13,0,"","American Airlines Inc. "
"DFW",2018,6,834,-8,1124,-10,0,"","American Airlines Inc. "
"DFW",2018,1,830,-10,1117,-13,0,"","American Airlines Inc. "
"DFW",2018,5,1035,77,1321,73,0,"","American Airlines Inc. "
"ORD",2018,10,1322,9,1724,16,0,"","American Airlines Inc. "
"ORD",2018,10,702,-5,1054,0,0,"","American Airlines Inc. "
"ORD",2018,7,703,-4,1103,-16,0,"","American Airlines Inc. "
"PHX",2018,10,853,155,921,142,0,"","American Airlines Inc. "
"DFW",2018,12,828,6,1115,-11,0,"","American Airlines Inc. "
"DFW",2018,1,830,0,1117,-5,0,"","American Airlines Inc. "
"ORD",2018,12,1304,7,1700,4,0,"","American Airlines Inc. "
"ORD",2018,3,705,-6,1058,-25,0,"","American Airlines Inc. "
"ORD",2018,5,710,0,1101,-5,0,"","American Airlines Inc. "
"DFW",2018,4,1629,-13,1918,-20,0,"","American Airlines Inc. "
"DFW",2018,6,1452,116,1744,103,0,"","American Airlines Inc. "
"ORD",2018,6,706,-3,1103,8,0,"","American Airlines Inc. "
"ORD",2018,10,702,-5,1054,-21,0,"","American Airlines Inc. "
"ORD",2018,7,703,-5,1103,-6,0,"","American Airlines Inc. "
"DFW",2018,7,1822,18,2114,17,0,"","American Airlines Inc. "
"DFW",2018,5,505,-4,750,-13,0,"","American Airlines Inc. "
"ORD",2018,8,701,-8,1053,7,0,"","American Airlines Inc. "
"DFW",2018,9,1452,17,1744,-2,0,"","American Airlines Inc. "
"DFW",2018,5,1050,-12,1335,-16,0,"","American Airlines Inc. "
"ORD",2018,1,705,-9,1058,-11,0,"","American Airlines Inc. "
"ORD",2018,5,710,-2,1102,-21,0,"","American Airlines Inc. "
"ORD",2018,3,705,-3,1058,-7,0,"","American Airlines Inc. "
"ORD",2018,4,710,-11,1102,-20,0,"","American Airlines Inc. "
"PHX",2018,2,1210,-9,1335,-27,0,"","American Airlines Inc. "
"ORD",2018,4,1325,4,1726,-9,0,"","American Airlines Inc. "
"DFW",2018,6,840,9,1126,3,0,"","American Airlines Inc. "
"ORD",2018,8,703,-6,1103,-10,0,"","American Airlines Inc. "
"ORD",2018,1,705,-6,1058,0,0,"","American Airlines Inc. "
"ORD",2018,5,710,101,1101,121,0,"","American Airlines Inc. "
"DFW",2018,9,1052,71,1340,56,0,"","American Airlines Inc. "
"PHX",2018,10,1527,-7,1550,-14,0,"","American Airlines Inc. "
"DFW",2018,9,1824,6,2114,14,0,"","American Airlines Inc. "
"DFW",2018,9,835,-3,1124,17,0,"","American Airlines Inc. "
"ORD",2018,11,1304,0,1700,-13,0,"","American Airlines Inc. "
"ORD",2018,11,1304,-3,1700,-18,0,"","American Airlines Inc. "
"ORD",2018,11,1304,16,1700,-1,0,"","American Airlines Inc. "
"ORD",2018,4,1325,5,1726,23,0,"","American Airlines Inc. "
"ORD",2018,4,1325,83,1726,81,0,"","American Airlines Inc. "
"DFW",2018,8,1044,5,1334,1,0,"","American Airlines Inc. "
"ORD",2018,11,700,-5,1055,-5,0,"","American Airlines Inc. "
"ORD",2018,7,703,NA,1103,NA,1,"Airline","American Airlines Inc. "
"ORD",2018,6,710,-6,1101,-8,0,"","American Airlines Inc. "
"DFW",2018,8,1822,38,2114,35,0,"","American Airlines Inc. "
"DFW",2018,6,840,-7,1126,-28,0,"","American Airlines Inc. "
"DFW",2018,9,1830,-7,2120,-26,0,"","American Airlines Inc. "
"ORD",2018,5,710,-6,1101,-10,0,"","American Airlines Inc. "
"ORD",2018,6,1335,-3,1735,-14,0,"","American Airlines Inc. "
"DFW",2018,8,833,-5,1124,-11,0,"","American Airlines Inc. "
"ORD",2018,10,1322,-10,1724,-18,0,"","American Airlines Inc. "
"ORD",2018,6,1321,30,1725,5,0,"","American Airlines Inc. "
"DFW",2018,10,1633,-2,1924,-8,0,"","American Airlines Inc. "
"DFW",2018,10,507,3,755,9,0,"","American Airlines Inc. "
"ORD",2018,1,705,-9,1058,-19,0,"","American Airlines Inc. "
"ORD",2018,6,1335,-6,1735,-22,0,"","American Airlines Inc. "
"ORD",2018,12,1304,99,1700,72,0,"","American Airlines Inc. "
"ORD",2018,6,706,6,1103,58,0,"","American Airlines Inc. "
"ORD",2018,8,701,-4,1053,6,0,"","American Airlines Inc. "
"DFW",2018,2,830,38,1117,37,0,"","American Airlines Inc. "
"DFW",2018,8,507,-7,755,-23,0,"","American Airlines Inc. "
"DFW",2018,6,1823,-8,2114,-16,0,"","American Airlines Inc. "
"DFW",2018,11,1056,-9,1340,-8,0,"","American Airlines Inc. "
"ORD",2018,4,705,-5,1058,-19,0,"","American Airlines Inc. "
"DFW",2018,9,835,-3,1124,-4,0,"","American Airlines Inc. "
