"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,2,630,NA,729,3,0,"","Endeavor Air Inc. "
"ATL",2018,2,1202,-6,1304,-4,0,"","Endeavor Air Inc. "
"ATL",2018,4,1150,7,1251,29,0,"","Endeavor Air Inc. "
"ATL",2018,4,1755,-2,1856,1,0,"","Endeavor Air Inc. "
"ATL",2018,5,1756,32,1858,38,0,"","Endeavor Air Inc. "
"ATL",2018,5,1159,-4,1258,14,0,"","Endeavor Air Inc. "
"ATL",2018,1,630,86,729,92,0,"","Endeavor Air Inc. "
"ATL",2018,1,1202,-5,1304,-8,0,"","Endeavor Air Inc. "
"ATL",2018,2,1155,122,1256,109,0,"","Endeavor Air Inc. "
"ATL",2018,2,630,-12,728,-12,0,"","Endeavor Air Inc. "
"ATL",2018,6,1756,85,1858,81,0,"","Endeavor Air Inc. "
"ATL",2018,9,1146,13,1249,5,0,"","Endeavor Air Inc. "
"ATL",2018,1,1202,-9,1304,-2,0,"","Endeavor Air Inc. "
"ATL",2018,2,1400,-7,1500,-10,0,"","Endeavor Air Inc. "
"ATL",2018,5,630,-9,726,2,0,"","Endeavor Air Inc. "
"ATL",2018,3,1755,-6,1856,5,0,"","Endeavor Air Inc. "
"ATL",2018,9,630,-6,729,-3,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,-5,729,4,0,"","Endeavor Air Inc. "
"ATL",2018,1,630,-13,729,-23,0,"","Endeavor Air Inc. "
"ATL",2018,4,1150,3,1251,22,0,"","Endeavor Air Inc. "
"ATL",2018,6,630,-4,726,NA,0,"","Endeavor Air Inc. "
"ATL",2018,9,630,-12,729,-10,0,"","Endeavor Air Inc. "
"ATL",2018,2,1759,-9,1907,-15,0,"","Endeavor Air Inc. "
"ATL",2018,9,1759,0,1901,-2,0,"","Endeavor Air Inc. "
"ATL",2018,2,1759,55,1907,43,0,"","Endeavor Air Inc. "
"ATL",2018,5,1159,-3,1258,11,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,-7,729,-8,0,"","Endeavor Air Inc. "
"ATL",2018,6,1756,-5,1858,-9,0,"","Endeavor Air Inc. "
"ATL",2018,1,1202,-15,1304,-5,0,"","Endeavor Air Inc. "
"ATL",2018,2,630,-14,729,-24,0,"","Endeavor Air Inc. "
"ATL",2018,3,630,-9,730,-8,0,"","Endeavor Air Inc. "
"ATL",2018,1,1202,-9,1304,-9,0,"","Endeavor Air Inc. "
"ATL",2018,4,1750,-7,1856,-5,0,"","Endeavor Air Inc. "
"ATL",2018,3,1755,-5,1856,-14,0,"","Endeavor Air Inc. "
"ATL",2018,2,1155,-5,1256,4,0,"","Endeavor Air Inc. "
"ATL",2018,5,1756,9,1858,-1,0,"","Endeavor Air Inc. "
"ATL",2018,3,630,164,729,164,0,"","Endeavor Air Inc. "
"ATL",2018,5,630,-7,726,-4,0,"","Endeavor Air Inc. "
"ATL",2018,9,630,-7,729,2,0,"","Endeavor Air Inc. "
"ATL",2018,9,1146,-6,1249,18,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,-7,1907,-12,0,"","Endeavor Air Inc. "
"ATL",2018,3,630,219,729,217,0,"","Endeavor Air Inc. "
"ATL",2018,5,630,-9,726,-13,0,"","Endeavor Air Inc. "
"ATL",2018,9,1146,-5,1249,10,0,"","Endeavor Air Inc. "
"ATL",2018,6,1756,-11,1858,-7,0,"","Endeavor Air Inc. "
"ATL",2018,9,630,0,729,-13,0,"","Endeavor Air Inc. "
"ATL",2018,9,630,-11,729,-13,0,"","Endeavor Air Inc. "
"ATL",2018,2,1155,21,1256,21,0,"","Endeavor Air Inc. "
"ATL",2018,1,1202,-5,1304,-6,0,"","Endeavor Air Inc. "
"ATL",2018,9,1759,-5,1901,-5,0,"","Endeavor Air Inc. "
"ATL",2018,2,1155,13,1256,12,0,"","Endeavor Air Inc. "
"ATL",2018,5,1756,-2,1858,-9,0,"","Endeavor Air Inc. "
"ATL",2018,1,630,-7,729,-3,0,"","Endeavor Air Inc. "
"ATL",2018,3,630,-3,730,-11,0,"","Endeavor Air Inc. "
"ATL",2018,3,1755,20,1856,24,0,"","Endeavor Air Inc. "
"ATL",2018,2,630,-5,728,-16,0,"","Endeavor Air Inc. "
"ATL",2018,4,1750,-6,1856,-13,0,"","Endeavor Air Inc. "
"ATL",2018,6,1159,-8,1258,-10,0,"","Endeavor Air Inc. "
"ATL",2018,3,1152,-2,1248,28,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,-15,1907,-27,0,"","Endeavor Air Inc. "
"ATL",2018,5,630,-16,726,-20,0,"","Endeavor Air Inc. "
"ATL",2018,2,630,30,728,31,0,"","Endeavor Air Inc. "
"ATL",2018,5,1159,-14,1258,3,0,"","Endeavor Air Inc. "
"ATL",2018,4,1400,-10,1500,-12,0,"","Endeavor Air Inc. "
"ATL",2018,5,1756,24,1858,14,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,-6,1907,-7,0,"","Endeavor Air Inc. "
"ATL",2018,4,1150,-1,1251,6,0,"","Endeavor Air Inc. "
"ATL",2018,6,1159,-10,1258,-18,0,"","Endeavor Air Inc. "
"ATL",2018,5,1159,-5,1258,5,0,"","Endeavor Air Inc. "
"ATL",2018,9,1500,-5,1603,-17,0,"","Endeavor Air Inc. "
"ATL",2018,2,1759,-9,1907,6,0,"","Endeavor Air Inc. "
"ATL",2018,9,630,-7,729,-22,0,"","Endeavor Air Inc. "
"ATL",2018,5,630,-9,725,-12,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,-7,1907,-21,0,"","Endeavor Air Inc. "
"ATL",2018,2,630,-9,728,-11,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,-6,728,-10,0,"","Endeavor Air Inc. "
"ATL",2018,9,630,150,729,156,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,-16,729,-5,0,"","Endeavor Air Inc. "
"ATL",2018,1,630,-7,729,-9,0,"","Endeavor Air Inc. "
"ATL",2018,3,1755,-4,1856,NA,0,"","Endeavor Air Inc. "
"ATL",2018,9,1146,-2,1249,13,0,"","Endeavor Air Inc. "
"ATL",2018,5,630,-6,726,-9,0,"","Endeavor Air Inc. "
"ATL",2018,4,1150,-10,1251,-5,0,"","Endeavor Air Inc. "
"ATL",2018,2,630,-1,729,-4,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,-6,1907,-10,0,"","Endeavor Air Inc. "
"ATL",2018,5,1159,-5,1258,-8,0,"","Endeavor Air Inc. "
"ATL",2018,6,630,-6,726,-9,0,"","Endeavor Air Inc. "
"ATL",2018,3,630,44,730,49,0,"","Endeavor Air Inc. "
"ATL",2018,9,1500,-1,1602,-6,0,"","Endeavor Air Inc. "
"ATL",2018,3,630,-2,729,-6,0,"","Endeavor Air Inc. "
"ATL",2018,9,1500,-6,1602,-18,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,-15,729,-13,0,"","Endeavor Air Inc. "
"ATL",2018,2,1155,-5,1256,12,0,"","Endeavor Air Inc. "
"ATL",2018,3,630,-6,730,NA,0,"","Endeavor Air Inc. "
"ATL",2018,3,1152,-4,1248,-1,0,"","Endeavor Air Inc. "
"ATL",2018,2,630,-5,729,-9,0,"","Endeavor Air Inc. "
"ATL",2018,4,1750,-12,1856,-7,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,-5,1907,-14,0,"","Endeavor Air Inc. "
"ATL",2018,6,630,-5,725,4,0,"","Endeavor Air Inc. "
"ATL",2018,2,1155,-4,1256,8,0,"","Endeavor Air Inc. "
"ATL",2018,2,1755,-2,1859,11,0,"","Endeavor Air Inc. "
"ATL",2018,3,1152,9,1248,14,0,"","Endeavor Air Inc. "
"ATL",2018,9,1759,-4,1901,-14,0,"","Endeavor Air Inc. "
"ATL",2018,1,630,2,729,1,0,"","Endeavor Air Inc. "
"ATL",2018,9,630,-8,729,4,0,"","Endeavor Air Inc. "
"ATL",2018,2,1755,-2,1859,10,0,"","Endeavor Air Inc. "
"ATL",2018,5,1756,-1,1858,-6,0,"","Endeavor Air Inc. "
"ATL",2018,2,1759,-8,1907,-8,0,"","Endeavor Air Inc. "
"ATL",2018,5,1159,-8,1258,NA,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,NA,1907,NA,1,"National Air System","Endeavor Air Inc. "
"ATL",2018,4,1750,-4,1856,6,0,"","Endeavor Air Inc. "
"ATL",2018,3,1152,-5,1248,-3,0,"","Endeavor Air Inc. "
"ATL",2018,5,630,997,726,992,0,"","Endeavor Air Inc. "
"ATL",2018,4,1150,-6,1251,-12,0,"","Endeavor Air Inc. "
"ATL",2018,6,630,-11,726,-17,0,"","Endeavor Air Inc. "
"ATL",2018,5,1756,162,1858,178,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,NA,1907,-2,0,"","Endeavor Air Inc. "
"ATL",2018,1,1759,47,1907,48,0,"","Endeavor Air Inc. "
"ATL",2018,9,1759,-3,1901,3,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,-3,729,-10,0,"","Endeavor Air Inc. "
"ATL",2018,9,1759,59,1901,52,0,"","Endeavor Air Inc. "
"ATL",2018,4,1150,60,1251,60,0,"","Endeavor Air Inc. "
"ATL",2018,5,1756,-5,1858,14,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,-10,730,-13,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,-12,729,-26,0,"","Endeavor Air Inc. "
"ATL",2018,3,1152,-3,1248,12,0,"","Endeavor Air Inc. "
"ATL",2018,5,1159,-7,1258,-5,0,"","Endeavor Air Inc. "
"ATL",2018,5,630,-4,726,-5,0,"","Endeavor Air Inc. "
"ATL",2018,9,1146,3,1249,6,0,"","Endeavor Air Inc. "
"ATL",2018,4,630,17,729,33,0,"","Endeavor Air Inc. "
"ATL",2018,2,1759,24,1907,34,0,"","Endeavor Air Inc. "
"ATL",2018,1,1202,650,1304,641,0,"","Endeavor Air Inc. "
"ATL",2018,1,1202,2,1304,-1,0,"","Endeavor Air Inc. "
"ATL",2018,5,1159,12,1258,11,0,"","Endeavor Air Inc. "
"ATL",2018,1,700,-4,803,-12,0,"","Endeavor Air Inc. "
"ATL",2018,3,1755,16,1856,16,0,"","Endeavor Air Inc. "
