"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DFW",2018,4,1303,-1,1353,-11,0,"","Envoy Air "
"DFW",2018,4,1849,-5,1945,-8,0,"","Envoy Air "
"DFW",2018,7,1843,-5,1940,-18,0,"","Envoy Air "
"DFW",2018,7,523,-10,615,-10,0,"","Envoy Air "
"DFW",2018,7,1017,-10,1113,-17,0,"","Envoy Air "
"DFW",2018,5,1013,3,1108,24,0,"","Envoy Air "
"DFW",2018,6,1308,-8,1400,-12,0,"","Envoy Air "
"DFW",2018,1,1847,-9,1945,-14,0,"","Envoy Air "
"DFW",2018,5,515,-1,604,-6,0,"","Envoy Air "
"DFW",2018,9,1031,-2,1123,22,0,"","Envoy Air "
"DFW",2018,11,1649,-8,1739,-18,0,"","Envoy Air "
"DFW",2018,6,1847,-3,1945,-16,0,"","Envoy Air "
"DFW",2018,9,524,-7,615,2,0,"","Envoy Air "
"DFW",2018,12,1353,-7,1446,-3,0,"","Envoy Air "
"DFW",2018,4,535,-5,624,-11,0,"","Envoy Air "
"DFW",2018,5,1013,-6,1108,-13,0,"","Envoy Air "
"DFW",2018,3,520,0,611,-5,0,"","Envoy Air "
"DFW",2018,3,1020,-12,1115,-18,0,"","Envoy Air "
"DFW",2018,10,1848,-13,1945,-8,0,"","Envoy Air "
"DFW",2018,1,520,-7,611,-4,0,"","Envoy Air "
"DFW",2018,8,1842,-5,1940,-21,0,"","Envoy Air "
"DFW",2018,12,1353,-12,1446,-24,0,"","Envoy Air "
"DFW",2018,1,520,-8,611,-17,0,"","Envoy Air "
"DFW",2018,5,1310,-12,1400,-15,0,"","Envoy Air "
"DFW",2018,3,1340,28,1432,17,0,"","Envoy Air "
"DFW",2018,5,1310,0,1400,-9,0,"","Envoy Air "
"DFW",2018,2,1847,-11,1945,-25,0,"","Envoy Air "
"DFW",2018,11,526,-3,615,-7,0,"","Envoy Air "
"DFW",2018,5,1840,-6,1936,-8,0,"","Envoy Air "
"DFW",2018,2,1847,12,1945,12,0,"","Envoy Air "
"DFW",2018,1,1015,-3,1110,-13,0,"","Envoy Air "
"DFW",2018,1,1847,-8,1945,-20,0,"","Envoy Air "
"DFW",2018,7,1843,17,1940,11,0,"","Envoy Air "
"DFW",2018,3,1847,-1,1945,-10,0,"","Envoy Air "
"DFW",2018,10,1848,-11,1945,-7,0,"","Envoy Air "
"DFW",2018,6,515,-3,604,-5,0,"","Envoy Air "
"DFW",2018,6,1310,-12,1400,-12,0,"","Envoy Air "
"DFW",2018,4,1849,NA,1945,NA,1,"Weather","Envoy Air "
