"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DFW",2018,1,800,-1,931,-8,0,"","American Airlines Inc. "
"DFW",2018,1,1635,-11,1758,-19,0,"","American Airlines Inc. "
"IAH",2018,6,1155,-11,1334,-10,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,1700,-1,1844,0,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,710,-10,859,-18,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,1700,-16,1844,-22,0,"","ExpressJet Airlines Inc. "
"IAH",2018,10,700,-10,841,6,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,1205,-3,1348,-12,0,"","ExpressJet Airlines Inc. "
"IAH",2018,9,1155,-7,1338,NA,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,710,38,900,17,0,"","ExpressJet Airlines Inc. "
"IAH",2018,7,1700,-10,1845,-12,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,710,-12,900,-29,0,"","ExpressJet Airlines Inc. "
"IAH",2018,6,705,-7,851,-9,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,1700,-5,1844,-15,0,"","ExpressJet Airlines Inc. "
"IAH",2018,8,1700,-13,1845,-25,0,"","ExpressJet Airlines Inc. "
"IAH",2018,11,1155,8,1339,26,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,710,-12,900,-17,0,"","ExpressJet Airlines Inc. "
"IAH",2018,6,1155,-13,1334,-17,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,1700,-4,1845,-14,0,"","ExpressJet Airlines Inc. "
"IAH",2018,8,1155,-15,1338,-23,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,1205,-10,1348,-26,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,1700,-10,1844,-10,0,"","ExpressJet Airlines Inc. "
"IAH",2018,1,1700,-5,1844,-21,0,"","ExpressJet Airlines Inc. "
"IAH",2018,11,1155,-10,1339,-23,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,655,-6,846,-20,0,"","ExpressJet Airlines Inc. "
"IAH",2018,7,700,15,846,4,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,1205,-8,1349,-24,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,1205,80,1350,80,0,"","ExpressJet Airlines Inc. "
"IAH",2018,10,1710,-10,1851,-11,0,"","ExpressJet Airlines Inc. "
"IAH",2018,10,1710,0,1851,-4,0,"","ExpressJet Airlines Inc. "
"IAH",2018,10,1155,-8,1338,-15,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,710,-10,900,-17,0,"","ExpressJet Airlines Inc. "
"IAH",2018,1,655,35,846,19,0,"","ExpressJet Airlines Inc. "
"IAH",2018,11,700,-3,842,24,0,"","ExpressJet Airlines Inc. "
"IAH",2018,9,700,NA,841,NA,1,"Weather","ExpressJet Airlines Inc. "
"IAH",2018,9,1700,-5,1841,-13,0,"","ExpressJet Airlines Inc. "
"IAH",2018,10,1155,-10,1338,-16,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,1700,-12,1842,-19,0,"","ExpressJet Airlines Inc. "
"IAH",2018,11,1155,82,1339,62,0,"","ExpressJet Airlines Inc. "
"IAH",2018,7,1700,1,1845,4,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,1205,-10,1348,-25,0,"","ExpressJet Airlines Inc. "
"IAH",2018,6,1700,-11,1845,-12,0,"","ExpressJet Airlines Inc. "
"IAH",2018,8,1700,-10,1841,-10,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,1700,-1,1844,-4,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,1700,-9,1844,-6,0,"","ExpressJet Airlines Inc. "
"IAH",2018,1,655,-13,846,-15,0,"","ExpressJet Airlines Inc. "
"IAH",2018,5,1700,-6,1845,-7,0,"","ExpressJet Airlines Inc. "
"IAH",2018,7,700,-4,846,-5,0,"","ExpressJet Airlines Inc. "
"IAH",2018,1,655,-15,846,-30,0,"","ExpressJet Airlines Inc. "
