"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"PHL",2018,12,538,NA,729,NA,1,"Weather","PSA Airlines Inc. "
"PHL",2018,12,538,10,729,-17,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,65,1344,68,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,-2,729,-4,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,227,729,179,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,13,1344,-11,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,78,1344,72,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,6,729,-31,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,41,1344,16,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,161,1344,154,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,43,1344,32,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,0,729,-21,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,-3,729,-15,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,17,729,-23,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,45,1344,22,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,15,1344,25,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,27,729,1,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,37,729,-4,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,36,1344,21,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,6,1344,-9,0,"","PSA Airlines Inc. "
"PHL",2018,12,801,-2,945,-5,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,35,1344,15,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,0,1344,-31,0,"","PSA Airlines Inc. "
"PHL",2018,12,1215,4,1344,-14,0,"","PSA Airlines Inc. "
"PHL",2018,12,538,13,729,-5,0,"","PSA Airlines Inc. "
