"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"SEA",2018,1,600,-4,655,1,0,"","Alaska Airlines Inc. "
"SEA",2018,5,605,-11,649,4,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,1,655,1,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,-3,655,-8,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-10,707,8,0,"","Alaska Airlines Inc. "
"SEA",2018,11,600,-11,648,5,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-15,707,-30,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,23,655,12,0,"","Alaska Airlines Inc. "
"OGG",2018,2,710,-1,1155,-36,0,"","Alaska Airlines Inc. "
"SEA",2018,11,600,-10,648,-14,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-12,707,-4,0,"","Alaska Airlines Inc. "
"SEA",2018,3,605,-15,652,-9,0,"","Alaska Airlines Inc. "
"OGG",2018,2,910,-4,1355,-48,0,"","Alaska Airlines Inc. "
"SEA",2018,12,1945,10,2028,15,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-8,707,-25,0,"","Alaska Airlines Inc. "
"SEA",2018,11,1945,31,2028,33,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,-4,655,14,0,"","Alaska Airlines Inc. "
"OGG",2018,3,910,-7,1355,-56,0,"","Alaska Airlines Inc. "
"OGG",2018,2,910,3,1355,-21,0,"","Alaska Airlines Inc. "
"KOA",2018,11,930,0,1425,-26,0,"","Alaska Airlines Inc. "
"SEA",2018,3,605,-9,652,21,0,"","Alaska Airlines Inc. "
"OGG",2018,2,710,-9,1155,-40,0,"","Alaska Airlines Inc. "
"KOA",2018,1,810,-7,1255,-17,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,336,655,330,0,"","Alaska Airlines Inc. "
"SEA",2018,3,600,-6,655,-18,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,4,657,12,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,-3,653,14,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,-3,655,1,0,"","Alaska Airlines Inc. "
"SEA",2018,5,605,-11,649,-6,0,"","Alaska Airlines Inc. "
"SEA",2018,5,605,-7,649,-6,0,"","Alaska Airlines Inc. "
"OGG",2018,12,1025,-8,1505,-30,0,"","Alaska Airlines Inc. "
"SEA",2018,5,605,-4,649,-1,0,"","Alaska Airlines Inc. "
"OGG",2018,11,1050,-8,1504,-15,0,"","Alaska Airlines Inc. "
"KOA",2018,1,810,1,1255,-13,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,-5,655,-15,0,"","Alaska Airlines Inc. "
"SEA",2018,3,605,-8,652,9,0,"","Alaska Airlines Inc. "
"OGG",2018,1,910,-5,1340,-62,0,"","Alaska Airlines Inc. "
"OGG",2018,2,905,-6,1350,-66,0,"","Alaska Airlines Inc. "
"OGG",2018,1,905,2,1348,-15,0,"","Alaska Airlines Inc. "
"OGG",2018,12,1025,1,1505,-30,0,"","Alaska Airlines Inc. "
"SEA",2018,3,605,0,652,6,0,"","Alaska Airlines Inc. "
"KOA",2018,12,930,-5,1425,-18,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,-20,652,-5,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-5,707,9,0,"","Alaska Airlines Inc. "
"SEA",2018,1,610,2,707,13,0,"","Alaska Airlines Inc. "
"SEA",2018,5,605,-8,653,3,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,-8,655,-15,0,"","Alaska Airlines Inc. "
"OGG",2018,1,910,-10,1353,-26,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,4,655,12,0,"","Alaska Airlines Inc. "
"KOA",2018,1,810,-13,1255,22,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,-15,652,37,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,22,655,11,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,-12,653,-9,0,"","Alaska Airlines Inc. "
"SEA",2018,5,605,8,649,9,0,"","Alaska Airlines Inc. "
"KOA",2018,11,930,2,1425,-56,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,-3,655,-11,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,9,655,12,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,-7,655,-15,0,"","Alaska Airlines Inc. "
"OGG",2018,3,905,-6,1246,-34,0,"","Alaska Airlines Inc. "
"OGG",2018,3,905,1,1350,-53,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-5,707,-32,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,5,652,18,0,"","Alaska Airlines Inc. "
"OGG",2018,1,710,-2,1156,-34,0,"","Alaska Airlines Inc. "
"SEA",2018,11,600,311,648,327,0,"","Alaska Airlines Inc. "
"KOA",2018,3,822,-4,1145,18,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-10,707,-25,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-6,648,-5,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,1,707,14,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,4,653,10,0,"","Alaska Airlines Inc. "
"KOA",2018,3,810,-8,1255,-10,0,"","Alaska Airlines Inc. "
"OGG",2018,2,905,-3,1350,-48,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,-1,655,3,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,7,707,-2,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,-2,655,2,0,"","Alaska Airlines Inc. "
"OGG",2018,1,710,-14,1156,-28,0,"","Alaska Airlines Inc. "
"SEA",2018,5,605,-18,649,-10,0,"","Alaska Airlines Inc. "
"SEA",2018,3,600,-8,655,8,0,"","Alaska Airlines Inc. "
"SEA",2018,3,605,16,652,16,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,-15,653,-13,0,"","Alaska Airlines Inc. "
"OGG",2018,3,905,-1,1246,-69,0,"","Alaska Airlines Inc. "
"SEA",2018,5,605,-6,653,13,0,"","Alaska Airlines Inc. "
"KOA",2018,11,930,-14,1425,-62,0,"","Alaska Airlines Inc. "
"OGG",2018,2,905,-10,1350,-47,0,"","Alaska Airlines Inc. "
"OGG",2018,11,1050,-9,1504,NA,0,"","Alaska Airlines Inc. "
"SEA",2018,11,600,-9,648,10,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,4,655,-12,0,"","Alaska Airlines Inc. "
"SEA",2018,12,600,-8,707,-29,0,"","Alaska Airlines Inc. "
"OGG",2018,3,905,2,1246,-46,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,-6,652,17,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,5,655,2,0,"","Alaska Airlines Inc. "
"SEA",2018,11,600,-4,648,-5,0,"","Alaska Airlines Inc. "
"OGG",2018,3,905,-6,1246,-45,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,6,657,28,0,"","Alaska Airlines Inc. "
"SEA",2018,3,605,-8,652,-8,0,"","Alaska Airlines Inc. "
"OGG",2018,1,905,-12,1348,-17,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,-1,655,-16,0,"","Alaska Airlines Inc. "
"OGG",2018,2,710,-9,1155,-49,0,"","Alaska Airlines Inc. "
"SEA",2018,3,605,6,652,13,0,"","Alaska Airlines Inc. "
"SEA",2018,2,600,-11,655,-17,0,"","Alaska Airlines Inc. "
"OGG",2018,3,905,-6,1246,-32,0,"","Alaska Airlines Inc. "
"SEA",2018,1,600,0,655,7,0,"","Alaska Airlines Inc. "
"OGG",2018,1,910,0,1353,-31,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,1,653,11,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,-16,653,14,0,"","Alaska Airlines Inc. "
"SEA",2018,4,605,-14,652,3,0,"","Alaska Airlines Inc. "
