"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,5,1300,-6,1408,-9,0,"","Endeavor Air Inc. "
"ATL",2018,9,615,-10,721,-14,0,"","Endeavor Air Inc. "
"ATL",2018,6,615,-9,724,-13,0,"","Endeavor Air Inc. "
"ATL",2018,9,1623,182,1739,201,0,"","Endeavor Air Inc. "
"ATL",2018,1,1141,-9,1302,-20,0,"","Endeavor Air Inc. "
"ATL",2018,3,615,-6,730,-18,0,"","Endeavor Air Inc. "
"ATL",2018,10,615,-5,726,-13,0,"","Endeavor Air Inc. "
"ATL",2018,5,615,-5,720,-7,0,"","Endeavor Air Inc. "
"ATL",2018,8,1145,-11,1305,-33,0,"","Endeavor Air Inc. "
"ATL",2018,5,1145,-7,1301,-16,0,"","Endeavor Air Inc. "
"ATL",2018,6,1635,-9,1747,-7,0,"","Endeavor Air Inc. "
"ATL",2018,1,1141,-10,1302,-32,0,"","Endeavor Air Inc. "
"ATL",2018,6,1149,10,1304,7,0,"","Endeavor Air Inc. "
"ATL",2018,5,615,-8,720,-9,0,"","Endeavor Air Inc. "
"ATL",2018,1,615,-14,730,-29,0,"","Endeavor Air Inc. "
"ATL",2018,3,1144,-5,1259,-10,0,"","Endeavor Air Inc. "
"ATL",2018,9,1623,-7,1739,-10,0,"","Endeavor Air Inc. "
"ATL",2018,8,1634,-15,1750,-35,0,"","Endeavor Air Inc. "
"ATL",2018,4,1630,-6,1748,-12,0,"","Endeavor Air Inc. "
"ATL",2018,9,1623,12,1739,28,0,"","Endeavor Air Inc. "
"ATL",2018,5,1635,-1,1749,-11,0,"","Endeavor Air Inc. "
"ATL",2018,7,1634,40,1750,40,0,"","Endeavor Air Inc. "
"ATL",2018,3,1630,38,1739,39,0,"","Endeavor Air Inc. "
"ATL",2018,8,1145,-10,1305,-22,0,"","Endeavor Air Inc. "
"ATL",2018,7,615,-11,723,-23,0,"","Endeavor Air Inc. "
"ATL",2018,3,1144,-11,1259,-2,0,"","Endeavor Air Inc. "
"ATL",2018,1,615,292,730,318,0,"","Endeavor Air Inc. "
"ATL",2018,1,1630,-4,1750,-8,0,"","Endeavor Air Inc. "
"ATL",2018,7,615,-13,723,-4,0,"","Endeavor Air Inc. "
"ATL",2018,4,1630,-5,1748,-16,0,"","Endeavor Air Inc. "
