"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"JFK",2018,7,510,2,900,8,0,"","JetBlue Airways "
"JFK",2018,7,510,-12,900,1,0,"","JetBlue Airways "
"FLL",2018,4,317,46,548,44,0,"","JetBlue Airways "
"FLL",2018,4,316,0,601,-20,0,"","JetBlue Airways "
"MCO",2018,8,1033,-4,1326,-22,0,"","JetBlue Airways "
"MCO",2018,5,328,-19,620,-30,0,"","JetBlue Airways "
"JFK",2018,9,1248,-9,1637,-29,0,"","JetBlue Airways "
"JFK",2018,12,1024,5,1319,-4,0,"","JetBlue Airways "
"MCO",2018,8,200,4,446,-13,0,"","JetBlue Airways "
"FLL",2018,4,316,-20,547,-18,0,"","JetBlue Airways "
"JFK",2018,12,1024,39,1319,21,0,"","JetBlue Airways "
"FLL",2018,12,423,-16,602,-31,0,"","JetBlue Airways "
"JFK",2018,8,510,-15,900,-25,0,"","JetBlue Airways "
"FLL",2018,6,148,-11,428,-28,0,"","JetBlue Airways "
"MCO",2018,5,1011,6,1306,29,0,"","JetBlue Airways "
"MCO",2018,3,146,-2,444,-14,0,"","JetBlue Airways "
"JFK",2018,5,507,-5,859,-14,0,"","JetBlue Airways "
"JFK",2018,6,508,-9,906,-19,0,"","JetBlue Airways "
"FLL",2018,7,330,-23,603,-35,0,"","JetBlue Airways "
"MCO",2018,9,146,6,432,-11,0,"","JetBlue Airways "
"JFK",2018,7,1248,17,1637,-11,0,"","JetBlue Airways "
"JFK",2018,10,510,-11,900,-6,0,"","JetBlue Airways "
"JFK",2018,5,507,7,859,11,0,"","JetBlue Airways "
"FLL",2018,8,330,-9,603,-22,0,"","JetBlue Airways "
"JFK",2018,4,502,32,901,29,0,"","JetBlue Airways "
"MCO",2018,5,322,-18,614,-25,0,"","JetBlue Airways "
"JFK",2018,6,1255,15,1644,34,0,"","JetBlue Airways "
"FLL",2018,4,317,-16,602,-32,0,"","JetBlue Airways "
"JFK",2018,1,604,17,859,9,0,"","JetBlue Airways "
"MCO",2018,7,1033,10,1326,-14,0,"","JetBlue Airways "
"MCO",2018,7,1033,13,1326,8,0,"","JetBlue Airways "
"JFK",2018,12,605,-7,859,-17,0,"","JetBlue Airways "
"MCO",2018,6,328,-14,620,-28,0,"","JetBlue Airways "
"MCO",2018,4,147,3,445,-12,0,"","JetBlue Airways "
"MCO",2018,6,1011,23,1306,5,0,"","JetBlue Airways "
"MCO",2018,5,1011,-12,1306,-9,0,"","JetBlue Airways "
"JFK",2018,8,510,41,900,24,0,"","JetBlue Airways "
"FLL",2018,1,413,-1,553,-10,0,"","JetBlue Airways "
"JFK",2018,3,504,-5,903,-16,0,"","JetBlue Airways "
"MCO",2018,8,200,23,446,14,0,"","JetBlue Airways "
"JFK",2018,1,604,32,859,8,0,"","JetBlue Airways "
"MCO",2018,6,200,0,446,-4,0,"","JetBlue Airways "
"FLL",2018,8,330,-8,603,-20,0,"","JetBlue Airways "
"FLL",2018,7,330,-15,603,-33,0,"","JetBlue Airways "
"MCO",2018,1,414,24,609,29,0,"","JetBlue Airways "
"MCO",2018,10,146,-7,432,-12,0,"","JetBlue Airways "
"JFK",2018,8,1248,-7,1637,-22,0,"","JetBlue Airways "
"JFK",2018,2,604,-2,859,-18,0,"","JetBlue Airways "
"JFK",2018,12,1024,-7,1319,-9,0,"","JetBlue Airways "
"FLL",2018,9,331,-13,609,-39,0,"","JetBlue Airways "
"JFK",2018,1,604,-8,859,7,0,"","JetBlue Airways "
"MCO",2018,8,200,13,446,0,0,"","JetBlue Airways "
"JFK",2018,6,1255,30,1644,35,0,"","JetBlue Airways "
"MCO",2018,5,328,-10,620,-18,0,"","JetBlue Airways "
"JFK",2018,11,505,26,855,6,0,"","JetBlue Airways "
"JFK",2018,7,510,87,900,85,0,"","JetBlue Airways "
"JFK",2018,12,605,-9,859,-15,0,"","JetBlue Airways "
"FLL",2018,11,423,-19,559,-23,0,"","JetBlue Airways "
"MCO",2018,10,146,0,432,-18,0,"","JetBlue Airways "
"MCO",2018,9,200,-3,446,-19,0,"","JetBlue Airways "
"FLL",2018,6,148,48,428,37,0,"","JetBlue Airways "
"FLL",2018,1,424,96,604,88,0,"","JetBlue Airways "
"JFK",2018,1,604,-10,859,-12,0,"","JetBlue Airways "
"MCO",2018,3,246,24,444,25,0,"","JetBlue Airways "
"JFK",2018,11,605,7,855,-8,0,"","JetBlue Airways "
"FLL",2018,6,330,-16,603,-28,0,"","JetBlue Airways "
