"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"MSP",2018,7,700,-3,803,1,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,711,-7,805,5,0,"","SkyWest Airlines Inc. "
"MSP",2018,4,1544,-5,1644,-24,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,1300,32,1354,38,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,11,1655,-2,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,119,751,110,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,700,-5,803,-32,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,1549,73,1639,69,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,700,-3,748,16,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,-9,1644,-17,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,-7,1655,-17,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1545,-8,1651,-24,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,700,-8,803,3,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,1549,-4,1639,-9,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,700,-6,803,-31,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,711,-5,805,-16,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,711,-8,805,-14,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,-1,751,2,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,1540,-4,1634,-17,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,0,803,-13,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,-9,1705,-5,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1555,-8,1657,-31,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,-4,751,-8,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,700,-7,803,-18,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,0,802,-32,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,-5,802,-24,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1555,-9,1657,-31,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,700,3,803,-1,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,-10,1705,-29,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-10,801,-3,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,-10,1705,-43,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,700,-10,757,-24,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,700,162,808,173,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,711,-8,809,-31,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,700,0,803,-30,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-4,803,-7,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,700,NA,748,NA,1,"Weather","SkyWest Airlines Inc. "
"MSP",2018,4,1544,-13,1644,-31,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1545,-4,1651,-23,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1545,-1,1651,-24,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,1557,-5,1649,-15,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-2,803,3,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,-2,751,-2,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,-11,1705,-15,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,700,-10,808,-18,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,700,-6,803,-35,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-10,803,-3,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,-6,1705,-30,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,711,-9,809,-33,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,700,9,757,9,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-6,801,47,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,1549,31,1639,28,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,0,751,4,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-2,803,-6,0,"","SkyWest Airlines Inc. "
"MSP",2018,4,1544,-4,1644,-20,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1545,-4,1651,-24,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,700,-8,808,-37,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,700,-8,803,-7,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,-5,801,-34,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,1549,-6,1639,2,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,1540,-11,1634,-19,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,700,10,757,21,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,-10,1644,-31,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,1557,-5,1649,6,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,700,0,803,24,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,700,-7,803,-25,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,711,-6,809,12,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,700,-1,748,9,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,700,-9,808,-12,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,700,0,803,109,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,-3,803,7,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1547,-6,1644,-27,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1545,290,1651,273,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,700,-3,751,0,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1555,-1,1653,-5,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,-8,751,11,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,1540,-2,1634,-7,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,1600,12,1649,99,0,"","SkyWest Airlines Inc. "
"MSP",2018,4,1544,233,1644,244,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,1540,-2,1634,-12,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,1600,-1,1649,34,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,700,-11,808,-26,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,-8,1644,-23,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,-7,1644,-26,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,700,-5,757,14,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,-9,751,-6,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,-9,1644,-21,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,-2,802,-31,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1557,-4,1655,-13,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,-5,751,11,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1557,-5,1651,-15,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,700,-6,803,-21,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,700,262,751,255,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,-4,802,5,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1555,-3,1653,-9,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,68,1705,49,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,2,802,-21,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1545,-10,1651,-33,0,"","SkyWest Airlines Inc. "
"MSP",2018,4,700,-15,758,-24,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1555,-9,1657,-21,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,12,1705,-5,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,700,-7,803,-23,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,711,-10,809,7,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,-18,1705,-38,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,-6,1644,-17,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,14,759,-2,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-8,803,-6,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,1557,-10,1649,-1,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,700,-2,803,7,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,700,3,808,11,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,1549,-7,1639,-12,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,-4,803,23,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,1540,9,1634,44,0,"","SkyWest Airlines Inc. "
"MSP",2018,4,700,-7,758,-25,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,700,1,803,-25,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,700,-4,757,8,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,205,803,195,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,1600,-8,1649,0,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,700,-7,803,0,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1555,-10,1653,-25,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,-6,803,-36,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1555,-6,1657,39,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,0,1644,30,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,-5,802,-21,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,-1,1655,-2,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,0,751,5,0,"","SkyWest Airlines Inc. "
"MSP",2018,4,700,-8,754,-14,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1557,10,1655,2,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,700,-9,751,-23,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,-7,1655,-8,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,-5,1655,-13,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,700,-3,803,-34,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,2,759,16,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,-3,803,-7,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,700,136,803,142,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,-5,1644,-12,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,1557,-14,1649,-20,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-9,803,1,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,23,1655,14,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,711,-4,809,35,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,1557,-9,1649,-19,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,700,-9,803,6,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,1557,-8,1649,-22,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,-7,802,-1,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1555,-4,1705,-15,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,700,-8,803,-11,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,700,-5,803,-13,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1545,-7,1651,-31,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,711,-5,809,-29,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,-3,802,6,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,-2,803,-29,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,711,-3,809,-19,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,700,-9,803,-23,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1547,-8,1644,-23,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,1540,2,1634,30,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1547,-7,1644,-26,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1545,-5,1639,-14,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,1549,-9,1639,-22,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,700,-7,803,-26,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,1600,28,1649,30,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,700,-5,748,-6,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,700,-6,803,-17,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,1557,58,1649,56,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,700,12,803,23,0,"","SkyWest Airlines Inc. "
"MSP",2018,4,700,0,758,-7,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,700,-1,801,-21,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,-8,1655,-19,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,2,1655,-10,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1545,7,1651,3,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,-6,1651,-4,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1555,-10,1657,-18,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,700,-1,803,-28,0,"","SkyWest Airlines Inc. "
"MSP",2018,4,700,-5,758,-17,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,700,-8,802,-32,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1557,-7,1655,-5,0,"","SkyWest Airlines Inc. "
"MSP",2018,12,1555,13,1703,-11,0,"","SkyWest Airlines Inc. "
"MSP",2018,2,700,16,748,8,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1557,-4,1655,-5,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,700,-8,803,-26,0,"","SkyWest Airlines Inc. "
