"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"LGA",2018,10,1235,-11,1355,-14,0,"","Endeavor Air Inc. "
"LGA",2018,12,845,-2,1009,0,0,"","Endeavor Air Inc. "
"ATL",2018,10,1231,-3,1413,1,0,"","Endeavor Air Inc. "
"LGA",2018,5,1100,-10,1225,-5,0,"","Endeavor Air Inc. "
"LGA",2018,1,600,-5,726,7,0,"","Endeavor Air Inc. "
"ATL",2018,7,1845,5,2030,-12,0,"","Endeavor Air Inc. "
"ATL",2018,8,1720,7,1903,-4,0,"","Endeavor Air Inc. "
"LGA",2018,9,600,NA,716,NA,1,"National Air System","Endeavor Air Inc. "
"LGA",2018,3,605,-1,729,11,0,"","Endeavor Air Inc. "
"ATL",2018,8,1229,21,1414,26,0,"","Endeavor Air Inc. "
"ATL",2018,9,800,-6,941,-16,0,"","Endeavor Air Inc. "
"ATL",2018,8,1229,-9,1414,-5,0,"","Endeavor Air Inc. "
"ATL",2018,10,1524,-6,1706,-12,0,"","Endeavor Air Inc. "
"ATL",2018,12,1215,1,1408,-23,0,"","Endeavor Air Inc. "
"LGA",2018,2,600,73,726,55,0,"","Endeavor Air Inc. "
"ATL",2018,10,800,-4,946,-2,0,"","Endeavor Air Inc. "
"ATL",2018,11,1215,-10,1408,-29,0,"","Endeavor Air Inc. "
"LGA",2018,3,605,-3,729,-2,0,"","Endeavor Air Inc. "
"ATL",2018,11,800,343,947,358,0,"","Endeavor Air Inc. "
"ATL",2018,6,715,-4,856,15,0,"","Endeavor Air Inc. "
"LGA",2018,9,600,31,716,42,0,"","Endeavor Air Inc. "
"ATL",2018,11,1716,-5,1901,-4,0,"","Endeavor Air Inc. "
"LGA",2018,12,800,212,926,209,0,"","Endeavor Air Inc. "
"LGA",2018,8,600,-4,724,2,0,"","Endeavor Air Inc. "
"ATL",2018,10,1524,-1,1706,-7,0,"","Endeavor Air Inc. "
"LGA",2018,3,605,-2,729,-8,0,"","Endeavor Air Inc. "
"LGA",2018,4,608,-6,730,-16,0,"","Endeavor Air Inc. "
"ATL",2018,9,1210,-8,1352,-13,0,"","Endeavor Air Inc. "
"ATL",2018,8,800,-8,941,-2,0,"","Endeavor Air Inc. "
"LGA",2018,9,600,-4,716,9,0,"","Endeavor Air Inc. "
"LGA",2018,4,608,-10,730,-13,0,"","Endeavor Air Inc. "
"ATL",2018,7,1600,NA,1740,-17,0,"","Endeavor Air Inc. "
"ATL",2018,7,1845,-5,2030,-11,0,"","Endeavor Air Inc. "
"LGA",2018,3,815,-9,943,-22,0,"","Endeavor Air Inc. "
"LGA",2018,3,605,8,729,-7,0,"","Endeavor Air Inc. "
"ATL",2018,11,1543,13,1728,0,0,"","Endeavor Air Inc. "
