"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DEN",2018,12,530,-10,657,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1310,-5,1435,14,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,630,-11,750,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,530,119,658,111,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1140,-6,1300,9,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1450,-22,1610,-27,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1140,-7,1300,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1309,2,1440,1,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1140,-8,1300,15,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,1140,-7,1300,-10,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1140,-2,1300,20,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1311,NA,1434,NA,1,"Weather","SkyWest Airlines Inc. "
"SLC",2018,6,1140,-15,1300,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,530,-7,658,16,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1310,-2,1438,1,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1820,-4,1940,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1312,6,1439,5,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,1140,3,1300,-6,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1140,8,1300,8,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,630,-6,750,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,530,-15,657,-19,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1140,-11,1300,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1312,-8,1439,-2,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1140,-5,1300,3,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,1140,-7,1300,-9,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1140,-8,1300,18,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,530,-16,656,10,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,530,70,653,55,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,530,-6,702,-26,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1310,-8,1438,-8,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,630,-2,750,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1710,8,1840,4,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,530,-6,707,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,530,-6,700,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,530,-11,656,-26,0,"","SkyWest Airlines Inc. "
