"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ORD",2018,5,1136,NA,1244,NA,1,"National Air System","Envoy Air "
"ORD",2018,3,1639,-11,1740,-17,0,"","Envoy Air "
"ORD",2018,11,1628,-3,1733,-4,0,"","Envoy Air "
"ORD",2018,3,630,-8,740,-23,0,"","Envoy Air "
"ORD",2018,6,1955,-3,2101,-7,0,"","Envoy Air "
"ORD",2018,12,1631,-7,1734,-6,0,"","Envoy Air "
"ORD",2018,6,1138,1,1245,-4,0,"","Envoy Air "
"ORD",2018,9,615,-8,720,-11,0,"","Envoy Air "
"ORD",2018,4,1500,-9,1600,-3,0,"","Envoy Air "
"ORD",2018,2,1126,-13,1233,-19,0,"","Envoy Air "
"ORD",2018,8,1137,NA,1245,NA,1,"National Air System","Envoy Air "
"ORD",2018,9,1127,6,1234,-4,0,"","Envoy Air "
"ORD",2018,11,1628,-3,1733,-6,0,"","Envoy Air "
"ORD",2018,6,1955,-10,2101,-11,0,"","Envoy Air "
"ORD",2018,7,1137,-2,1245,-12,0,"","Envoy Air "
"ORD",2018,1,1130,28,1232,26,0,"","Envoy Air "
"ORD",2018,4,641,-12,745,-21,0,"","Envoy Air "
"ORD",2018,4,1133,-15,1239,-5,0,"","Envoy Air "
"ORD",2018,9,615,-5,720,-11,0,"","Envoy Air "
"ORD",2018,2,1639,37,1740,34,0,"","Envoy Air "
"ORD",2018,7,1137,8,1245,12,0,"","Envoy Air "
"ORD",2018,2,615,-5,725,-5,0,"","Envoy Air "
"ORD",2018,12,1132,55,1239,47,0,"","Envoy Air "
"ORD",2018,10,613,-6,720,-18,0,"","Envoy Air "
"ORD",2018,4,1133,-12,1239,-10,0,"","Envoy Air "
"ORD",2018,7,1955,NA,2101,NA,1,"National Air System","Envoy Air "
"ORD",2018,12,600,-3,715,33,0,"","Envoy Air "
"ORD",2018,10,613,-2,720,10,0,"","Envoy Air "
"ORD",2018,7,1137,12,1245,41,0,"","Envoy Air "
"ORD",2018,5,620,-2,726,-7,0,"","Envoy Air "
"ORD",2018,9,1634,-7,1739,-11,0,"","Envoy Air "
"ORD",2018,7,1137,-4,1245,-17,0,"","Envoy Air "
"ORD",2018,3,1130,-3,1232,-11,0,"","Envoy Air "
"ORD",2018,3,1639,-10,1740,-23,0,"","Envoy Air "
"ORD",2018,2,1639,54,1740,98,0,"","Envoy Air "
"ORD",2018,1,1639,-4,1740,NA,0,"","Envoy Air "
"ORD",2018,5,1133,-12,1239,-26,0,"","Envoy Air "
"ORD",2018,11,1131,-9,1239,-24,0,"","Envoy Air "
"ORD",2018,2,630,51,740,65,0,"","Envoy Air "
"ORD",2018,5,1136,53,1244,42,0,"","Envoy Air "
"ORD",2018,1,630,-9,740,-1,0,"","Envoy Air "
"ORD",2018,12,1628,-12,1733,1,0,"","Envoy Air "
"ORD",2018,12,1631,8,1734,30,0,"","Envoy Air "
"ORD",2018,4,1133,-9,1239,-6,0,"","Envoy Air "
"ORD",2018,7,1137,-3,1245,-12,0,"","Envoy Air "
"ORD",2018,8,627,19,732,108,0,"","Envoy Air "
"ORD",2018,1,1126,NA,1230,NA,1,"National Air System","Envoy Air "
"ORD",2018,3,1639,-13,1740,-18,0,"","Envoy Air "
"ORD",2018,12,1131,-11,1239,-21,0,"","Envoy Air "
"ORD",2018,10,1628,-11,1733,-24,0,"","Envoy Air "
"ORD",2018,7,1633,-4,1740,-13,0,"","Envoy Air "
"ORD",2018,12,1132,0,1239,3,0,"","Envoy Air "
"ORD",2018,4,1500,-13,1600,-13,0,"","Envoy Air "
"ORD",2018,1,1130,-10,1232,10,0,"","Envoy Air "
"ORD",2018,11,1131,9,1239,-6,0,"","Envoy Air "
"ORD",2018,2,1130,9,1232,15,0,"","Envoy Air "
"ORD",2018,8,627,-7,732,5,0,"","Envoy Air "
"ORD",2018,6,628,-10,732,-3,0,"","Envoy Air "
"ORD",2018,8,1137,10,1245,-6,0,"","Envoy Air "
"ORD",2018,9,1624,164,1729,174,0,"","Envoy Air "
"ORD",2018,4,641,-3,745,-18,0,"","Envoy Air "
"ORD",2018,2,1639,NA,1740,NA,1,"Weather","Envoy Air "
"ORD",2018,8,1137,38,1245,18,0,"","Envoy Air "
"ORD",2018,10,613,-5,720,-5,0,"","Envoy Air "
"ORD",2018,12,604,-7,720,-4,0,"","Envoy Air "
"ORD",2018,9,1634,-7,1739,9,0,"","Envoy Air "
"ORD",2018,9,1117,-10,1224,-12,0,"","Envoy Air "
"ORD",2018,1,1640,22,1740,25,0,"","Envoy Air "
"ORD",2018,3,630,-9,740,-14,0,"","Envoy Air "
"ORD",2018,3,1130,-5,1232,-11,0,"","Envoy Air "
"ORD",2018,9,615,-6,720,-13,0,"","Envoy Air "
"ORD",2018,7,627,-14,732,-16,0,"","Envoy Air "
"ORD",2018,9,615,-7,720,-7,0,"","Envoy Air "
"ORD",2018,11,1628,24,1733,30,0,"","Envoy Air "
"ORD",2018,12,604,-10,720,-23,0,"","Envoy Air "
"ORD",2018,9,615,-12,720,-8,0,"","Envoy Air "
"ORD",2018,1,630,-6,740,0,0,"","Envoy Air "
"ORD",2018,8,615,-2,720,-19,0,"","Envoy Air "
"ORD",2018,8,1127,-2,1234,-6,0,"","Envoy Air "
"ORD",2018,12,1131,-9,1239,-24,0,"","Envoy Air "
"ORD",2018,10,1131,11,1238,10,0,"","Envoy Air "
"ORD",2018,3,630,-2,740,5,0,"","Envoy Air "
"ORD",2018,10,613,51,720,85,0,"","Envoy Air "
"ORD",2018,8,1627,31,1734,19,0,"","Envoy Air "
"ORD",2018,6,1955,-13,2101,-22,0,"","Envoy Air "
"ORD",2018,11,1628,-8,1733,-12,0,"","Envoy Air "
"ORD",2018,7,627,-8,732,-9,0,"","Envoy Air "
"ORD",2018,7,627,-13,732,-23,0,"","Envoy Air "
"ORD",2018,10,1131,0,1238,-1,0,"","Envoy Air "
"ORD",2018,1,1640,48,1740,50,0,"","Envoy Air "
"ORD",2018,5,1136,-8,1244,-14,0,"","Envoy Air "
"ORD",2018,1,1130,7,1232,13,0,"","Envoy Air "
"ORD",2018,10,1628,7,1733,13,0,"","Envoy Air "
"ORD",2018,9,1634,-1,1739,-11,0,"","Envoy Air "
"ORD",2018,10,1131,-10,1238,-14,0,"","Envoy Air "
"ORD",2018,9,615,-9,720,-28,0,"","Envoy Air "
"ORD",2018,12,1132,NA,1239,NA,1,"Weather","Envoy Air "
"ORD",2018,7,1137,11,1245,15,0,"","Envoy Air "
"ORD",2018,9,1117,24,1224,19,0,"","Envoy Air "
"ORD",2018,4,641,-5,745,66,0,"","Envoy Air "
"ORD",2018,4,641,-9,745,-10,0,"","Envoy Air "
"ORD",2018,12,604,-6,720,-5,0,"","Envoy Air "
"ORD",2018,5,1136,86,1244,79,0,"","Envoy Air "
