"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ORD",2018,6,1330,-13,1448,-9,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1320,-9,1437,-10,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,545,-8,702,-16,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1330,-3,1454,8,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,545,-14,705,-30,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1330,282,1454,286,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,547,-8,705,-13,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,545,135,705,122,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1335,-18,1455,-23,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,538,-8,705,-4,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,538,-1,705,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1415,24,1537,34,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,545,-7,702,-13,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1330,-10,1448,-1,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1415,NA,1537,NA,1,"Weather","SkyWest Airlines Inc. "
"ORD",2018,2,653,-8,815,-3,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1330,-10,1448,-3,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1415,77,1537,98,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,545,1,705,7,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1330,-11,1454,-13,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,547,3,705,3,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1415,13,1537,11,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1320,-15,1437,-8,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1330,NA,1450,NA,1,"Weather","SkyWest Airlines Inc. "
"ORD",2018,5,547,-1,705,-3,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1327,-2,1450,-9,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1320,-11,1437,-5,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1330,-6,1448,3,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,545,-2,705,-8,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1320,-11,1437,3,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,545,-12,705,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,525,-2,647,0,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,545,-5,702,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,547,-14,705,-3,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1327,-5,1450,0,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1330,-7,1450,10,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,538,-7,705,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,653,-10,815,-2,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1330,85,1448,71,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1330,27,1450,39,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1327,261,1450,243,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1330,-7,1450,0,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,545,-9,702,3,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,545,-9,705,-17,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,538,-10,705,2,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1330,21,1450,17,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,653,-4,815,-2,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,525,-4,647,2,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1320,6,1437,52,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1415,4,1537,-3,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1335,93,1455,83,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1320,-2,1437,1,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1415,-5,1537,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,545,-9,702,1,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,545,-4,702,-6,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1415,-6,1537,-24,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,547,-10,705,2,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,535,-6,705,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1330,15,1448,19,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,545,-9,705,-16,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,538,NA,705,NA,1,"Weather","SkyWest Airlines Inc. "
"ORD",2018,6,1330,-2,1450,-10,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,535,-5,705,-4,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,538,-4,705,-5,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1415,-2,1537,-8,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1335,29,1455,51,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1330,35,1448,29,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,653,4,815,1,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1327,-12,1450,3,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,538,0,705,5,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,545,-8,705,-18,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1330,42,1450,36,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,547,-10,705,-5,0,"","SkyWest Airlines Inc. "
