"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DTW",2018,5,1011,-5,1127,-9,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1804,68,1922,63,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1755,-10,1914,-26,0,"","SkyWest Airlines Inc. "
"DTW",2018,4,1755,-4,1916,-16,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1030,-9,1148,-16,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1746,-8,1903,-6,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1012,-5,1129,0,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,1011,-3,1129,1,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1023,-8,1139,-4,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1755,32,1914,37,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1036,229,1154,215,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1012,-15,1128,-16,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,1817,52,1939,28,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1800,-3,1914,1,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1300,-10,1416,-1,0,"","SkyWest Airlines Inc. "
"DTW",2018,4,1014,-6,1130,-15,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1751,-1,1909,-26,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,1812,77,1934,63,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1751,-5,1909,-13,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1011,-1,1125,-2,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,1011,-5,1129,-9,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1755,-5,1909,-7,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1011,-2,1125,14,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1800,-1,1914,-9,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1030,50,1148,41,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1030,5,1148,52,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1023,-10,1139,-12,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1036,-10,1154,-27,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1013,-1,1129,7,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1030,-16,1148,-21,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1804,209,1922,237,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1748,162,1907,180,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1012,3,1129,-12,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1012,-10,1128,-11,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1015,6,1130,16,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1011,-10,1125,0,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,1812,196,1934,211,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1751,-5,1909,-10,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,1750,-1,1904,7,0,"","SkyWest Airlines Inc. "
"DTW",2018,4,1014,9,1130,-1,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1751,-4,1909,-10,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1030,24,1148,36,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,1818,-1,1940,-18,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1755,33,1915,19,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,1750,-4,1904,-4,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1746,-12,1903,-17,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,1800,-5,1919,-12,0,"","SkyWest Airlines Inc. "
