"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"MSP",2018,3,1307,-8,1405,-10,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,NA,1411,-8,0,"","Endeavor Air Inc. "
"MSP",2018,1,500,-2,617,-19,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,-1,1411,-3,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,99,1413,91,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,-6,1411,-12,0,"","Endeavor Air Inc. "
"MSP",2018,2,1050,1,1204,10,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,-3,1405,1,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,-5,1413,-13,0,"","Endeavor Air Inc. "
"MSP",2018,12,1050,-5,1212,-20,0,"","Endeavor Air Inc. "
"MSP",2018,11,1945,5,2103,7,0,"","Endeavor Air Inc. "
"MSP",2018,1,914,-3,1035,-1,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,15,1411,13,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,29,1405,35,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,56,1413,64,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,NA,1411,9,0,"","Endeavor Air Inc. "
"MSP",2018,1,630,-6,750,-18,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-14,2103,-23,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-13,2103,-13,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,-5,1411,3,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,4,2103,1,0,"","Endeavor Air Inc. "
"MSP",2018,12,1726,-1,1849,-5,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,-9,1413,-16,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,NA,1411,-3,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-9,2103,-23,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,-7,1405,-10,0,"","Endeavor Air Inc. "
"MSP",2018,12,1050,26,1212,16,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,207,1411,194,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,-5,1411,-13,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,-1,1411,-7,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-4,2103,-9,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,-3,1411,-17,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,-5,1411,-14,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,-5,1405,-5,0,"","Endeavor Air Inc. "
"MSP",2018,12,1726,21,1849,2,0,"","Endeavor Air Inc. "
"MSP",2018,1,1048,-10,1205,-23,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,-4,1405,-7,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-12,2103,-16,0,"","Endeavor Air Inc. "
"MSP",2018,4,1307,-3,1405,45,0,"","Endeavor Air Inc. "
"MSP",2018,6,1309,2,1415,-10,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-13,2103,2,0,"","Endeavor Air Inc. "
"MSP",2018,11,1945,-38,2103,-59,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-13,2103,-25,0,"","Endeavor Air Inc. "
"MSP",2018,12,1050,29,1212,51,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,-12,1411,-14,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,-1,1405,2,0,"","Endeavor Air Inc. "
"MSP",2018,2,500,10,614,7,0,"","Endeavor Air Inc. "
"MSP",2018,7,1305,2,1411,-1,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-9,2103,-24,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,-9,1413,-22,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-12,2103,26,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,-12,1405,1,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-19,2103,-45,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,-7,1405,-4,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,-3,1405,-1,0,"","Endeavor Air Inc. "
"MSP",2018,8,1305,1,1411,29,0,"","Endeavor Air Inc. "
"MSP",2018,12,1945,-6,2103,-10,0,"","Endeavor Air Inc. "
"MSP",2018,3,1307,6,1405,3,0,"","Endeavor Air Inc. "
