"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"IAH",2018,3,615,-9,855,-4,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,1405,-14,1641,-26,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,615,-8,855,-6,0,"","ExpressJet Airlines Inc. "
"IAH",2018,1,1405,-11,1641,-16,0,"","ExpressJet Airlines Inc. "
"IAH",2018,6,605,-11,840,2,0,"","ExpressJet Airlines Inc. "
"IAH",2018,12,1310,-9,1540,-8,0,"","ExpressJet Airlines Inc. "
"IAH",2018,8,600,-2,836,0,0,"","ExpressJet Airlines Inc. "
"IAH",2018,9,600,-6,836,-8,0,"","ExpressJet Airlines Inc. "
"IAH",2018,6,1405,-12,1641,-22,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,1405,-8,1641,-16,0,"","ExpressJet Airlines Inc. "
"IAH",2018,5,605,-6,844,14,0,"","ExpressJet Airlines Inc. "
"IAH",2018,12,612,-5,855,6,0,"","ExpressJet Airlines Inc. "
"IAH",2018,1,1400,-18,1636,-24,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,615,-7,855,13,0,"","ExpressJet Airlines Inc. "
"IAH",2018,5,1405,-1,1641,-14,0,"","ExpressJet Airlines Inc. "
"IAH",2018,7,605,-4,840,13,0,"","ExpressJet Airlines Inc. "
"IAH",2018,10,600,-3,836,8,0,"","ExpressJet Airlines Inc. "
"IAH",2018,3,615,-4,855,-4,0,"","ExpressJet Airlines Inc. "
"IAH",2018,5,605,-10,844,-15,0,"","ExpressJet Airlines Inc. "
"IAH",2018,6,605,-3,840,3,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,615,-3,855,-19,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,1405,-16,1641,-35,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,605,-2,844,-6,0,"","ExpressJet Airlines Inc. "
"IAH",2018,7,605,-1,840,14,0,"","ExpressJet Airlines Inc. "
"IAH",2018,11,615,-7,855,-25,0,"","ExpressJet Airlines Inc. "
"IAH",2018,5,605,-7,844,-14,0,"","ExpressJet Airlines Inc. "
"IAH",2018,9,600,-2,836,1,0,"","ExpressJet Airlines Inc. "
"IAH",2018,12,612,187,855,178,0,"","ExpressJet Airlines Inc. "
"IAH",2018,2,1400,33,1636,31,0,"","ExpressJet Airlines Inc. "
"IAH",2018,12,612,65,855,47,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,605,-2,844,6,0,"","ExpressJet Airlines Inc. "
"IAH",2018,4,615,-2,855,-1,0,"","ExpressJet Airlines Inc. "
"IAH",2018,11,1310,-10,1540,-9,0,"","ExpressJet Airlines Inc. "
"IAH",2018,9,600,-13,836,-8,0,"","ExpressJet Airlines Inc. "
"IAH",2018,5,1405,-3,1641,-5,0,"","ExpressJet Airlines Inc. "
