"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"MSP",2018,7,1050,-5,1202,0,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1700,-9,1813,-17,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1050,5,1204,-6,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1055,-10,1212,-21,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,1057,-9,1211,-20,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1725,-13,1850,-6,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1050,5,1204,-10,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1050,-8,1204,-19,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1700,-14,1813,-5,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1051,-7,1215,-9,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1730,-14,1843,-29,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1742,-12,1900,-23,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1050,-2,1202,6,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1749,-10,1854,-3,0,"","SkyWest Airlines Inc. "
"MSP",2018,10,1055,-7,1215,-34,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1055,-13,1204,-16,0,"","SkyWest Airlines Inc. "
"MSP",2018,1,1726,-13,1844,39,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1700,-10,1813,-14,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,1055,-17,1152,-10,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1749,-9,1854,-19,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1746,9,1854,19,0,"","SkyWest Airlines Inc. "
"MSP",2018,6,1700,-12,1813,-9,0,"","SkyWest Airlines Inc. "
"MSP",2018,9,1739,-6,1854,-23,0,"","SkyWest Airlines Inc. "
"MSP",2018,7,1925,-12,2039,-18,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1720,7,1831,8,0,"","SkyWest Airlines Inc. "
"MSP",2018,8,1050,17,1201,12,0,"","SkyWest Airlines Inc. "
"MSP",2018,11,1051,-12,1215,-28,0,"","SkyWest Airlines Inc. "
"MSP",2018,5,1746,1101,1854,1090,0,"","SkyWest Airlines Inc. "
"MSP",2018,3,1055,-6,1152,-10,0,"","SkyWest Airlines Inc. "
