"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"CLT",2018,12,1133,-12,1358,-14,0,"","PSA Airlines Inc. "
"CLT",2018,12,1133,51,1358,27,0,"","PSA Airlines Inc. "
"DTW",2018,1,600,-1,735,35,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,1741,2,1919,-5,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,600,-12,736,-20,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1322,-2,1500,-10,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1323,3,1455,36,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,600,-8,741,-32,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1323,164,1455,178,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1741,20,1925,-1,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,600,-4,741,11,0,"","SkyWest Airlines Inc. "
"DTW",2018,4,1732,-4,1914,-27,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,600,-4,738,1,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1740,-1,1920,3,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1215,-8,1409,-37,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,-1,1908,-22,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1305,-4,1455,-16,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,600,-8,741,-35,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,600,-3,741,-18,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,1315,-13,1449,-25,0,"","SkyWest Airlines Inc. "
"DTW",2018,4,1732,-5,1914,-22,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1300,10,1433,29,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1316,-8,1450,-16,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1315,82,1449,63,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,1316,-12,1453,-23,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1300,-8,1433,-21,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,600,-5,750,-23,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,-10,1908,-25,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1321,-2,1500,-7,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1323,-10,1455,-9,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1759,-20,1945,-33,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,600,-10,734,0,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1323,3,1455,16,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,1734,-9,1909,-22,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1300,-5,1433,3,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1305,-9,1455,-34,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1739,-12,1914,-14,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1733,10,1908,0,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,1741,-9,1919,-30,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,-10,1908,8,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,604,2,739,15,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1315,-14,1447,-25,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1737,-17,1924,-7,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,548,-5,749,-15,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,600,NA,735,NA,1,"Weather","SkyWest Airlines Inc. "
"DTW",2018,5,600,-2,741,-8,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,1315,-7,1449,-12,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1759,-2,1945,-8,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1732,-6,1916,-30,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,600,-1,738,-25,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,1734,8,1909,1,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,600,-1,741,-2,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1741,178,1925,159,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,600,-4,741,-29,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,7,1908,1,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,3,1908,12,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1300,3,1433,22,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1305,15,1455,-16,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1315,-15,1449,-23,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1315,-13,1447,-32,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1739,-7,1914,-22,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,56,1908,44,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,600,-1,741,-17,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,600,294,734,294,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,600,7,750,-8,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,600,-6,741,-21,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,1734,-11,1909,-3,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1759,-19,1945,-5,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,600,-7,750,2,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1315,186,1447,173,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1741,-3,1925,-1,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,600,-4,738,-17,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,600,35,736,21,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1759,-10,1945,-7,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1315,72,1447,58,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,600,-11,736,-22,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1759,136,1945,123,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1315,-6,1449,-16,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1315,-10,1449,-13,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1321,-11,1500,-5,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,600,16,736,14,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1300,-10,1432,10,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,-9,1908,-41,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1759,-6,1945,-14,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,1738,28,1922,9,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1740,66,1920,60,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,600,-9,738,-19,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,600,-3,750,-14,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,1738,-10,1924,-17,0,"","SkyWest Airlines Inc. "
"DTW",2018,4,1732,-6,1914,-3,0,"","SkyWest Airlines Inc. "
"DTW",2018,10,1740,-7,1920,-9,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,1737,-22,1924,-19,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1732,121,1916,114,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,600,-8,738,-20,0,"","SkyWest Airlines Inc. "
"DTW",2018,5,1316,4,1453,7,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,600,-15,736,-24,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,1213,-11,1407,-31,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,600,97,736,81,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1315,51,1447,33,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1305,-11,1455,-31,0,"","SkyWest Airlines Inc. "
"DTW",2018,2,604,-7,739,5,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,-7,1908,-21,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1733,-1,1908,-14,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,1215,-7,1409,-14,0,"","SkyWest Airlines Inc. "
"DTW",2018,6,600,-7,736,-5,0,"","SkyWest Airlines Inc. "
"DTW",2018,9,1315,-8,1447,-20,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,600,-7,750,-5,0,"","SkyWest Airlines Inc. "
"DTW",2018,3,1245,-1,1417,5,0,"","SkyWest Airlines Inc. "
"DTW",2018,7,1734,-3,1906,-12,0,"","SkyWest Airlines Inc. "
"DTW",2018,1,1759,8,1945,-6,0,"","SkyWest Airlines Inc. "
"DTW",2018,8,1316,-6,1450,-29,0,"","SkyWest Airlines Inc. "
"DTW",2018,12,548,262,749,239,0,"","SkyWest Airlines Inc. "
"DTW",2018,11,1322,-15,1500,-21,0,"","SkyWest Airlines Inc. "
