"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DTW",2018,12,620,-6,731,-13,0,"","Endeavor Air Inc. "
"DTW",2018,1,635,-7,748,-8,0,"","Endeavor Air Inc. "
"DTW",2018,12,620,-6,733,-17,0,"","Endeavor Air Inc. "
"DTW",2018,12,620,-5,733,-5,0,"","Endeavor Air Inc. "
"MSP",2018,1,1809,3,1911,-5,0,"","Endeavor Air Inc. "
"DTW",2018,12,1556,6,1705,-13,0,"","Endeavor Air Inc. "
"DTW",2018,12,620,-9,730,-13,0,"","Endeavor Air Inc. "
"DTW",2018,12,1556,-3,1705,-34,0,"","Endeavor Air Inc. "
"DTW",2018,12,1725,-5,1820,-18,0,"","Endeavor Air Inc. "
"DTW",2018,12,1345,-5,1436,7,0,"","Endeavor Air Inc. "
"DTW",2018,12,620,-5,733,-32,0,"","Endeavor Air Inc. "
"DTW",2018,1,535,-2,639,-24,0,"","Endeavor Air Inc. "
"MSP",2018,1,700,-6,807,-17,0,"","Endeavor Air Inc. "
"MSP",2018,1,700,-2,807,-17,0,"","Endeavor Air Inc. "
"DTW",2018,12,1556,-8,1705,-37,0,"","Endeavor Air Inc. "
"DTW",2018,12,1725,-4,1820,-22,0,"","Endeavor Air Inc. "
"DTW",2018,12,620,2,733,-16,0,"","Endeavor Air Inc. "
"DTW",2018,12,1556,15,1705,5,0,"","Endeavor Air Inc. "
"DTW",2018,12,1345,-4,1436,-8,0,"","Endeavor Air Inc. "
"DTW",2018,1,535,-5,637,6,0,"","Endeavor Air Inc. "
"DTW",2018,12,620,-4,731,-11,0,"","Endeavor Air Inc. "
"DTW",2018,12,1556,-2,1705,-33,0,"","Endeavor Air Inc. "
"DTW",2018,1,1715,-11,1820,-30,0,"","Endeavor Air Inc. "
"DTW",2018,12,1556,-2,1705,-24,0,"","Endeavor Air Inc. "
"DTW",2018,12,1556,0,1705,-29,0,"","Endeavor Air Inc. "
"DTW",2018,12,620,-4,733,3,0,"","Endeavor Air Inc. "
"DTW",2018,12,620,3,733,-24,0,"","Endeavor Air Inc. "
"ORD",2018,10,1153,-11,1205,-16,0,"","ExpressJet Airlines Inc. "
"ORD",2018,3,1130,-1,1145,-6,0,"","ExpressJet Airlines Inc. "
