"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"PIB",2018,5,2040,-19,2116,-23,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1528,-11,1756,-28,0,"","SkyWest Airlines Inc. "
"PIB",2018,1,1924,-21,2001,-17,0,"","SkyWest Airlines Inc. "
"PIB",2018,6,2040,4,2117,1,0,"","SkyWest Airlines Inc. "
"PIB",2018,6,2040,83,2117,90,0,"","SkyWest Airlines Inc. "
"PIB",2018,12,2040,6,2119,-2,0,"","SkyWest Airlines Inc. "
"PIB",2018,2,1924,73,2001,74,0,"","SkyWest Airlines Inc. "
"PIB",2018,7,2040,2,2117,-1,0,"","SkyWest Airlines Inc. "
"PIB",2018,5,2040,-2,2116,0,0,"","SkyWest Airlines Inc. "
"PIB",2018,8,2040,-8,2120,-15,0,"","SkyWest Airlines Inc. "
"PIB",2018,10,2040,8,2120,8,0,"","SkyWest Airlines Inc. "
"PIB",2018,9,2040,-10,2120,-20,0,"","SkyWest Airlines Inc. "
"PIB",2018,9,2040,124,2120,119,0,"","SkyWest Airlines Inc. "
"PIB",2018,8,2040,-30,2120,-25,0,"","SkyWest Airlines Inc. "
"PIB",2018,2,1924,2,2001,0,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1533,48,1752,49,0,"","SkyWest Airlines Inc. "
"PIB",2018,5,2040,0,2116,-6,0,"","SkyWest Airlines Inc. "
"DFW",2018,6,936,-3,1137,-17,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,-3,2001,-5,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,-15,2006,-25,0,"","SkyWest Airlines Inc. "
"PIB",2018,1,1924,193,2001,205,0,"","SkyWest Airlines Inc. "
"DFW",2018,9,939,-5,1137,-7,0,"","SkyWest Airlines Inc. "
"PIB",2018,8,2040,3,2117,3,0,"","SkyWest Airlines Inc. "
"PIB",2018,9,2040,65,2120,60,0,"","SkyWest Airlines Inc. "
"DFW",2018,7,937,-14,1137,-16,0,"","SkyWest Airlines Inc. "
"PIB",2018,12,2040,41,2119,42,0,"","SkyWest Airlines Inc. "
"PIB",2018,10,2040,38,2120,36,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,83,2001,84,0,"","SkyWest Airlines Inc. "
"PIB",2018,1,1924,-7,2001,-3,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,4,2006,4,0,"","SkyWest Airlines Inc. "
"DFW",2018,1,940,-5,1141,-26,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,-20,2006,-26,0,"","SkyWest Airlines Inc. "
"PIB",2018,6,2040,NA,2117,NA,1,"National Air System","SkyWest Airlines Inc. "
"DFW",2018,8,933,31,1137,42,0,"","SkyWest Airlines Inc. "
"PIB",2018,11,2040,-27,2119,-11,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,-4,2001,-2,0,"","SkyWest Airlines Inc. "
"PIB",2018,6,2040,-32,2116,-28,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1820,-27,2050,-53,0,"","SkyWest Airlines Inc. "
"PIB",2018,5,2040,-15,2116,-18,0,"","SkyWest Airlines Inc. "
"PIB",2018,9,2040,-27,2120,21,0,"","SkyWest Airlines Inc. "
"PIB",2018,11,2040,-21,2120,-23,0,"","SkyWest Airlines Inc. "
"PIB",2018,7,2040,36,2117,33,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,28,2006,25,0,"","SkyWest Airlines Inc. "
"PIB",2018,8,2040,-4,2117,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1530,189,1759,163,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1533,53,1752,63,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1532,-9,1759,-9,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,103,2001,94,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,-15,2001,-16,0,"","SkyWest Airlines Inc. "
"DFW",2018,1,940,-5,1141,-6,0,"","SkyWest Airlines Inc. "
"DFW",2018,6,936,-12,1137,-18,0,"","SkyWest Airlines Inc. "
"PIB",2018,12,2040,38,2119,37,0,"","SkyWest Airlines Inc. "
"PIB",2018,2,1924,12,2001,15,0,"","SkyWest Airlines Inc. "
"DFW",2018,2,940,-7,1141,2,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,-37,2001,-38,0,"","SkyWest Airlines Inc. "
"PIB",2018,11,2040,53,2119,51,0,"","SkyWest Airlines Inc. "
"PIB",2018,9,2040,NA,2120,NA,1,"Weather","SkyWest Airlines Inc. "
"PIB",2018,10,2040,-12,2120,-21,0,"","SkyWest Airlines Inc. "
"PIB",2018,8,2040,-38,2117,-34,0,"","SkyWest Airlines Inc. "
"PIB",2018,1,1924,72,2001,64,0,"","SkyWest Airlines Inc. "
"PIB",2018,11,2040,-8,2119,-16,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,32,2001,29,0,"","SkyWest Airlines Inc. "
"PIB",2018,10,2040,-15,2120,-15,0,"","SkyWest Airlines Inc. "
"DFW",2018,11,654,-3,846,8,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1532,-3,1756,-15,0,"","SkyWest Airlines Inc. "
"DFW",2018,10,935,-10,1135,-23,0,"","SkyWest Airlines Inc. "
"DFW",2018,8,939,-7,1137,-14,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,-23,2001,-22,0,"","SkyWest Airlines Inc. "
"DFW",2018,6,935,6,1140,-3,0,"","SkyWest Airlines Inc. "
"DFW",2018,12,653,-4,846,-14,0,"","SkyWest Airlines Inc. "
"DFW",2018,7,937,-7,1137,-17,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,-9,2006,-10,0,"","SkyWest Airlines Inc. "
"PIB",2018,10,2040,-32,2120,-32,0,"","SkyWest Airlines Inc. "
"PIB",2018,7,2040,-10,2117,-16,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1526,65,1756,77,0,"","SkyWest Airlines Inc. "
"PIB",2018,1,1924,-16,2001,-11,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,11,2001,10,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,-13,2001,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1820,7,2050,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1528,-6,1756,-4,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,-33,2006,-35,0,"","SkyWest Airlines Inc. "
"DFW",2018,5,935,0,1140,-5,0,"","SkyWest Airlines Inc. "
"DFW",2018,9,939,-8,1137,-3,0,"","SkyWest Airlines Inc. "
"PIB",2018,2,1924,-25,2001,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1526,-8,1756,10,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1526,9,1756,18,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1524,-1,1751,-9,0,"","SkyWest Airlines Inc. "
"DFW",2018,11,650,-9,846,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1529,-13,1756,-33,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1524,34,1751,48,0,"","SkyWest Airlines Inc. "
"PIB",2018,6,2040,-10,2117,-8,0,"","SkyWest Airlines Inc. "
"PIB",2018,11,2040,0,2119,-4,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1820,-10,2050,-30,0,"","SkyWest Airlines Inc. "
"DFW",2018,10,935,-16,1135,-14,0,"","SkyWest Airlines Inc. "
"DFW",2018,3,940,-9,1141,-16,0,"","SkyWest Airlines Inc. "
"PIB",2018,10,2040,-6,2120,-14,0,"","SkyWest Airlines Inc. "
"PIB",2018,6,2040,57,2116,53,0,"","SkyWest Airlines Inc. "
"PIB",2018,2,1924,-23,2001,-22,0,"","SkyWest Airlines Inc. "
"PIB",2018,10,2040,51,2120,47,0,"","SkyWest Airlines Inc. "
"PIB",2018,7,2040,-4,2117,-4,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,-16,2006,-21,0,"","SkyWest Airlines Inc. "
"PIB",2018,4,1924,37,2006,28,0,"","SkyWest Airlines Inc. "
"PIB",2018,3,1924,-1,2001,0,0,"","SkyWest Airlines Inc. "
"PIB",2018,8,2040,55,2120,48,0,"","SkyWest Airlines Inc. "
"PIB",2018,5,1924,35,2006,24,0,"","SkyWest Airlines Inc. "
"PIB",2018,12,2040,4,2119,6,0,"","SkyWest Airlines Inc. "
"PIB",2018,9,2040,-10,2120,-25,0,"","SkyWest Airlines Inc. "
"PIB",2018,1,1924,NA,2001,NA,1,"National Air System","SkyWest Airlines Inc. "
"DFW",2018,3,940,-24,1141,-20,0,"","SkyWest Airlines Inc. "
"DFW",2018,4,940,-5,1145,-6,0,"","SkyWest Airlines Inc. "
"DFW",2018,12,653,-7,846,-3,0,"","SkyWest Airlines Inc. "
"DFW",2018,9,939,-11,1137,-20,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1524,-4,1751,-19,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1529,12,1756,-5,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1533,-17,1752,-29,0,"","SkyWest Airlines Inc. "
"PIB",2018,11,2040,-12,2119,-26,0,"","SkyWest Airlines Inc. "
"PIB",2018,5,2040,-8,2116,-9,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1529,-14,1756,-27,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1820,0,2050,-18,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1532,-14,1759,-26,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1824,-20,2050,-32,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1524,1050,1751,1037,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1526,80,1756,74,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1528,-7,1756,0,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1532,-15,1756,-18,0,"","SkyWest Airlines Inc. "
