"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"LAX",2018,7,2018,27,2213,20,0,"","Allegiant Air "
"LAX",2018,8,1545,-9,1741,-14,0,"","Allegiant Air "
"LAX",2018,5,1030,-10,1224,-5,0,"","Allegiant Air "
"LAX",2018,1,1243,55,1433,52,0,"","Allegiant Air "
"LAX",2018,3,1753,2,1946,-2,0,"","Allegiant Air "
"LAX",2018,11,1816,-5,2011,-10,0,"","Allegiant Air "
"LAX",2018,5,1130,6,1324,6,0,"","Allegiant Air "
"LAX",2018,12,1543,4,1735,12,0,"","Allegiant Air "
"AZA",2018,5,1953,-3,2209,3,0,"","Allegiant Air "
"LAS",2018,7,1615,413,1756,411,0,"","Allegiant Air "
"LAX",2018,5,1611,68,1805,80,0,"","Allegiant Air "
"AZA",2018,5,917,-8,1133,3,0,"","Allegiant Air "
"LAX",2018,8,2046,-12,2241,-4,0,"","Allegiant Air "
"AZA",2018,7,912,-7,1127,0,0,"","Allegiant Air "
"LAS",2018,9,2058,61,2241,58,0,"","Allegiant Air "
"LAX",2018,9,1546,40,1739,38,0,"","Allegiant Air "
"AZA",2018,7,912,-15,1128,-10,0,"","Allegiant Air "
"AZA",2018,7,912,-11,1128,-13,0,"","Allegiant Air "
"AZA",2018,7,912,35,1128,49,0,"","Allegiant Air "
"LAX",2018,5,1616,292,1811,288,0,"","Allegiant Air "
"LAX",2018,12,1011,43,1204,59,0,"","Allegiant Air "
"LAX",2018,11,1050,-6,1242,7,0,"","Allegiant Air "
"LAX",2018,12,1011,30,1204,17,0,"","Allegiant Air "
"LAX",2018,11,1601,18,1756,27,0,"","Allegiant Air "
"LAX",2018,3,1032,-2,1225,-12,0,"","Allegiant Air "
"LAS",2018,10,2106,-13,2247,-10,0,"","Allegiant Air "
"LAS",2018,6,1608,-3,1750,-3,0,"","Allegiant Air "
"LAS",2018,10,2106,0,2247,-7,0,"","Allegiant Air "
"LAS",2018,10,2106,34,2247,32,0,"","Allegiant Air "
"LAS",2018,7,1033,41,1215,34,0,"","Allegiant Air "
"LAX",2018,5,1611,-10,1805,-21,0,"","Allegiant Air "
"LAS",2018,3,1048,17,1230,25,0,"","Allegiant Air "
"LAS",2018,1,1625,18,1807,13,0,"","Allegiant Air "
"LAS",2018,5,2028,13,2213,3,0,"","Allegiant Air "
"LAX",2018,5,1611,4,1805,24,0,"","Allegiant Air "
"LAX",2018,10,1551,-2,1744,4,0,"","Allegiant Air "
"LAX",2018,2,1954,-3,2146,5,0,"","Allegiant Air "
"LAX",2018,8,1545,18,1741,21,0,"","Allegiant Air "
"LAX",2018,4,1957,54,2150,42,0,"","Allegiant Air "
"LAX",2018,4,1700,1,1851,19,0,"","Allegiant Air "
"LAX",2018,9,1546,6,1739,3,0,"","Allegiant Air "
"LAX",2018,11,1601,-6,1756,-18,0,"","Allegiant Air "
"LAX",2018,6,1536,3,1731,22,0,"","Allegiant Air "
"LAX",2018,3,1753,4,1946,3,0,"","Allegiant Air "
"LAS",2018,7,1032,25,1213,31,0,"","Allegiant Air "
"LAS",2018,3,1744,0,1926,2,0,"","Allegiant Air "
"LAX",2018,6,2056,35,2251,40,0,"","Allegiant Air "
"LAX",2018,4,1700,85,1851,86,0,"","Allegiant Air "
"LAX",2018,7,2023,35,2218,40,0,"","Allegiant Air "
"LAS",2018,1,1625,21,1807,20,0,"","Allegiant Air "
"LAX",2018,4,1959,247,2150,257,0,"","Allegiant Air "
"LAX",2018,4,1700,-2,1851,-1,0,"","Allegiant Air "
"LAS",2018,4,1917,-1,2058,0,0,"","Allegiant Air "
"LAX",2018,6,1028,7,1223,11,0,"","Allegiant Air "
