"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"LGA",2018,1,745,NA,915,NA,1,"National Air System","Endeavor Air Inc. "
"DTW",2018,3,700,32,915,19,0,"","Endeavor Air Inc. "
"DTW",2018,4,1227,-7,1439,-18,0,"","Endeavor Air Inc. "
"LGA",2018,8,612,-11,730,-11,0,"","Endeavor Air Inc. "
"LGA",2018,11,930,-10,1051,-7,0,"","Endeavor Air Inc. "
"LGA",2018,2,1220,32,1345,35,0,"","Endeavor Air Inc. "
"LGA",2018,11,600,0,719,40,0,"","Endeavor Air Inc. "
"LGA",2018,3,1235,25,1408,6,0,"","Endeavor Air Inc. "
"LGA",2018,10,607,-10,730,-8,0,"","Endeavor Air Inc. "
"LGA",2018,4,600,-8,725,NA,0,"","Endeavor Air Inc. "
"LGA",2018,5,600,-8,724,-32,0,"","Endeavor Air Inc. "
"LGA",2018,12,600,-10,726,-21,0,"","Endeavor Air Inc. "
"DTW",2018,4,1641,-6,1859,-17,0,"","Endeavor Air Inc. "
"LGA",2018,2,620,-2,750,-19,0,"","Endeavor Air Inc. "
"LGA",2018,8,612,-4,730,5,0,"","Endeavor Air Inc. "
"DTW",2018,5,700,-9,902,-26,0,"","Endeavor Air Inc. "
"LGA",2018,12,600,-5,726,-30,0,"","Endeavor Air Inc. "
"LGA",2018,4,600,-10,724,-23,0,"","Endeavor Air Inc. "
"LGA",2018,11,715,-8,830,7,0,"","Endeavor Air Inc. "
"LGA",2018,4,1225,4,1358,-10,0,"","Endeavor Air Inc. "
"LGA",2018,8,612,-4,730,-17,0,"","Endeavor Air Inc. "
"LGA",2018,12,600,-7,726,-7,0,"","Endeavor Air Inc. "
"LGA",2018,2,1240,-6,1409,-29,0,"","Endeavor Air Inc. "
"LGA",2018,11,600,-8,719,-4,0,"","Endeavor Air Inc. "
"LGA",2018,1,1240,-8,1409,-12,0,"","Endeavor Air Inc. "
"LGA",2018,6,1233,-16,1348,-15,0,"","Endeavor Air Inc. "
"LGA",2018,9,600,-22,720,-39,0,"","Endeavor Air Inc. "
"LGA",2018,3,600,-2,725,-17,0,"","Endeavor Air Inc. "
"LGA",2018,4,1235,NA,1408,NA,1,"Weather","Endeavor Air Inc. "
"LGA",2018,1,1711,8,1846,26,0,"","Endeavor Air Inc. "
"LGA",2018,4,600,-3,724,-23,0,"","Endeavor Air Inc. "
"LGA",2018,2,1220,-4,1345,-20,0,"","Endeavor Air Inc. "
"LGA",2018,4,1225,8,1358,-2,0,"","Endeavor Air Inc. "
"DTW",2018,11,655,0,913,10,0,"","Endeavor Air Inc. "
"LGA",2018,6,600,-9,723,-18,0,"","Endeavor Air Inc. "
"DTW",2018,4,900,-5,1115,-17,0,"","Endeavor Air Inc. "
"LGA",2018,3,1727,97,1859,80,0,"","Endeavor Air Inc. "
"LGA",2018,2,745,-18,918,-38,0,"","Endeavor Air Inc. "
"DTW",2018,3,700,-3,915,-30,0,"","Endeavor Air Inc. "
"LGA",2018,6,1235,-12,1357,-15,0,"","Endeavor Air Inc. "
"LGA",2018,6,1233,11,1348,26,0,"","Endeavor Air Inc. "
"DTW",2018,4,900,-2,1115,-26,0,"","Endeavor Air Inc. "
"DTW",2018,4,1227,-11,1439,-20,0,"","Endeavor Air Inc. "
"DTW",2018,3,700,-3,915,-16,0,"","Endeavor Air Inc. "
"LGA",2018,4,600,-4,724,NA,0,"","Endeavor Air Inc. "
"DTW",2018,2,1228,-6,1450,-7,0,"","Endeavor Air Inc. "
"LGA",2018,6,600,-8,723,-22,0,"","Endeavor Air Inc. "
"LGA",2018,2,620,-9,750,-28,0,"","Endeavor Air Inc. "
"DTW",2018,8,700,-3,859,-15,0,"","Endeavor Air Inc. "
"LGA",2018,3,1718,53,1853,55,0,"","Endeavor Air Inc. "
"LGA",2018,5,725,-5,840,-18,0,"","Endeavor Air Inc. "
"LGA",2018,7,1233,-10,1347,-25,0,"","Endeavor Air Inc. "
"DTW",2018,5,1640,-5,1859,-30,0,"","Endeavor Air Inc. "
"DTW",2018,8,700,161,859,143,0,"","Endeavor Air Inc. "
"LGA",2018,2,620,101,750,89,0,"","Endeavor Air Inc. "
"LGA",2018,1,554,226,730,207,0,"","Endeavor Air Inc. "
"DTW",2018,4,1641,-17,1859,-42,0,"","Endeavor Air Inc. "
"LGA",2018,10,607,-13,730,-10,0,"","Endeavor Air Inc. "
"LGA",2018,2,1711,-10,1846,-31,0,"","Endeavor Air Inc. "
"LGA",2018,4,1225,-9,1358,-27,0,"","Endeavor Air Inc. "
"LGA",2018,3,1718,25,1853,21,0,"","Endeavor Air Inc. "
"LGA",2018,1,1240,-10,1409,-21,0,"","Endeavor Air Inc. "
"LGA",2018,3,1235,-9,1408,4,0,"","Endeavor Air Inc. "
"LGA",2018,12,600,-5,726,-27,0,"","Endeavor Air Inc. "
"DTW",2018,10,1230,-8,1437,-14,0,"","Endeavor Air Inc. "
"LGA",2018,4,900,-12,1025,-24,0,"","Endeavor Air Inc. "
"DTW",2018,5,831,-4,1042,-20,0,"","Endeavor Air Inc. "
"LGA",2018,6,715,-11,830,-6,0,"","Endeavor Air Inc. "
"LGA",2018,5,725,-10,840,-13,0,"","Endeavor Air Inc. "
"LGA",2018,4,1225,-4,1358,-20,0,"","Endeavor Air Inc. "
"DTW",2018,3,1642,-1,1855,-22,0,"","Endeavor Air Inc. "
"LGA",2018,3,1718,-7,1853,-22,0,"","Endeavor Air Inc. "
"DTW",2018,10,1230,-6,1437,-13,0,"","Endeavor Air Inc. "
"LGA",2018,2,554,-13,729,-28,0,"","Endeavor Air Inc. "
"LGA",2018,8,612,-10,730,-19,0,"","Endeavor Air Inc. "
"DTW",2018,11,700,-14,911,18,0,"","Endeavor Air Inc. "
"LGA",2018,9,600,-1,720,-12,0,"","Endeavor Air Inc. "
"LGA",2018,3,600,-2,725,10,0,"","Endeavor Air Inc. "
"LGA",2018,4,725,-12,846,-24,0,"","Endeavor Air Inc. "
"LGA",2018,1,554,-3,729,-13,0,"","Endeavor Air Inc. "
"DTW",2018,3,845,NA,1103,NA,1,"Weather","Endeavor Air Inc. "
"LGA",2018,12,710,-5,831,-17,0,"","Endeavor Air Inc. "
"LGA",2018,3,1235,-10,1408,-28,0,"","Endeavor Air Inc. "
