"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,1,1425,53,1604,57,0,"","Endeavor Air Inc. "
"CLT",2018,4,826,-6,1016,-32,0,"","American Airlines Inc. "
"CLT",2018,9,848,-7,1035,-14,0,"","American Airlines Inc. "
"CLT",2018,9,848,-7,1035,-8,0,"","American Airlines Inc. "
"CLT",2018,7,847,-8,1035,-4,0,"","American Airlines Inc. "
"CLT",2018,9,848,0,1035,2,0,"","American Airlines Inc. "
"CLT",2018,9,848,-10,1035,-20,0,"","American Airlines Inc. "
"CLT",2018,10,847,-6,1035,-9,0,"","American Airlines Inc. "
"CLT",2018,5,830,-5,1019,-6,0,"","American Airlines Inc. "
"CLT",2018,4,826,-3,1016,-5,0,"","American Airlines Inc. "
"CLT",2018,9,848,-4,1035,-8,0,"","American Airlines Inc. "
"CLT",2018,7,847,26,1035,13,0,"","American Airlines Inc. "
"CLT",2018,10,848,-10,1035,-13,0,"","American Airlines Inc. "
"CLT",2018,4,826,-1,1016,1,0,"","American Airlines Inc. "
"CLT",2018,5,830,-3,1019,2,0,"","American Airlines Inc. "
"CLT",2018,6,848,-4,1035,-6,0,"","American Airlines Inc. "
"CLT",2018,10,848,-7,1035,-8,0,"","American Airlines Inc. "
"CLT",2018,5,830,0,1019,1,0,"","American Airlines Inc. "
"CLT",2018,9,848,-10,1035,-3,0,"","American Airlines Inc. "
"CLT",2018,9,848,-5,1035,3,0,"","American Airlines Inc. "
"CLT",2018,5,830,2,1019,6,0,"","American Airlines Inc. "
"CLT",2018,5,830,8,1019,12,0,"","American Airlines Inc. "
"CLT",2018,8,847,-6,1035,-13,0,"","American Airlines Inc. "
"CLT",2018,8,847,35,1035,24,0,"","American Airlines Inc. "
"CLT",2018,9,848,-11,1035,-14,0,"","American Airlines Inc. "
"CLT",2018,7,847,-6,1035,1,0,"","American Airlines Inc. "
"CLT",2018,9,848,4,1035,-2,0,"","American Airlines Inc. "
"CLT",2018,6,830,-7,1019,2,0,"","American Airlines Inc. "
"CLT",2018,7,847,25,1035,11,0,"","American Airlines Inc. "
"CLT",2018,8,847,-4,1035,-5,0,"","American Airlines Inc. "
"CLT",2018,5,830,-6,1019,-17,0,"","American Airlines Inc. "
"CLT",2018,4,826,-6,1016,-16,0,"","American Airlines Inc. "
"CLT",2018,8,847,1,1035,6,0,"","American Airlines Inc. "
"CLT",2018,5,830,-8,1019,-5,0,"","American Airlines Inc. "
"CLT",2018,8,847,-5,1035,-16,0,"","American Airlines Inc. "
"CLT",2018,9,848,165,1035,162,0,"","American Airlines Inc. "
"CLT",2018,7,847,66,1035,50,0,"","American Airlines Inc. "
"CLT",2018,4,826,-1,1016,NA,1,"Airline","American Airlines Inc. "
"CLT",2018,6,848,-4,1035,-2,0,"","American Airlines Inc. "
"CLT",2018,4,826,-11,1016,-1,0,"","American Airlines Inc. "
"CLT",2018,6,830,-1,1019,1,0,"","American Airlines Inc. "
"CLT",2018,5,830,-7,1019,-12,0,"","American Airlines Inc. "
"CLT",2018,4,826,-1,1016,9,0,"","American Airlines Inc. "
"CLT",2018,9,848,17,1035,2,0,"","American Airlines Inc. "
"CLT",2018,6,848,-6,1035,0,0,"","American Airlines Inc. "
"CLT",2018,6,848,-4,1035,3,0,"","American Airlines Inc. "
"CLT",2018,6,830,-4,1019,-11,0,"","American Airlines Inc. "
"CLT",2018,8,847,-7,1035,-1,0,"","American Airlines Inc. "
"CLT",2018,5,830,-3,1019,-9,0,"","American Airlines Inc. "
"CLT",2018,7,847,66,1035,46,0,"","American Airlines Inc. "
"CLT",2018,4,826,-6,1016,-9,0,"","American Airlines Inc. "
"CLT",2018,5,826,0,1016,16,0,"","American Airlines Inc. "
"CLT",2018,5,830,-7,1019,1,0,"","American Airlines Inc. "
"CLT",2018,6,848,-6,1035,-20,0,"","American Airlines Inc. "
"CLT",2018,8,847,4,1035,5,0,"","American Airlines Inc. "
"CLT",2018,5,830,-5,1019,-23,0,"","American Airlines Inc. "
"CLT",2018,5,830,-2,1019,0,0,"","American Airlines Inc. "
"CLT",2018,9,847,-8,1035,-10,0,"","American Airlines Inc. "
"CLT",2018,6,848,-1,1035,-6,0,"","American Airlines Inc. "
"CLT",2018,4,826,-1,1016,-6,0,"","American Airlines Inc. "
"CLT",2018,8,847,33,1035,26,0,"","American Airlines Inc. "
"CLT",2018,4,826,-3,1016,4,0,"","American Airlines Inc. "
"CLT",2018,4,826,-6,1016,-3,0,"","American Airlines Inc. "
"CLT",2018,5,830,-4,1019,-6,0,"","American Airlines Inc. "
"CLT",2018,5,826,-1,1016,7,0,"","American Airlines Inc. "
"CLT",2018,5,830,-9,1019,-15,0,"","American Airlines Inc. "
"CLT",2018,6,848,-6,1035,-3,0,"","American Airlines Inc. "
"CLT",2018,5,830,-8,1019,-4,0,"","American Airlines Inc. "
"CLT",2018,6,848,11,1035,-1,0,"","American Airlines Inc. "
"CLT",2018,4,826,-9,1016,-8,0,"","American Airlines Inc. "
"CLT",2018,7,847,1,1035,-6,0,"","American Airlines Inc. "
"CLT",2018,7,848,-6,1035,-9,0,"","American Airlines Inc. "
"CLT",2018,5,830,-4,1019,-10,0,"","American Airlines Inc. "
"CLT",2018,7,847,-3,1035,-9,0,"","American Airlines Inc. "
"CLT",2018,6,848,-2,1035,-9,0,"","American Airlines Inc. "
"CLT",2018,4,826,-14,1016,-11,0,"","American Airlines Inc. "
"CLT",2018,9,848,-5,1035,-7,0,"","American Airlines Inc. "
"CLT",2018,5,830,-5,1019,-5,0,"","American Airlines Inc. "
"CLT",2018,6,848,-6,1035,-12,0,"","American Airlines Inc. "
"CLT",2018,7,847,-2,1035,-9,0,"","American Airlines Inc. "
"CLT",2018,8,847,37,1035,20,0,"","American Airlines Inc. "
"CLT",2018,4,826,239,1016,224,0,"","American Airlines Inc. "
"CLT",2018,8,847,-7,1035,-12,0,"","American Airlines Inc. "
"CLT",2018,5,830,19,1019,17,0,"","American Airlines Inc. "
"CLT",2018,8,847,-5,1035,-15,0,"","American Airlines Inc. "
"CLT",2018,4,826,-4,1016,-6,0,"","American Airlines Inc. "
"CLT",2018,5,830,-3,1019,-5,0,"","American Airlines Inc. "
"CLT",2018,7,847,-11,1035,-19,0,"","American Airlines Inc. "
"CLT",2018,9,847,-8,1035,-13,0,"","American Airlines Inc. "
"CLT",2018,7,847,-2,1035,1,0,"","American Airlines Inc. "
"CLT",2018,6,830,-7,1019,-22,0,"","American Airlines Inc. "
"CLT",2018,8,847,-8,1035,0,0,"","American Airlines Inc. "
"CLT",2018,6,848,-8,1035,-8,0,"","American Airlines Inc. "
"CLT",2018,9,848,-7,1035,-10,0,"","American Airlines Inc. "
"CLT",2018,6,848,-7,1035,-3,0,"","American Airlines Inc. "
"CLT",2018,6,848,-4,1035,-6,0,"","American Airlines Inc. "
"CLT",2018,7,848,-6,1035,-13,0,"","American Airlines Inc. "
"CLT",2018,7,847,-3,1035,-5,0,"","American Airlines Inc. "
"CLT",2018,8,847,-9,1035,-11,0,"","American Airlines Inc. "
"CLT",2018,9,848,4,1035,19,0,"","American Airlines Inc. "
"CLT",2018,7,847,-4,1035,-11,0,"","American Airlines Inc. "
"CLT",2018,9,848,-7,1035,-7,0,"","American Airlines Inc. "
"CLT",2018,10,848,-9,1035,-10,0,"","American Airlines Inc. "
"CLT",2018,9,848,-6,1035,-14,0,"","American Airlines Inc. "
"CLT",2018,5,830,-7,1019,-2,0,"","American Airlines Inc. "
"CLT",2018,8,847,-6,1035,5,0,"","American Airlines Inc. "
"CLT",2018,7,847,-9,1035,-7,0,"","American Airlines Inc. "
"CLT",2018,8,847,-3,1035,-6,0,"","American Airlines Inc. "
"CLT",2018,9,848,-5,1035,-3,0,"","American Airlines Inc. "
"CLT",2018,6,848,-7,1035,7,0,"","American Airlines Inc. "
"CLT",2018,8,847,8,1035,10,0,"","American Airlines Inc. "
"CLT",2018,7,847,-5,1035,-3,0,"","American Airlines Inc. "
"CLT",2018,7,848,-8,1035,-2,0,"","American Airlines Inc. "
"CLT",2018,7,847,74,1035,59,0,"","American Airlines Inc. "
"CLT",2018,6,848,-5,1035,-6,0,"","American Airlines Inc. "
"CLT",2018,4,826,-3,1016,-10,0,"","American Airlines Inc. "
"CLT",2018,7,847,-3,1035,-9,0,"","American Airlines Inc. "
