"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"LAS",2018,2,1454,133,1612,132,0,"","Allegiant Air "
"LAS",2018,1,1719,-11,1839,-23,0,"","Allegiant Air "
"LAS",2018,10,1700,30,1817,30,0,"","Allegiant Air "
"LAS",2018,9,1644,16,1805,16,0,"","Allegiant Air "
"LAS",2018,9,1528,36,1649,41,0,"","Allegiant Air "
"LAS",2018,4,1445,7,1605,3,0,"","Allegiant Air "
"LAS",2018,7,1604,13,1721,32,0,"","Allegiant Air "
"LAS",2018,5,1627,21,1748,9,0,"","Allegiant Air "
"LAS",2018,6,1508,25,1629,24,0,"","Allegiant Air "
"LAS",2018,12,1923,0,2042,-7,0,"","Allegiant Air "
"LAS",2018,10,1634,48,1751,56,0,"","Allegiant Air "
"LAS",2018,11,1509,4,1624,4,0,"","Allegiant Air "
"LAS",2018,11,1706,-9,1822,-13,0,"","Allegiant Air "
"LAS",2018,3,1459,-7,1621,-20,0,"","Allegiant Air "
"LAS",2018,1,1719,-6,1839,-16,0,"","Allegiant Air "
"LAS",2018,8,1611,4,1731,15,0,"","Allegiant Air "
"LAS",2018,7,1604,11,1721,14,0,"","Allegiant Air "
"LAS",2018,12,2047,-12,2202,-10,0,"","Allegiant Air "
"LAS",2018,9,1644,4,1805,2,0,"","Allegiant Air "
"LAS",2018,7,1604,155,1721,166,0,"","Allegiant Air "
"LAS",2018,6,1606,-5,1727,-16,0,"","Allegiant Air "
"LAS",2018,9,1708,-5,1829,-4,0,"","Allegiant Air "
"LAS",2018,10,1634,58,1751,63,0,"","Allegiant Air "
"LAS",2018,7,1609,-3,1726,-5,0,"","Allegiant Air "
"LAS",2018,10,1700,23,1817,32,0,"","Allegiant Air "
"LAS",2018,1,1719,0,1839,-3,0,"","Allegiant Air "
"LAS",2018,9,1644,14,1805,10,0,"","Allegiant Air "
"LAS",2018,7,1606,10,1727,9,0,"","Allegiant Air "
"LAS",2018,4,1445,32,1605,25,0,"","Allegiant Air "
"LAS",2018,12,2134,14,2249,16,0,"","Allegiant Air "
"LAS",2018,8,1611,47,1731,50,0,"","Allegiant Air "
