"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"SFO",2018,12,1355,0,1529,-10,0,"","SkyWest Airlines Inc. "
"SFO",2018,5,1345,22,1520,28,0,"","SkyWest Airlines Inc. "
"SFO",2018,8,1355,9,1529,9,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1442,4,1816,-1,0,"","SkyWest Airlines Inc. "
"SFO",2018,12,1355,-6,1529,10,0,"","SkyWest Airlines Inc. "
"SFO",2018,7,1355,-14,1529,-9,0,"","SkyWest Airlines Inc. "
"SFO",2018,12,1356,103,1528,92,0,"","SkyWest Airlines Inc. "
"SFO",2018,11,1356,-5,1527,-3,0,"","SkyWest Airlines Inc. "
"SFO",2018,11,1356,151,1527,137,0,"","SkyWest Airlines Inc. "
"SFO",2018,12,1355,65,1529,63,0,"","SkyWest Airlines Inc. "
"SFO",2018,12,1355,22,1529,21,0,"","SkyWest Airlines Inc. "
"SFO",2018,3,1345,36,1520,24,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1442,-10,1816,-2,0,"","SkyWest Airlines Inc. "
"SFO",2018,2,1350,-11,1525,-15,0,"","SkyWest Airlines Inc. "
"SFO",2018,9,1355,-4,1531,-8,0,"","SkyWest Airlines Inc. "
"SFO",2018,6,1351,28,1525,31,0,"","SkyWest Airlines Inc. "
"SFO",2018,2,1345,32,1520,72,0,"","SkyWest Airlines Inc. "
"SFO",2018,12,1356,NA,1528,NA,1,"Weather","SkyWest Airlines Inc. "
"SFO",2018,2,1345,-11,1520,-17,0,"","SkyWest Airlines Inc. "
"SFO",2018,8,1355,-9,1529,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1442,-11,1816,NA,0,"","SkyWest Airlines Inc. "
"SFO",2018,1,1350,85,1525,74,0,"","SkyWest Airlines Inc. "
"SFO",2018,6,1351,-9,1525,-15,0,"","SkyWest Airlines Inc. "
"SFO",2018,8,1355,99,1529,94,0,"","SkyWest Airlines Inc. "
"SFO",2018,7,1355,-1,1529,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1442,60,1819,110,0,"","SkyWest Airlines Inc. "
"SFO",2018,1,1350,-1,1525,-17,0,"","SkyWest Airlines Inc. "
"SFO",2018,9,1355,-10,1531,-6,0,"","SkyWest Airlines Inc. "
"SFO",2018,6,1351,190,1525,188,0,"","SkyWest Airlines Inc. "
"SFO",2018,4,1345,-4,1522,-22,0,"","SkyWest Airlines Inc. "
"SFO",2018,5,1345,-3,1520,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1442,9,1819,10,0,"","SkyWest Airlines Inc. "
"SFO",2018,4,1345,NA,1520,NA,1,"National Air System","SkyWest Airlines Inc. "
"SFO",2018,8,1355,1102,1529,1111,0,"","SkyWest Airlines Inc. "
"SFO",2018,10,1356,-16,1532,-24,0,"","SkyWest Airlines Inc. "
"SFO",2018,4,1345,-3,1522,-1,0,"","SkyWest Airlines Inc. "
"SFO",2018,8,1355,164,1531,159,0,"","SkyWest Airlines Inc. "
"SFO",2018,6,1351,-10,1525,-4,0,"","SkyWest Airlines Inc. "
"SFO",2018,6,1351,22,1525,10,0,"","SkyWest Airlines Inc. "
"SFO",2018,7,1355,-10,1529,-21,0,"","SkyWest Airlines Inc. "
"SFO",2018,12,1356,28,1528,25,0,"","SkyWest Airlines Inc. "
"SFO",2018,9,1355,-20,1531,-15,0,"","SkyWest Airlines Inc. "
"SFO",2018,10,1356,3,1532,-11,0,"","SkyWest Airlines Inc. "
"SFO",2018,6,1351,20,1525,32,0,"","SkyWest Airlines Inc. "
"SFO",2018,9,1355,-1,1531,-10,0,"","SkyWest Airlines Inc. "
"SFO",2018,9,1355,48,1531,53,0,"","SkyWest Airlines Inc. "
"SFO",2018,5,1345,28,1520,14,0,"","SkyWest Airlines Inc. "
"SFO",2018,1,1350,-7,1525,-19,0,"","SkyWest Airlines Inc. "
"SFO",2018,9,1355,-7,1531,-16,0,"","SkyWest Airlines Inc. "
"SFO",2018,4,1350,-7,1527,-13,0,"","SkyWest Airlines Inc. "
"SFO",2018,4,1345,10,1520,9,0,"","SkyWest Airlines Inc. "
"SFO",2018,5,1350,39,1527,38,0,"","SkyWest Airlines Inc. "
"SFO",2018,8,1355,33,1529,25,0,"","SkyWest Airlines Inc. "
"SFO",2018,4,1345,29,1520,21,0,"","SkyWest Airlines Inc. "
"SFO",2018,11,1356,-3,1527,-10,0,"","SkyWest Airlines Inc. "
"SFO",2018,11,1356,NA,1527,NA,1,"Weather","SkyWest Airlines Inc. "
"SFO",2018,1,1350,68,1525,77,0,"","SkyWest Airlines Inc. "
