"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"SLC",2018,7,620,-4,852,0,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,3,853,-5,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,-3,852,5,0,"","Delta Air Lines Inc. "
"SLC",2018,7,620,0,852,3,0,"","Delta Air Lines Inc. "
"SLC",2018,11,600,4,853,-5,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,19,853,11,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,5,852,3,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,-8,852,-11,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,-7,853,-3,0,"","Delta Air Lines Inc. "
"SLC",2018,9,615,-6,852,-15,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,-5,852,-2,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,-6,853,-3,0,"","Delta Air Lines Inc. "
"SLC",2018,9,615,-7,852,-18,0,"","Delta Air Lines Inc. "
"SLC",2018,7,620,-1,850,-6,0,"","Delta Air Lines Inc. "
"SLC",2018,7,620,-2,852,0,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,-2,852,0,0,"","Delta Air Lines Inc. "
"SLC",2018,11,600,-2,853,-30,0,"","Delta Air Lines Inc. "
"SLC",2018,9,615,120,851,107,0,"","Delta Air Lines Inc. "
"SLC",2018,11,600,-4,853,-26,0,"","Delta Air Lines Inc. "
"SLC",2018,9,615,-1,852,-10,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,-2,852,-2,0,"","Delta Air Lines Inc. "
"SLC",2018,9,615,-3,852,-9,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,-2,853,0,0,"","Delta Air Lines Inc. "
"SLC",2018,7,620,-3,852,2,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,-4,853,-1,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,-4,853,-12,0,"","Delta Air Lines Inc. "
"SLC",2018,7,620,-5,852,-9,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,-3,852,-7,0,"","Delta Air Lines Inc. "
"SLC",2018,7,620,-2,850,-9,0,"","Delta Air Lines Inc. "
"SLC",2018,11,600,-6,851,-13,0,"","Delta Air Lines Inc. "
"SLC",2018,9,615,-4,852,-2,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,-4,853,2,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,-3,852,3,0,"","Delta Air Lines Inc. "
"SLC",2018,11,600,-1,853,-9,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,-6,853,-9,0,"","Delta Air Lines Inc. "
"SLC",2018,12,600,0,853,0,0,"","Delta Air Lines Inc. "
"SLC",2018,9,615,-2,851,-9,0,"","Delta Air Lines Inc. "
"SLC",2018,8,1630,1,1900,0,0,"","Delta Air Lines Inc. "
"SLC",2018,8,620,-5,852,-4,0,"","Delta Air Lines Inc. "
"SLC",2018,12,600,-3,851,-32,0,"","Delta Air Lines Inc. "
"SLC",2018,8,1630,12,1900,5,0,"","Delta Air Lines Inc. "
"SLC",2018,7,620,-4,852,-7,0,"","Delta Air Lines Inc. "
"SLC",2018,6,620,-10,853,-16,0,"","Delta Air Lines Inc. "
