"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"MCO",2018,12,1301,-13,1635,-23,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1301,-9,1635,-17,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1249,-9,1603,-4,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1249,-8,1603,28,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1301,5,1635,-24,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1301,-6,1635,-29,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1301,2,1635,-2,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1319,-7,1633,7,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1301,98,1635,75,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1301,9,1635,25,0,"","Frontier Airlines Inc. "
"MCO",2018,12,1301,-8,1635,-17,0,"","Frontier Airlines Inc. "
"PGD",2018,1,1050,2,1436,-8,0,"","Allegiant Air "
"PGD",2018,3,1032,8,1408,-5,0,"","Allegiant Air "
"PGD",2018,4,1649,-4,2013,-23,0,"","Allegiant Air "
"PGD",2018,11,1628,0,2004,-21,0,"","Allegiant Air "
"PGD",2018,5,1639,-4,1958,-16,0,"","Allegiant Air "
"PGD",2018,2,1810,8,2150,-14,0,"","Allegiant Air "
"PGD",2018,6,1802,156,2122,148,0,"","Allegiant Air "
"PGD",2018,7,1801,-1,2111,-15,0,"","Allegiant Air "
"SFB",2018,6,1030,7,1330,10,0,"","Allegiant Air "
"SFB",2018,1,1915,23,2240,30,0,"","Allegiant Air "
"SFB",2018,11,1941,-2,2253,-12,0,"","Allegiant Air "
"SFB",2018,9,1709,0,2016,-30,0,"","Allegiant Air "
"SFB",2018,5,1927,-12,2229,-17,0,"","Allegiant Air "
"SFB",2018,2,1041,-7,1403,-36,0,"","Allegiant Air "
"SFB",2018,3,1718,-10,2032,-26,0,"","Allegiant Air "
"SFB",2018,7,1051,9,1349,-5,0,"","Allegiant Air "
"SFB",2018,10,1923,-12,2233,-36,0,"","Allegiant Air "
"SFB",2018,3,1044,-6,1358,7,0,"","Allegiant Air "
"MYR",2018,8,1955,-8,2215,-22,0,"","Allegiant Air "
"SFB",2018,7,1031,-15,1329,-10,0,"","Allegiant Air "
"SFB",2018,7,1031,32,1329,56,0,"","Allegiant Air "
"SFB",2018,12,1037,-5,1355,2,0,"","Allegiant Air "
"SFB",2018,8,1031,-15,1333,-17,0,"","Allegiant Air "
"SFB",2018,5,1927,-4,2229,0,0,"","Allegiant Air "
"SFB",2018,5,1036,13,1338,9,0,"","Allegiant Air "
"SFB",2018,8,1031,2,1333,14,0,"","Allegiant Air "
"SFB",2018,6,1718,77,2018,66,0,"","Allegiant Air "
"MYR",2018,8,1525,34,1745,32,0,"","Allegiant Air "
"SFB",2018,1,1848,66,2207,43,0,"","Allegiant Air "
"SFB",2018,4,1929,0,2234,6,0,"","Allegiant Air "
"MYR",2018,7,2005,37,2210,42,0,"","Allegiant Air "
"SFB",2018,10,1951,268,2301,260,0,"","Allegiant Air "
"SFB",2018,10,1923,349,2233,325,0,"","Allegiant Air "
"SFB",2018,12,943,147,1250,144,0,"","Allegiant Air "
"MYR",2018,8,915,20,1136,2,0,"","Allegiant Air "
"MYR",2018,8,2010,-18,2230,-40,0,"","Allegiant Air "
"MYR",2018,7,958,12,1203,8,0,"","Allegiant Air "
"PGD",2018,11,1012,16,1340,69,0,"","Allegiant Air "
"PGD",2018,4,1649,-10,2013,-23,0,"","Allegiant Air "
"SFB",2018,5,1400,-38,1705,-63,0,"","Allegiant Air "
"SFB",2018,8,1940,-2,2244,-18,0,"","Allegiant Air "
"PGD",2018,2,1032,-3,1412,-11,0,"","Allegiant Air "
"PGD",2018,5,1639,-4,1958,8,0,"","Allegiant Air "
"PGD",2018,3,1812,0,2148,-31,0,"","Allegiant Air "
"PGD",2018,6,1802,-9,2122,-17,0,"","Allegiant Air "
"PGD",2018,10,1753,28,2114,28,0,"","Allegiant Air "
"PGD",2018,12,2004,132,2325,146,0,"","Allegiant Air "
"PGD",2018,12,1628,-7,2004,-12,0,"","Allegiant Air "
"PGD",2018,3,1032,-12,1408,1,0,"","Allegiant Air "
"PGD",2018,6,1802,NA,2122,NA,1,"Weather","Allegiant Air "
"PGD",2018,11,1827,-8,2200,-5,0,"","Allegiant Air "
"PGD",2018,3,1902,-2,2238,-29,0,"","Allegiant Air "
"PGD",2018,3,1902,31,2238,26,0,"","Allegiant Air "
"PGD",2018,2,1810,415,2150,394,0,"","Allegiant Air "
"PGD",2018,3,1745,-13,2121,-29,0,"","Allegiant Air "
"SFB",2018,7,1030,120,1330,106,0,"","Allegiant Air "
"PGD",2018,4,1032,-10,1408,-13,0,"","Allegiant Air "
"PGD",2018,4,1044,23,1408,13,0,"","Allegiant Air "
"PGD",2018,12,1628,-9,2004,-7,0,"","Allegiant Air "
"PGD",2018,12,2004,-2,2325,-15,0,"","Allegiant Air "
"PGD",2018,1,1050,10,1436,-22,0,"","Allegiant Air "
"PGD",2018,3,1042,0,1418,-7,0,"","Allegiant Air "
"PGD",2018,1,1050,-4,1436,-41,0,"","Allegiant Air "
"PGD",2018,10,1753,7,2114,2,0,"","Allegiant Air "
"SFB",2018,8,1712,0,2016,-6,0,"","Allegiant Air "
"PGD",2018,3,1755,20,2131,-11,0,"","Allegiant Air "
"PGD",2018,10,1753,16,2114,16,0,"","Allegiant Air "
"PGD",2018,4,1649,11,2013,28,0,"","Allegiant Air "
"PGD",2018,3,1755,49,2131,35,0,"","Allegiant Air "
"PGD",2018,1,1050,-4,1436,4,0,"","Allegiant Air "
"PGD",2018,7,1802,18,2122,-4,0,"","Allegiant Air "
"PGD",2018,4,1649,4,2013,4,0,"","Allegiant Air "
"PGD",2018,11,1012,0,1340,21,0,"","Allegiant Air "
"PGD",2018,9,1059,18,1420,-1,0,"","Allegiant Air "
"PGD",2018,5,1718,7,2037,10,0,"","Allegiant Air "
"PGD",2018,6,1802,0,2122,4,0,"","Allegiant Air "
"PGD",2018,3,1812,NA,2148,NA,1,"Airline","Allegiant Air "
"PGD",2018,3,1032,21,1408,-9,0,"","Allegiant Air "
"PGD",2018,4,1044,-11,1408,-28,0,"","Allegiant Air "
"SFB",2018,2,1041,0,1403,-16,0,"","Allegiant Air "
"SFB",2018,3,1718,-10,2032,-33,0,"","Allegiant Air "
"SFB",2018,9,1709,-1,2016,-17,0,"","Allegiant Air "
"SFB",2018,1,1915,-11,2240,0,0,"","Allegiant Air "
"SFB",2018,9,1709,30,2016,21,0,"","Allegiant Air "
"SFB",2018,3,1044,34,1358,51,0,"","Allegiant Air "
"SFB",2018,12,1037,0,1355,-5,0,"","Allegiant Air "
"SFB",2018,3,1044,-4,1358,-18,0,"","Allegiant Air "
"SFB",2018,5,1030,0,1330,-2,0,"","Allegiant Air "
"SFB",2018,9,1709,17,2016,-4,0,"","Allegiant Air "
"SFB",2018,10,1837,-17,2147,-16,0,"","Allegiant Air "
"SFB",2018,5,1036,282,1338,270,0,"","Allegiant Air "
"SFB",2018,3,1718,27,2032,-5,0,"","Allegiant Air "
"SFB",2018,3,1039,12,1353,-7,0,"","Allegiant Air "
"SFB",2018,12,1138,-14,1445,-3,0,"","Allegiant Air "
"SFB",2018,2,1744,9,2106,8,0,"","Allegiant Air "
"SFB",2018,4,1929,-14,2234,-12,0,"","Allegiant Air "
"MYR",2018,7,2005,60,2210,77,0,"","Allegiant Air "
"SFB",2018,7,1051,-4,1349,-9,0,"","Allegiant Air "
