"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"PHX",2018,4,1240,-4,1424,-6,0,"","American Airlines Inc. "
"PHX",2018,8,1928,-3,2113,-6,0,"","American Airlines Inc. "
"PHX",2018,12,1242,-9,1522,12,0,"","American Airlines Inc. "
"DFW",2018,6,53,7,603,-10,0,"","American Airlines Inc. "
"DFW",2018,6,614,-4,1129,-6,0,"","American Airlines Inc. "
"PHX",2018,6,1236,8,1423,3,0,"","American Airlines Inc. "
"DFW",2018,4,600,-7,1119,9,0,"","American Airlines Inc. "
"DFW",2018,8,1352,0,1912,-7,0,"","American Airlines Inc. "
"DFW",2018,10,615,-4,1130,-22,0,"","American Airlines Inc. "
"DFW",2018,5,1352,2,1914,6,0,"","American Airlines Inc. "
"DFW",2018,11,1400,-3,1912,-17,0,"","American Airlines Inc. "
"PHX",2018,6,1236,-5,1423,-21,0,"","American Airlines Inc. "
"PHX",2018,2,1243,22,1529,29,0,"","American Airlines Inc. "
"PHX",2018,3,600,-3,750,7,0,"","American Airlines Inc. "
"DFW",2018,9,1354,-5,1912,-10,0,"","American Airlines Inc. "
"PHX",2018,6,1928,87,2113,72,0,"","American Airlines Inc. "
"PHX",2018,1,1245,1,1525,-6,0,"","American Airlines Inc. "
"DFW",2018,10,615,-2,1130,-5,0,"","American Airlines Inc. "
"PHX",2018,4,1930,11,2113,5,0,"","American Airlines Inc. "
"PHX",2018,5,1235,-9,1418,-14,0,"","American Airlines Inc. "
"DFW",2018,10,615,-5,1130,9,0,"","American Airlines Inc. "
"DFW",2018,5,1352,-1,1914,1,0,"","American Airlines Inc. "
"DFW",2018,1,615,9,1140,-1,0,"","American Airlines Inc. "
"PHX",2018,4,1240,4,1424,-2,0,"","American Airlines Inc. "
"PHX",2018,4,600,-6,747,-2,0,"","American Airlines Inc. "
"DFW",2018,5,50,24,601,15,0,"","American Airlines Inc. "
"ORD",2018,6,2345,4,535,-6,0,"","American Airlines Inc. "
"PHX",2018,12,1247,8,1527,4,0,"","American Airlines Inc. "
"PHX",2018,8,1240,-9,1423,-11,0,"","American Airlines Inc. "
"ORD",2018,2,2359,-7,550,-33,0,"","American Airlines Inc. "
"DFW",2018,3,1355,-5,1912,-11,0,"","American Airlines Inc. "
"PHX",2018,6,1236,-10,1423,-6,0,"","American Airlines Inc. "
"ORD",2018,8,1136,15,1739,50,0,"","American Airlines Inc. "
"PHX",2018,3,600,-4,750,-3,0,"","American Airlines Inc. "
"PHX",2018,1,600,-7,852,-17,0,"","American Airlines Inc. "
"PHX",2018,1,1243,-7,1529,0,0,"","American Airlines Inc. "
"DFW",2018,2,1355,-5,1912,-6,0,"","American Airlines Inc. "
"PHX",2018,1,600,-2,852,-7,0,"","American Airlines Inc. "
"ORD",2018,6,1134,-10,1735,3,0,"","American Airlines Inc. "
"PHX",2018,7,1236,-2,1423,-12,0,"","American Airlines Inc. "
"PHX",2018,8,1928,-7,2113,-16,0,"","American Airlines Inc. "
"PHX",2018,4,1930,-3,2113,-13,0,"","American Airlines Inc. "
"PHX",2018,8,1236,-12,1423,-25,0,"","American Airlines Inc. "
"ORD",2018,5,2345,-7,535,-20,0,"","American Airlines Inc. "
"PHX",2018,4,1930,92,2113,80,0,"","American Airlines Inc. "
"ORD",2018,8,1136,22,1739,17,0,"","American Airlines Inc. "
"PHX",2018,1,1245,46,1525,44,0,"","American Airlines Inc. "
"PHX",2018,9,1927,1,2109,5,0,"","American Airlines Inc. "
"PHX",2018,3,1245,-9,1427,-19,0,"","American Airlines Inc. "
"PHX",2018,11,1242,-3,1522,-10,0,"","American Airlines Inc. "
"DFW",2018,10,615,-2,1130,8,0,"","American Airlines Inc. "
"DFW",2018,2,615,-4,1135,-14,0,"","American Airlines Inc. "
"PHX",2018,11,1242,-8,1522,-7,0,"","American Airlines Inc. "
"PHX",2018,9,1242,-6,1425,-9,0,"","American Airlines Inc. "
"ORD",2018,9,1135,-5,1734,-26,0,"","American Airlines Inc. "
"PHX",2018,4,1930,-7,2113,-16,0,"","American Airlines Inc. "
"ORD",2018,3,2359,-6,545,-27,0,"","American Airlines Inc. "
"PHX",2018,9,1927,-10,2109,-16,0,"","American Airlines Inc. "
"DFW",2018,11,1400,-6,1912,-13,0,"","American Airlines Inc. "
"ORD",2018,4,115,4,715,-37,0,"","American Airlines Inc. "
"PHX",2018,7,1236,1,1423,0,0,"","American Airlines Inc. "
"ORD",2018,9,1135,1,1734,-8,0,"","American Airlines Inc. "
"PHX",2018,9,1240,-2,1423,6,0,"","American Airlines Inc. "
"PHX",2018,2,600,-5,856,-1,0,"","American Airlines Inc. "
"ORD",2018,6,1125,-2,1734,-23,0,"","American Airlines Inc. "
"PHX",2018,8,1240,-10,1423,-13,0,"","American Airlines Inc. "
