"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,10,1412,0,1544,0,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-6,729,-4,0,"","Endeavor Air Inc. "
"ATL",2018,4,1652,-4,1825,-15,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-4,729,-10,0,"","Endeavor Air Inc. "
"ATL",2018,2,1755,-3,1932,-19,0,"","Endeavor Air Inc. "
"ATL",2018,2,1755,-11,1932,-29,0,"","Endeavor Air Inc. "
"ATL",2018,2,1755,-12,1932,-35,0,"","Endeavor Air Inc. "
"ATL",2018,1,1755,-9,1932,-27,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-5,734,-8,0,"","Endeavor Air Inc. "
"ATL",2018,4,1640,6,1815,-14,0,"","Endeavor Air Inc. "
"ATL",2018,4,1640,24,1815,26,0,"","Endeavor Air Inc. "
"ATL",2018,3,1359,-10,1529,-16,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-1,734,-13,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-7,729,-17,0,"","Endeavor Air Inc. "
"ATL",2018,10,1412,24,1544,18,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-3,729,-1,0,"","Endeavor Air Inc. "
"ATL",2018,3,1630,13,1804,7,0,"","Endeavor Air Inc. "
"ATL",2018,1,1755,-22,1932,-32,0,"","Endeavor Air Inc. "
"ATL",2018,10,1412,16,1544,2,0,"","Endeavor Air Inc. "
"ATL",2018,4,1640,8,1815,5,0,"","Endeavor Air Inc. "
"ATL",2018,4,1640,-5,1815,-25,0,"","Endeavor Air Inc. "
"ATL",2018,4,1640,-14,1815,-26,0,"","Endeavor Air Inc. "
"ATL",2018,4,1640,-8,1815,-20,0,"","Endeavor Air Inc. "
"ATL",2018,10,732,19,905,-1,0,"","Endeavor Air Inc. "
"ATL",2018,1,1755,50,1932,35,0,"","Endeavor Air Inc. "
"ATL",2018,4,1730,-5,1901,-16,0,"","Endeavor Air Inc. "
"ATL",2018,3,1630,NA,1804,NA,1,"Weather","Endeavor Air Inc. "
"ATL",2018,4,1640,42,1815,30,0,"","Endeavor Air Inc. "
