"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ORD",2018,7,2256,-9,500,0,0,"","American Airlines Inc. "
"PHX",2018,11,1606,-8,1856,-6,0,"","American Airlines Inc. "
"CLT",2018,9,2232,-3,622,-11,0,"","American Airlines Inc. "
"PHX",2018,2,1608,99,1909,90,0,"","American Airlines Inc. "
"PHX",2018,4,615,-8,812,-6,0,"","American Airlines Inc. "
"ORD",2018,1,2245,-5,452,-18,0,"","American Airlines Inc. "
"PHX",2018,5,952,-9,1145,-17,0,"","American Airlines Inc. "
"PHX",2018,7,1914,8,2108,-1,0,"","American Airlines Inc. "
"PHX",2018,1,920,-6,1214,15,0,"","American Airlines Inc. "
"PHX",2018,6,949,-6,1140,1,0,"","American Airlines Inc. "
"PHX",2018,1,1236,-1,1529,-6,0,"","American Airlines Inc. "
"ORD",2018,8,742,21,1401,47,0,"","American Airlines Inc. "
"ORD",2018,6,1420,-4,2038,-6,0,"","American Airlines Inc. "
"ORD",2018,1,800,-7,1418,-15,0,"","American Airlines Inc. "
"DFW",2018,5,610,0,1155,-13,0,"","American Airlines Inc. "
"PHX",2018,9,1605,NA,1756,NA,1,"Security","American Airlines Inc. "
"DFW",2018,9,800,-7,1335,-16,0,"","American Airlines Inc. "
"DFW",2018,4,800,-2,1331,-14,0,"","American Airlines Inc. "
"DFW",2018,1,610,-3,1143,-6,0,"","American Airlines Inc. "
"DFW",2018,3,1020,5,1549,-17,0,"","American Airlines Inc. "
"PHX",2018,6,949,110,1140,95,0,"","American Airlines Inc. "
"DFW",2018,11,1342,-10,1911,-16,0,"","American Airlines Inc. "
"PHX",2018,6,1237,21,1428,25,0,"","American Airlines Inc. "
"ORD",2018,9,741,-6,1401,-4,0,"","American Airlines Inc. "
"PHX",2018,7,1233,13,1428,8,0,"","American Airlines Inc. "
"PHX",2018,1,1240,-10,1528,-6,0,"","American Airlines Inc. "
"DFW",2018,4,800,-2,1331,-15,0,"","American Airlines Inc. "
"PHX",2018,7,625,0,821,-8,0,"","American Airlines Inc. "
"PHX",2018,12,615,-4,907,-3,0,"","American Airlines Inc. "
"CLT",2018,7,2222,69,616,50,0,"","American Airlines Inc. "
"ORD",2018,3,800,-6,1418,-26,0,"","American Airlines Inc. "
"PHX",2018,2,920,-5,1214,17,0,"","American Airlines Inc. "
"ORD",2018,3,800,0,1418,-15,0,"","American Airlines Inc. "
"DFW",2018,2,610,-5,1148,6,0,"","American Airlines Inc. "
"ORD",2018,11,1322,-4,1942,-32,0,"","American Airlines Inc. "
"ORD",2018,9,1316,79,1940,69,0,"","American Airlines Inc. "
"CLT",2018,5,2215,-11,613,-13,0,"","American Airlines Inc. "
"DFW",2018,5,800,-1,1334,-13,0,"","American Airlines Inc. "
"PHX",2018,1,1608,-6,1909,0,0,"","American Airlines Inc. "
"ORD",2018,6,1420,12,2038,10,0,"","American Airlines Inc. "
"PHX",2018,2,915,-5,1209,-15,0,"","American Airlines Inc. "
"DFW",2018,2,1408,14,1944,6,0,"","American Airlines Inc. "
"PHX",2018,6,1233,NA,1428,NA,1,"National Air System","American Airlines Inc. "
"PHX",2018,9,620,-4,813,-12,0,"","American Airlines Inc. "
"PHX",2018,7,1604,167,1758,169,0,"","American Airlines Inc. "
"DFW",2018,4,1201,2,1732,-20,0,"","American Airlines Inc. "
"PHX",2018,2,1236,-6,1529,-3,0,"","American Airlines Inc. "
"PHX",2018,4,615,-7,812,-10,0,"","American Airlines Inc. "
"ORD",2018,5,740,19,1400,14,0,"","American Airlines Inc. "
"PHX",2018,8,949,13,1140,12,0,"","American Airlines Inc. "
"DFW",2018,9,610,-7,1151,-9,0,"","American Airlines Inc. "
"DFW",2018,7,800,-1,1335,6,0,"","American Airlines Inc. "
"PHX",2018,3,925,6,1113,7,0,"","American Airlines Inc. "
"DFW",2018,10,801,-3,1335,55,0,"","American Airlines Inc. "
"PHX",2018,11,958,-4,1247,-13,0,"","American Airlines Inc. "
"PHX",2018,7,625,21,821,51,0,"","American Airlines Inc. "
"PHX",2018,5,1924,-7,2114,-19,0,"","American Airlines Inc. "
"ORD",2018,11,1322,16,1942,25,0,"","American Airlines Inc. "
"ORD",2018,7,2256,3,500,2,0,"","American Airlines Inc. "
"PHX",2018,3,1925,-3,2113,-9,0,"","American Airlines Inc. "
"PHX",2018,10,620,0,815,-16,0,"","American Airlines Inc. "
"PHX",2018,3,1240,-4,1429,-8,0,"","American Airlines Inc. "
"PHX",2018,8,620,-8,813,-5,0,"","American Airlines Inc. "
"DFW",2018,8,1337,-3,1914,-11,0,"","American Airlines Inc. "
"PHX",2018,1,1608,-4,1909,-18,0,"","American Airlines Inc. "
"ORD",2018,12,1322,88,1941,83,0,"","American Airlines Inc. "
"ORD",2018,4,1320,26,1945,1,0,"","American Airlines Inc. "
"ORD",2018,9,741,9,1401,16,0,"","American Airlines Inc. "
"ORD",2018,11,1322,NA,1942,NA,1,"Weather","American Airlines Inc. "
"PHX",2018,1,920,2,1214,27,0,"","American Airlines Inc. "
"PHX",2018,4,1605,-4,1755,-7,0,"","American Airlines Inc. "
"PHX",2018,9,1237,-9,1428,-14,0,"","American Airlines Inc. "
"ORD",2018,5,740,-3,1400,1,0,"","American Airlines Inc. "
"PHX",2018,1,1235,-6,1528,-5,0,"","American Airlines Inc. "
"PHX",2018,8,1914,-5,2108,-12,0,"","American Airlines Inc. "
"ORD",2018,3,800,-3,1418,-3,0,"","American Airlines Inc. "
"DFW",2018,6,1206,0,1740,-1,0,"","American Airlines Inc. "
"PHX",2018,11,1241,-7,1529,-9,0,"","American Airlines Inc. "
"ORD",2018,3,800,-1,1418,7,0,"","American Airlines Inc. "
"PHX",2018,2,915,-7,1209,-9,0,"","American Airlines Inc. "
"PHX",2018,2,1236,-6,1529,3,0,"","American Airlines Inc. "
"PHX",2018,7,1233,27,1428,21,0,"","American Airlines Inc. "
"ORD",2018,7,2256,11,500,10,0,"","American Airlines Inc. "
"ORD",2018,8,741,38,1401,27,0,"","American Airlines Inc. "
"PHX",2018,11,1606,2,1856,-1,0,"","American Airlines Inc. "
"ORD",2018,2,800,15,1418,12,0,"","American Airlines Inc. "
"PHX",2018,8,951,-8,1142,-12,0,"","American Airlines Inc. "
"PHX",2018,6,620,-10,822,-25,0,"","American Airlines Inc. "
"ORD",2018,7,742,0,1401,-9,0,"","American Airlines Inc. "
"ORD",2018,10,743,-2,1401,-10,0,"","American Airlines Inc. "
"PHX",2018,10,1926,-10,2114,-10,0,"","American Airlines Inc. "
"ORD",2018,9,1447,-8,2110,-29,0,"","American Airlines Inc. "
"PHX",2018,7,1914,-7,2108,-17,0,"","American Airlines Inc. "
"ORD",2018,8,2256,-5,500,5,0,"","American Airlines Inc. "
"PHX",2018,8,625,-7,821,-7,0,"","American Airlines Inc. "
"PHX",2018,1,1920,-8,2215,23,0,"","American Airlines Inc. "
"CLT",2018,10,2222,18,609,18,0,"","American Airlines Inc. "
"ORD",2018,9,741,68,1401,55,0,"","American Airlines Inc. "
"CLT",2018,5,2215,8,613,3,0,"","American Airlines Inc. "
"ORD",2018,8,1316,81,1940,80,0,"","American Airlines Inc. "
"PHX",2018,10,1606,7,1756,3,0,"","American Airlines Inc. "
"ORD",2018,5,740,-3,1400,26,0,"","American Airlines Inc. "
"PHX",2018,4,1240,-10,1429,-17,0,"","American Airlines Inc. "
"PHX",2018,5,1237,-8,1428,-12,0,"","American Airlines Inc. "
"ORD",2018,1,745,-7,1402,-11,0,"","American Airlines Inc. "
"PHX",2018,8,625,23,821,12,0,"","American Airlines Inc. "
"DFW",2018,6,1344,-1,1920,-6,0,"","American Airlines Inc. "
"PHX",2018,4,1238,-2,1430,-7,0,"","American Airlines Inc. "
"PHX",2018,4,1605,-5,1755,4,0,"","American Airlines Inc. "
"PHX",2018,9,1919,-9,2108,2,0,"","American Airlines Inc. "
"PHX",2018,6,620,-4,822,-12,0,"","American Airlines Inc. "
"PHX",2018,6,620,-4,822,-23,0,"","American Airlines Inc. "
"PHX",2018,5,1237,-5,1428,4,0,"","American Airlines Inc. "
"DFW",2018,6,1351,76,1927,51,0,"","American Airlines Inc. "
"ORD",2018,5,740,-3,1400,-25,0,"","American Airlines Inc. "
"DFW",2018,9,1200,1,1734,-4,0,"","American Airlines Inc. "
"ORD",2018,7,1319,79,1941,72,0,"","American Airlines Inc. "
"PHX",2018,7,1604,-9,1758,-9,0,"","American Airlines Inc. "
"PHX",2018,2,1608,-6,1909,3,0,"","American Airlines Inc. "
"PHX",2018,9,951,-5,1142,-7,0,"","American Airlines Inc. "
"DFW",2018,4,1201,-3,1732,-1,0,"","American Airlines Inc. "
"PHX",2018,11,1239,-4,1429,-4,0,"","American Airlines Inc. "
"ORD",2018,6,743,-2,1401,-10,0,"","American Airlines Inc. "
"ORD",2018,1,800,-5,1418,-13,0,"","American Airlines Inc. "
"ORD",2018,5,1420,-3,2038,-13,0,"","American Airlines Inc. "
"ORD",2018,6,2255,-2,500,1,0,"","American Airlines Inc. "
"ORD",2018,11,1322,87,1942,71,0,"","American Airlines Inc. "
"ORD",2018,5,1420,112,2038,137,0,"","American Airlines Inc. "
"DFW",2018,9,1200,-2,1734,-9,0,"","American Airlines Inc. "
"PHX",2018,8,1604,-4,1758,-8,0,"","American Airlines Inc. "
"PHX",2018,3,1240,-3,1429,-5,0,"","American Airlines Inc. "
"PHX",2018,3,925,-3,1113,5,0,"","American Airlines Inc. "
"PHX",2018,4,1605,-16,1755,-17,0,"","American Airlines Inc. "
"DFW",2018,1,1355,-2,1928,-15,0,"","American Airlines Inc. "
"PHX",2018,12,620,-2,918,13,0,"","American Airlines Inc. "
"DFW",2018,10,801,-4,1335,-17,0,"","American Airlines Inc. "
"ORD",2018,12,1322,3,1942,12,0,"","American Airlines Inc. "
"PHX",2018,6,948,-8,1140,-6,0,"","American Airlines Inc. "
"ORD",2018,8,742,NA,1401,NA,1,"Weather","American Airlines Inc. "
"PHX",2018,8,625,-4,821,-7,0,"","American Airlines Inc. "
"DFW",2018,1,1158,6,1729,-10,0,"","American Airlines Inc. "
"PHX",2018,11,1932,-8,2219,-9,0,"","American Airlines Inc. "
"PHX",2018,2,1236,1,1529,-2,0,"","American Airlines Inc. "
"ORD",2018,7,2256,0,500,-6,0,"","American Airlines Inc. "
"PHX",2018,2,615,-6,917,-5,0,"","American Airlines Inc. "
"PHX",2018,4,615,-9,812,-5,0,"","American Airlines Inc. "
"PHX",2018,4,615,-2,812,-11,0,"","American Airlines Inc. "
"DFW",2018,6,610,-13,1155,-13,0,"","American Airlines Inc. "
"DFW",2018,7,610,-1,1151,-7,0,"","American Airlines Inc. "
"CLT",2018,9,2232,-9,622,-16,0,"","American Airlines Inc. "
"PHX",2018,5,1915,-11,2104,-10,0,"","American Airlines Inc. "
"PHX",2018,8,951,-9,1142,-21,0,"","American Airlines Inc. "
