"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"MIA",2018,12,1041,-19,1233,-20,0,"","American Airlines Inc. "
"ORD",2018,5,700,-9,1118,-40,0,"","American Airlines Inc. "
"ORD",2018,6,1502,-8,1920,2,0,"","American Airlines Inc. "
"DFW",2018,6,1344,-6,1815,-38,0,"","American Airlines Inc. "
"MIA",2018,1,1830,-9,2030,-22,0,"","American Airlines Inc. "
"MIA",2018,3,1448,-3,1652,-15,0,"","American Airlines Inc. "
"CLT",2018,12,1748,-2,2038,-18,0,"","American Airlines Inc. "
"CLT",2018,1,1545,-10,1850,-20,0,"","American Airlines Inc. "
"ORD",2018,4,1502,-5,1932,-7,0,"","American Airlines Inc. "
"PHL",2018,4,1300,60,1706,47,0,"","American Airlines Inc. "
"DFW",2018,2,1420,5,1756,-4,0,"","American Airlines Inc. "
"PHL",2018,12,1401,-3,1710,-1,0,"","American Airlines Inc. "
"PHL",2018,9,1249,-8,1704,-23,0,"","American Airlines Inc. "
"PHL",2018,3,1510,10,1922,0,0,"","American Airlines Inc. "
"MIA",2018,11,1640,3,1839,3,0,"","American Airlines Inc. "
"CLT",2018,6,1645,-6,2038,-4,0,"","American Airlines Inc. "
"CLT",2018,5,1442,92,1845,63,0,"","American Airlines Inc. "
"CLT",2018,5,1649,-16,2047,-59,0,"","American Airlines Inc. "
"MIA",2018,5,1352,18,1649,12,0,"","American Airlines Inc. "
"CLT",2018,12,1538,-5,1835,-8,0,"","American Airlines Inc. "
"PHL",2018,3,800,17,1211,1,0,"","American Airlines Inc. "
"DFW",2018,5,1344,-3,1815,-20,0,"","American Airlines Inc. "
"PHL",2018,6,1246,-12,1654,-26,0,"","American Airlines Inc. "
"PHL",2018,12,1400,-7,1710,-28,0,"","American Airlines Inc. "
"CLT",2018,1,1336,-12,1640,-48,0,"","American Airlines Inc. "
"MIA",2018,9,1354,-8,1648,-21,0,"","American Airlines Inc. "
"CLT",2018,6,1437,1,1833,-8,0,"","American Airlines Inc. "
"PHL",2018,2,1610,36,1920,19,0,"","American Airlines Inc. "
"MIA",2018,11,1041,-7,1233,-15,0,"","American Airlines Inc. "
"CLT",2018,9,1241,-8,1638,-35,0,"","American Airlines Inc. "
"CLT",2018,7,1438,49,1835,44,0,"","American Airlines Inc. "
"CLT",2018,8,1438,-7,1835,-29,0,"","American Airlines Inc. "
"DFW",2018,3,1320,-13,1802,-11,0,"","American Airlines Inc. "
"DFW",2018,5,1344,-8,1815,-44,0,"","American Airlines Inc. "
"PHL",2018,7,607,-4,1005,13,0,"","American Airlines Inc. "
"CLT",2018,12,1538,17,1835,34,0,"","American Airlines Inc. "
"MIA",2018,3,1730,83,2036,55,0,"","American Airlines Inc. "
"PHL",2018,11,1401,25,1710,15,0,"","American Airlines Inc. "
"PHL",2018,2,1355,-14,1703,-29,0,"","American Airlines Inc. "
"MIA",2018,4,935,414,1233,NA,1,"Airline","American Airlines Inc. "
"CLT",2018,8,1438,2,1835,-1,0,"","American Airlines Inc. "
"DFW",2018,3,850,-1,1325,-6,0,"","American Airlines Inc. "
"ORD",2018,1,1550,-10,1925,-12,0,"","American Airlines Inc. "
"DFW",2018,10,832,154,1250,162,0,"","American Airlines Inc. "
"DFW",2018,6,1346,3,1758,18,0,"","American Airlines Inc. "
"MIA",2018,1,900,-20,1103,-20,0,"","American Airlines Inc. "
"DFW",2018,2,950,-8,1321,-14,0,"","American Airlines Inc. "
"DFW",2018,3,1426,-10,1802,-9,0,"","American Airlines Inc. "
"MIA",2018,5,640,10,934,4,0,"","American Airlines Inc. "
"ORD",2018,7,1504,12,1924,17,0,"","American Airlines Inc. "
"PHL",2018,4,800,-8,1203,-13,0,"","American Airlines Inc. "
"PHL",2018,7,1302,30,1704,73,0,"","American Airlines Inc. "
"PHL",2018,5,1525,7,1934,0,0,"","American Airlines Inc. "
"MIA",2018,3,800,-3,1059,-10,0,"","American Airlines Inc. "
"PHL",2018,2,902,-14,1214,-17,0,"","American Airlines Inc. "
"PHL",2018,3,1259,13,1714,-7,0,"","American Airlines Inc. "
"CLT",2018,5,1436,-10,1840,-18,0,"","American Airlines Inc. "
"PHL",2018,1,1610,-6,1920,-17,0,"","American Airlines Inc. "
"MIA",2018,4,639,-7,939,-6,0,"","American Airlines Inc. "
"PHL",2018,1,1610,-5,1920,-17,0,"","American Airlines Inc. "
"MIA",2018,7,1545,-4,1839,8,0,"","American Airlines Inc. "
"CLT",2018,12,1747,-8,2038,-18,0,"","American Airlines Inc. "
"CLT",2018,4,1649,-2,2048,-18,0,"","American Airlines Inc. "
