"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DEN",2018,12,945,20,1059,55,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1755,-9,1918,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,944,6,1107,32,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-10,1918,-26,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,930,-10,1053,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,944,-10,1107,-30,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,20,1920,21,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,930,15,1053,10,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,0,1053,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-15,1053,-29,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,934,-9,1057,-31,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1750,22,1913,6,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1750,4,1913,-8,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1757,-13,1920,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1800,-16,1920,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-2,1053,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-6,1913,-25,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1755,-11,1918,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1757,-8,1920,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,930,-8,1053,-28,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-10,1918,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,944,-8,1107,-21,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,94,1100,86,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,934,-13,1057,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,930,-6,1053,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-3,1053,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,930,-4,1053,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1757,-10,1920,-8,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-11,1053,-27,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,944,-4,1107,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,934,9,1057,-4,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-11,1918,4,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1755,-8,1918,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,62,1913,92,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-3,1053,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-8,1920,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1805,-9,1919,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-14,1100,-14,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-12,1053,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-11,1100,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-5,1053,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1805,-12,1919,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-10,1100,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-4,1053,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,934,-2,1057,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,0,1100,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-15,1920,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-9,1918,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-12,1053,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-10,1913,12,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-7,1920,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,NA,1109,NA,1,"Weather","SkyWest Airlines Inc. "
"DEN",2018,10,1755,-9,1918,-1,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-15,1920,-26,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-1,1913,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,930,-6,1053,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,7,1053,1,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-1,1913,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-10,1913,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-5,1053,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-10,1920,3,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1755,-20,1918,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,930,-1,1053,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-3,1053,-30,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-7,1053,-25,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1755,23,1918,9,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,930,109,1053,104,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-13,1053,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-11,1920,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1008,-4,1132,-1,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-8,1100,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-8,1913,-27,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,930,-1,1053,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1755,-4,1918,2,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,932,-12,1055,-25,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,60,1913,52,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1755,40,1918,39,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,945,234,1059,229,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1750,-11,1913,-25,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-8,1053,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-12,1053,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,22,1913,7,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,69,1053,49,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-16,1920,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,934,-10,1057,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1750,37,1913,17,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-3,1918,-8,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-8,1918,1,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-14,1920,1,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-7,1100,7,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-13,1920,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1755,-6,1918,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-10,1100,15,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-18,1053,-31,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-1,1053,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1805,8,1919,5,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-7,1920,3,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1757,-14,1920,3,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-9,1918,-31,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1805,99,1919,104,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,2,1053,2,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1757,-18,1920,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1755,-9,1918,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,944,-1,1107,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,946,-11,1110,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,934,-7,1057,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1755,-10,1918,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-11,1918,-3,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1755,-15,1918,-4,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-5,1920,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-6,1053,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-19,1913,-31,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-11,1913,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1757,-11,1920,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1757,-10,1920,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,930,56,1053,39,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1755,30,1918,53,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-5,1100,-14,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1755,-10,1918,-8,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1800,-16,1920,-3,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1755,-10,1918,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-4,1053,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-15,1920,-36,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-11,1101,10,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,934,-7,1057,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-11,1913,NA,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-12,1918,-37,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1750,14,1913,95,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-20,1920,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1800,-3,1920,-1,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,-10,1913,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1750,39,1913,24,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-3,1053,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-8,1101,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,930,-9,1053,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-6,1053,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,946,-12,1100,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,930,-14,1053,-28,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1750,-2,1913,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1755,-16,1918,2,0,"","SkyWest Airlines Inc. "
