"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,8,830,-13,937,-28,0,"","Endeavor Air Inc. "
"ATL",2018,8,1458,-2,1602,-11,0,"","Endeavor Air Inc. "
"ATL",2018,12,805,-7,916,-21,0,"","Endeavor Air Inc. "
"ATL",2018,3,655,10,756,2,0,"","Endeavor Air Inc. "
"ATL",2018,12,805,-8,919,-14,0,"","Endeavor Air Inc. "
"ATL",2018,9,1504,71,1609,59,0,"","Endeavor Air Inc. "
"ATL",2018,10,1030,-11,1130,-3,0,"","Endeavor Air Inc. "
"ATL",2018,10,700,-3,756,7,0,"","Endeavor Air Inc. "
"ATL",2018,12,1032,-3,1143,-20,0,"","Endeavor Air Inc. "
"ATL",2018,9,1030,-3,1130,-8,0,"","Endeavor Air Inc. "
"ATL",2018,9,745,-7,848,-12,0,"","Endeavor Air Inc. "
"ATL",2018,3,655,-5,756,-12,0,"","Endeavor Air Inc. "
"ATL",2018,9,900,-7,1001,-10,0,"","Endeavor Air Inc. "
"ATL",2018,11,1023,39,1129,30,0,"","Endeavor Air Inc. "
"ATL",2018,9,1300,23,1409,17,0,"","Endeavor Air Inc. "
"ATL",2018,4,1455,13,1555,1,0,"","Endeavor Air Inc. "
"ATL",2018,7,550,-1,647,-12,0,"","Endeavor Air Inc. "
"ATL",2018,4,700,-12,807,-21,0,"","Endeavor Air Inc. "
"ATL",2018,11,1700,-10,1814,-29,0,"","Endeavor Air Inc. "
"ATL",2018,8,1507,-9,1614,-19,0,"","Endeavor Air Inc. "
"ATL",2018,5,954,8,1054,7,0,"","Endeavor Air Inc. "
"ATL",2018,7,1300,-2,1409,26,0,"","Endeavor Air Inc. "
"ATL",2018,3,1910,-5,2009,12,0,"","Endeavor Air Inc. "
"ATL",2018,10,1312,66,1420,59,0,"","Endeavor Air Inc. "
"ATL",2018,9,1300,168,1409,157,0,"","Endeavor Air Inc. "
"ATL",2018,12,1700,-5,1814,-17,0,"","Endeavor Air Inc. "
"ATL",2018,12,1310,-3,1420,-27,0,"","Endeavor Air Inc. "
"ATL",2018,4,1455,-8,1555,-19,0,"","Endeavor Air Inc. "
"ATL",2018,9,705,-4,804,-1,0,"","Endeavor Air Inc. "
"ATL",2018,3,655,-1,756,14,0,"","Endeavor Air Inc. "
"ATL",2018,11,700,-6,802,-3,0,"","Endeavor Air Inc. "
"ATL",2018,9,1759,-19,1907,-37,0,"","Endeavor Air Inc. "
"ATL",2018,9,705,-6,804,-7,0,"","Endeavor Air Inc. "
"ATL",2018,12,1032,57,1143,37,0,"","Endeavor Air Inc. "
"ATL",2018,4,1455,291,1555,288,0,"","Endeavor Air Inc. "
"ATL",2018,5,1259,-4,1404,-16,0,"","Endeavor Air Inc. "
"ATL",2018,6,1502,4,1618,-25,0,"","Endeavor Air Inc. "
"ATL",2018,7,550,-6,647,-18,0,"","Endeavor Air Inc. "
"ATL",2018,7,1155,-11,1303,-20,0,"","Endeavor Air Inc. "
"ATL",2018,10,1029,-5,1130,-10,0,"","Endeavor Air Inc. "
"ATL",2018,11,1023,-5,1129,-4,0,"","Endeavor Air Inc. "
"ATL",2018,10,700,-4,756,4,0,"","Endeavor Air Inc. "
"ATL",2018,10,1312,-11,1420,-2,0,"","Endeavor Air Inc. "
"ATL",2018,12,1646,67,1800,68,0,"","Endeavor Air Inc. "
"ATL",2018,4,1910,-12,2016,-24,0,"","Endeavor Air Inc. "
"ATL",2018,11,535,-5,638,-6,0,"","Endeavor Air Inc. "
"ATL",2018,12,1031,-8,1142,-10,0,"","Endeavor Air Inc. "
"ATL",2018,12,805,-10,919,3,0,"","Endeavor Air Inc. "
"ATL",2018,3,1910,-10,2009,3,0,"","Endeavor Air Inc. "
"ATL",2018,5,1259,-6,1404,-6,0,"","Endeavor Air Inc. "
"ATL",2018,8,1915,-12,2023,13,0,"","Endeavor Air Inc. "
"ATL",2018,4,700,-2,807,-14,0,"","Endeavor Air Inc. "
"ATL",2018,4,700,-3,807,-17,0,"","Endeavor Air Inc. "
"ATL",2018,5,954,26,1054,14,0,"","Endeavor Air Inc. "
"ATL",2018,8,1304,-6,1413,-14,0,"","Endeavor Air Inc. "
"ATL",2018,12,1645,-9,1758,-10,0,"","Endeavor Air Inc. "
"ATL",2018,7,830,18,937,13,0,"","Endeavor Air Inc. "
"ATL",2018,6,1502,45,1618,52,0,"","Endeavor Air Inc. "
"ATL",2018,10,1914,-6,2019,17,0,"","Endeavor Air Inc. "
"ATL",2018,6,1502,NA,1618,-7,0,"","Endeavor Air Inc. "
"ATL",2018,7,900,-5,1005,-8,0,"","Endeavor Air Inc. "
"ATL",2018,6,1502,2,1618,-23,0,"","Endeavor Air Inc. "
"ATL",2018,8,1507,-9,1614,-29,0,"","Endeavor Air Inc. "
"ATL",2018,7,550,-5,647,-19,0,"","Endeavor Air Inc. "
"ATL",2018,4,1157,22,1304,5,0,"","Endeavor Air Inc. "
"ATL",2018,7,1027,-10,1124,-15,0,"","Endeavor Air Inc. "
"ATL",2018,3,1910,-6,2009,-5,0,"","Endeavor Air Inc. "
"ATL",2018,9,1030,-6,1130,-12,0,"","Endeavor Air Inc. "
"ATL",2018,9,1030,-5,1130,3,0,"","Endeavor Air Inc. "
"ATL",2018,10,1030,15,1130,17,0,"","Endeavor Air Inc. "
"ATL",2018,9,745,-7,849,-16,0,"","Endeavor Air Inc. "
"ATL",2018,8,1304,-10,1413,-23,0,"","Endeavor Air Inc. "
"ATL",2018,10,1312,-5,1420,-9,0,"","Endeavor Air Inc. "
"ATL",2018,8,1304,-8,1413,5,0,"","Endeavor Air Inc. "
"ATL",2018,11,1023,33,1129,49,0,"","Endeavor Air Inc. "
"ATL",2018,8,830,NA,937,-9,0,"","Endeavor Air Inc. "
"ATL",2018,11,1700,-3,1800,-16,0,"","Endeavor Air Inc. "
"ATL",2018,10,1312,-4,1420,-15,0,"","Endeavor Air Inc. "
"ATL",2018,8,830,-6,937,-10,0,"","Endeavor Air Inc. "
"ATL",2018,8,1915,-1,2023,8,0,"","Endeavor Air Inc. "
"ATL",2018,4,1910,-10,2016,-23,0,"","Endeavor Air Inc. "
"ATL",2018,11,1915,45,2024,49,0,"","Endeavor Air Inc. "
"ATL",2018,7,1305,198,1414,181,0,"","Endeavor Air Inc. "
"ATL",2018,8,1507,-2,1614,-15,0,"","Endeavor Air Inc. "
"ATL",2018,12,1700,-8,1814,-24,0,"","Endeavor Air Inc. "
"ATL",2018,10,1620,1,1723,-7,0,"","Endeavor Air Inc. "
"ATL",2018,9,705,-5,804,-8,0,"","Endeavor Air Inc. "
"ATL",2018,1,1018,32,1130,30,0,"","Endeavor Air Inc. "
"ATL",2018,10,1434,-7,1535,-1,0,"","Endeavor Air Inc. "
"ATL",2018,11,825,-5,936,-16,0,"","Endeavor Air Inc. "
"ATL",2018,12,1913,-5,2029,-18,0,"","Endeavor Air Inc. "
"ATL",2018,7,700,-4,804,-12,0,"","Endeavor Air Inc. "
"ATL",2018,7,1300,27,1409,15,0,"","Endeavor Air Inc. "
"ATL",2018,12,1700,-5,1812,-4,0,"","Endeavor Air Inc. "
"ATL",2018,11,1915,69,2024,59,0,"","Endeavor Air Inc. "
"ATL",2018,10,700,NA,756,NA,1,"Weather","Endeavor Air Inc. "
"ATL",2018,11,1745,-12,1859,-32,0,"","Endeavor Air Inc. "
"ATL",2018,9,1300,-10,1409,-19,0,"","Endeavor Air Inc. "
"ATL",2018,8,1920,68,2029,79,0,"","Endeavor Air Inc. "
"ATL",2018,4,655,-8,756,-3,0,"","Endeavor Air Inc. "
"ATL",2018,10,1914,-3,2019,-8,0,"","Endeavor Air Inc. "
"ATL",2018,12,1913,3,2029,4,0,"","Endeavor Air Inc. "
"ATL",2018,3,655,-3,756,-7,0,"","Endeavor Air Inc. "
"ATL",2018,10,1029,-10,1130,-7,0,"","Endeavor Air Inc. "
"ATL",2018,7,550,-4,649,-20,0,"","Endeavor Air Inc. "
"ATL",2018,12,1700,-4,1814,-25,0,"","Endeavor Air Inc. "
"ATL",2018,7,1920,107,2028,89,0,"","Endeavor Air Inc. "
"ATL",2018,9,1922,-11,2029,-18,0,"","Endeavor Air Inc. "
"ATL",2018,12,1646,124,1800,170,0,"","Endeavor Air Inc. "
"ATL",2018,9,1030,4,1130,-8,0,"","Endeavor Air Inc. "
"ATL",2018,10,1914,59,2019,57,0,"","Endeavor Air Inc. "
"ATL",2018,4,1455,-8,1555,-15,0,"","Endeavor Air Inc. "
"ATL",2018,11,1024,-5,1129,7,0,"","Endeavor Air Inc. "
"ATL",2018,11,1620,2,1723,-5,0,"","Endeavor Air Inc. "
"ATL",2018,9,1922,-7,2029,-17,0,"","Endeavor Air Inc. "
"ATL",2018,9,1300,-9,1409,2,0,"","Endeavor Air Inc. "
"ATL",2018,7,1920,NA,2028,NA,1,"National Air System","Endeavor Air Inc. "
"ATL",2018,9,705,-11,804,-14,0,"","Endeavor Air Inc. "
"ATL",2018,6,1502,-2,1618,-27,0,"","Endeavor Air Inc. "
"ATL",2018,12,1430,-10,1537,-22,0,"","Endeavor Air Inc. "
"ATL",2018,10,1030,-6,1130,-1,0,"","Endeavor Air Inc. "
"ATL",2018,10,1029,-4,1130,0,0,"","Endeavor Air Inc. "
"ATL",2018,3,1910,-11,2009,-10,0,"","Endeavor Air Inc. "
"ATL",2018,4,1455,-9,1555,-6,0,"","Endeavor Air Inc. "
"ATL",2018,10,700,-8,756,-10,0,"","Endeavor Air Inc. "
"ATL",2018,12,1700,-3,1814,-18,0,"","Endeavor Air Inc. "
"ATL",2018,12,1700,16,1812,24,0,"","Endeavor Air Inc. "
"ATL",2018,3,655,-4,756,13,0,"","Endeavor Air Inc. "
"ATL",2018,7,830,-9,937,-14,0,"","Endeavor Air Inc. "
"ATL",2018,10,1434,-3,1536,-5,0,"","Endeavor Air Inc. "
"ATL",2018,7,1654,141,1801,128,0,"","Endeavor Air Inc. "
"ATL",2018,7,1920,-10,2028,-7,0,"","Endeavor Air Inc. "
"ATL",2018,8,1027,-5,1124,3,0,"","Endeavor Air Inc. "
"ATL",2018,10,1620,-5,1723,-3,0,"","Endeavor Air Inc. "
"ATL",2018,9,1145,-7,1245,-17,0,"","Endeavor Air Inc. "
"ATL",2018,7,830,2,935,-8,0,"","Endeavor Air Inc. "
"ATL",2018,12,1032,-5,1143,-19,0,"","Endeavor Air Inc. "
"ATL",2018,10,1029,-10,1130,-18,0,"","Endeavor Air Inc. "
"ATL",2018,9,1030,11,1130,13,0,"","Endeavor Air Inc. "
"ATL",2018,7,1505,12,1612,14,0,"","Endeavor Air Inc. "
"ATL",2018,12,1031,-8,1142,-17,0,"","Endeavor Air Inc. "
"ATL",2018,8,550,97,647,89,0,"","Endeavor Air Inc. "
