"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ANC",2018,6,1744,-12,1842,-9,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,1,1842,2,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-12,1842,-11,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-9,1842,-3,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-10,1842,-19,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-21,1842,-20,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-7,1842,3,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-15,1842,-15,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-1,1842,-9,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,17,1842,19,0,"","Alaska Airlines Inc. "
"ANC",2018,8,1744,8,1842,9,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-6,1842,-3,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,7,1842,-2,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,17,1842,19,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,0,1842,5,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,0,1842,-10,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-18,1842,-26,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,40,1842,38,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-15,1842,-18,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-6,1842,-12,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-22,1842,-25,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,17,1842,27,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,37,1842,36,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-4,1842,1,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,3,1842,5,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-5,1842,-6,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-7,1842,-9,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-17,1842,-17,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-18,1842,-12,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,33,1842,28,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-3,1842,-3,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,38,1842,31,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-17,1842,-16,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-21,1842,-12,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-6,1842,-13,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-7,1842,-11,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-10,1842,-14,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-11,1842,-9,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,8,1842,12,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,5,1842,-2,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,1,1842,3,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-13,1842,-19,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,15,1842,24,0,"","Alaska Airlines Inc. "
"ANC",2018,8,1744,22,1842,22,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-10,1842,-12,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-7,1842,-16,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-6,1842,-12,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,3,1842,-4,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-4,1842,-11,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,8,1842,6,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-5,1842,-14,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,8,1842,5,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,24,1842,20,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-11,1842,-9,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,39,1842,29,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,-6,1842,3,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,4,1842,41,0,"","Alaska Airlines Inc. "
"ANC",2018,7,1744,23,1842,30,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,-7,1842,-15,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,5,1842,16,0,"","Alaska Airlines Inc. "
"ANC",2018,8,1744,23,1842,33,0,"","Alaska Airlines Inc. "
"ANC",2018,8,1744,43,1842,41,0,"","Alaska Airlines Inc. "
"ANC",2018,6,1744,6,1842,0,0,"","Alaska Airlines Inc. "
