"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ORD",2018,5,630,51,750,56,0,"","Envoy Air "
"ORD",2018,11,1307,-3,1420,-7,0,"","Envoy Air "
"ORD",2018,10,1307,-7,1420,-7,0,"","Envoy Air "
"ORD",2018,8,618,-11,738,-16,0,"","Envoy Air "
"ORD",2018,2,610,-5,731,5,0,"","Envoy Air "
"ORD",2018,6,1316,-2,1430,-13,0,"","Envoy Air "
"ORD",2018,9,612,34,725,98,0,"","Envoy Air "
"ORD",2018,8,618,18,738,-5,0,"","Envoy Air "
"ORD",2018,8,612,-3,725,-5,0,"","Envoy Air "
"ORD",2018,11,602,-12,725,-21,0,"","Envoy Air "
"ORD",2018,2,620,-8,741,-19,0,"","Envoy Air "
"ORD",2018,4,627,-6,745,-8,0,"","Envoy Air "
"ORD",2018,6,630,-5,750,-22,0,"","Envoy Air "
"ORD",2018,12,1307,-7,1420,-6,0,"","Envoy Air "
"ORD",2018,1,1315,70,1424,66,0,"","Envoy Air "
"ORD",2018,2,610,-4,731,-15,0,"","Envoy Air "
"ORD",2018,3,620,-10,741,-4,0,"","Envoy Air "
"ORD",2018,3,620,-11,741,-14,0,"","Envoy Air "
"ORD",2018,6,1316,90,1430,97,0,"","Envoy Air "
"ORD",2018,10,610,0,730,-5,0,"","Envoy Air "
"ORD",2018,11,602,8,725,4,0,"","Envoy Air "
"ORD",2018,4,627,25,745,39,0,"","Envoy Air "
"ORD",2018,6,1316,NA,1430,NA,1,"Airline","Envoy Air "
"ORD",2018,6,624,-11,738,-13,0,"","Envoy Air "
"ORD",2018,7,618,-2,738,-5,0,"","Envoy Air "
"ORD",2018,8,1315,21,1430,28,0,"","Envoy Air "
"ORD",2018,11,602,83,725,81,0,"","Envoy Air "
"ORD",2018,5,630,-5,750,-15,0,"","Envoy Air "
"ORD",2018,5,627,NA,745,NA,1,"National Air System","Envoy Air "
"ORD",2018,11,602,-1,725,-11,0,"","Envoy Air "
"ORD",2018,6,1316,8,1430,-2,0,"","Envoy Air "
"ORD",2018,1,610,-11,731,-14,0,"","Envoy Air "
"ORD",2018,5,630,6,750,-15,0,"","Envoy Air "
"ORD",2018,10,610,0,730,-4,0,"","Envoy Air "
"ORD",2018,5,1314,3,1427,3,0,"","Envoy Air "
"ORD",2018,1,610,-6,731,26,0,"","Envoy Air "
"ORD",2018,11,1307,-11,1420,-8,0,"","Envoy Air "
"ORD",2018,11,1307,51,1420,49,0,"","Envoy Air "
"ORD",2018,6,624,48,738,39,0,"","Envoy Air "
"ORD",2018,1,1315,2,1424,3,0,"","Envoy Air "
"ORD",2018,11,602,322,725,320,0,"","Envoy Air "
"ORD",2018,10,610,-8,730,-19,0,"","Envoy Air "
"ORD",2018,2,1315,-8,1424,-14,0,"","Envoy Air "
"ORD",2018,8,1315,-6,1430,-10,0,"","Envoy Air "
"ORD",2018,9,612,-9,725,-16,0,"","Envoy Air "
"ORD",2018,10,612,-9,725,-4,0,"","Envoy Air "
"ORD",2018,10,1307,0,1420,-2,0,"","Envoy Air "
"ORD",2018,4,627,85,745,82,0,"","Envoy Air "
"ORD",2018,5,630,-5,750,0,0,"","Envoy Air "
"ORD",2018,4,627,-10,745,-23,0,"","Envoy Air "
"ORD",2018,11,1307,-11,1420,-14,0,"","Envoy Air "
"ORD",2018,6,624,40,738,51,0,"","Envoy Air "
"ORD",2018,6,624,-1,738,-4,0,"","Envoy Air "
"ORD",2018,2,1315,0,1424,-3,0,"","Envoy Air "
"ORD",2018,8,612,151,725,160,0,"","Envoy Air "
"ORD",2018,3,1315,16,1424,46,0,"","Envoy Air "
"ORD",2018,3,620,-6,741,23,0,"","Envoy Air "
"ORD",2018,2,620,-8,741,9,0,"","Envoy Air "
"ORD",2018,3,620,-5,741,-3,0,"","Envoy Air "
"ORD",2018,5,1314,-7,1429,-13,0,"","Envoy Air "
"ORD",2018,6,1316,-6,1430,-2,0,"","Envoy Air "
"ORD",2018,12,602,-11,725,-17,0,"","Envoy Air "
"ORD",2018,2,1315,-5,1424,-12,0,"","Envoy Air "
