"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,5,1655,-4,1759,-11,0,"","Endeavor Air Inc. "
"ATL",2018,7,1525,-3,1633,-11,0,"","Endeavor Air Inc. "
"ATL",2018,5,735,-8,840,-20,0,"","Endeavor Air Inc. "
"ATL",2018,8,1018,-8,1118,NA,0,"","Endeavor Air Inc. "
"ATL",2018,8,1355,4,1500,-4,0,"","Endeavor Air Inc. "
"ATL",2018,7,1345,-7,1455,-11,0,"","Endeavor Air Inc. "
"ATL",2018,4,725,91,834,77,0,"","Endeavor Air Inc. "
"ATL",2018,7,1545,NA,1655,-9,0,"","Endeavor Air Inc. "
"ATL",2018,3,1024,-4,1130,-16,0,"","Endeavor Air Inc. "
"ATL",2018,4,1310,-16,1420,-31,0,"","Endeavor Air Inc. "
"ATL",2018,4,1310,-10,1420,-20,0,"","Endeavor Air Inc. "
"ATL",2018,5,1021,-5,1122,-10,0,"","Endeavor Air Inc. "
"ATL",2018,4,1023,-5,1130,-19,0,"","Endeavor Air Inc. "
"ATL",2018,6,1021,-9,1124,-27,0,"","Endeavor Air Inc. "
"ATL",2018,6,730,13,841,34,0,"","Endeavor Air Inc. "
"ATL",2018,3,1859,30,2007,30,0,"","Endeavor Air Inc. "
"ATL",2018,1,1042,26,1150,19,0,"","Endeavor Air Inc. "
"ATL",2018,4,1532,33,1639,21,0,"","Endeavor Air Inc. "
"ATL",2018,8,1759,-6,1901,-5,0,"","Endeavor Air Inc. "
"ATL",2018,8,1955,38,2101,33,0,"","Endeavor Air Inc. "
"ATL",2018,8,1525,-11,1633,-18,0,"","Endeavor Air Inc. "
"ATL",2018,4,1310,NA,1420,8,0,"","Endeavor Air Inc. "
"ATL",2018,6,1010,17,1114,30,0,"","Endeavor Air Inc. "
"ATL",2018,5,735,-2,838,30,0,"","Endeavor Air Inc. "
"ATL",2018,8,1149,-8,1300,-6,0,"","Endeavor Air Inc. "
"ATL",2018,6,545,-6,647,-16,0,"","Endeavor Air Inc. "
"ATL",2018,6,730,-5,841,-13,0,"","Endeavor Air Inc. "
"ATL",2018,12,1359,70,1513,59,0,"","Endeavor Air Inc. "
"ATL",2018,5,1445,NA,1548,6,0,"","Endeavor Air Inc. "
"ATL",2018,3,1859,-2,2007,-9,0,"","Endeavor Air Inc. "
"ATL",2018,6,1010,-7,1113,3,0,"","Endeavor Air Inc. "
"ATL",2018,9,1217,128,1326,133,0,"","Endeavor Air Inc. "
"ATL",2018,3,1024,-8,1130,-13,0,"","Endeavor Air Inc. "
"ATL",2018,1,615,27,724,49,0,"","Endeavor Air Inc. "
"ATL",2018,11,1005,-16,1113,-13,0,"","Endeavor Air Inc. "
"ATL",2018,5,1021,-10,1124,-11,0,"","Endeavor Air Inc. "
"ATL",2018,5,735,-7,840,16,0,"","Endeavor Air Inc. "
"ATL",2018,7,1955,-6,2101,8,0,"","Endeavor Air Inc. "
"ATL",2018,4,1023,6,1130,-1,0,"","Endeavor Air Inc. "
"ATL",2018,5,1654,120,1754,131,0,"","Endeavor Air Inc. "
"ATL",2018,12,1534,25,1645,19,0,"","Endeavor Air Inc. "
"ATL",2018,6,1344,14,1449,28,0,"","Endeavor Air Inc. "
"ATL",2018,4,1023,-5,1130,-12,0,"","Endeavor Air Inc. "
"ATL",2018,3,615,-7,721,13,0,"","Endeavor Air Inc. "
"ATL",2018,7,1345,-11,1450,-23,0,"","Endeavor Air Inc. "
"ATL",2018,4,1310,15,1420,5,0,"","Endeavor Air Inc. "
"ATL",2018,4,1310,-2,1420,-23,0,"","Endeavor Air Inc. "
"ATL",2018,6,1023,-5,1126,-14,0,"","Endeavor Air Inc. "
"ATL",2018,12,1359,-10,1513,-26,0,"","Endeavor Air Inc. "
"ATL",2018,7,1545,-10,1655,-28,0,"","Endeavor Air Inc. "
"ATL",2018,6,735,-12,840,-24,0,"","Endeavor Air Inc. "
"ATL",2018,6,1804,NA,1914,NA,1,"National Air System","Endeavor Air Inc. "
"ATL",2018,11,1005,50,1114,55,0,"","Endeavor Air Inc. "
"ATL",2018,6,1021,38,1124,28,0,"","Endeavor Air Inc. "
"ATL",2018,5,1023,-13,1126,-23,0,"","Endeavor Air Inc. "
"ATL",2018,7,1158,-2,1305,6,0,"","Endeavor Air Inc. "
"ATL",2018,8,545,-3,645,-8,0,"","Endeavor Air Inc. "
"ATL",2018,12,1953,-5,2110,-23,0,"","Endeavor Air Inc. "
"ATL",2018,9,1217,10,1326,-9,0,"","Endeavor Air Inc. "
"ATL",2018,9,1454,-7,1605,-31,0,"","Endeavor Air Inc. "
"ATL",2018,7,1955,-12,2101,-23,0,"","Endeavor Air Inc. "
"ATL",2018,7,1015,132,1115,133,0,"","Endeavor Air Inc. "
"ATL",2018,7,1545,-5,1655,-22,0,"","Endeavor Air Inc. "
"ATL",2018,8,1148,3,1258,-6,0,"","Endeavor Air Inc. "
"ATL",2018,8,1018,-1,1118,-11,0,"","Endeavor Air Inc. "
"ATL",2018,1,615,-6,724,-5,0,"","Endeavor Air Inc. "
"ATL",2018,7,1148,-8,1259,-3,0,"","Endeavor Air Inc. "
