"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DEN",2018,9,600,-8,659,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,600,0,701,-4,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1600,-9,1659,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1630,-1,1730,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,610,-6,709,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1630,-11,1731,-24,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1605,4,1702,4,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1605,-1,1702,48,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1601,-9,1700,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,610,-7,704,9,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,600,-8,659,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1605,-13,1659,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,600,-9,659,-21,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1605,15,1702,56,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,610,11,704,18,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1603,-10,1702,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1605,5,1702,16,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,600,-10,657,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,600,13,659,13,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,600,-6,657,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1606,-20,1705,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,610,0,709,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1630,-22,1730,-36,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,610,-7,704,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1606,-23,1705,-28,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,600,-6,657,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,600,-12,701,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1640,2,1742,11,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,600,-10,659,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1606,-13,1700,2,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,610,-3,709,7,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1606,-13,1700,2,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,600,-6,700,8,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1606,-4,1700,4,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,610,-8,704,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,600,-13,659,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,600,-2,701,6,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,610,-10,704,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1605,-3,1659,7,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1600,-7,1659,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,610,1,709,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1605,-10,1659,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,600,-9,700,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,610,-7,709,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1606,2,1705,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,610,-9,704,25,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,600,-13,700,11,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,600,-11,657,-14,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1600,-9,1659,1,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1645,-1,1747,13,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1601,21,1700,17,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,610,-10,709,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,600,-5,702,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1630,-23,1730,-37,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,600,-5,700,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1605,-8,1659,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1600,-9,1659,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,600,0,700,8,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,610,-7,704,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1605,-18,1702,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,610,-8,704,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1600,-21,1659,-14,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1606,11,1700,31,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1630,-9,1730,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,600,-1,657,-4,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1600,-13,1659,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1600,-16,1659,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,600,-14,657,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1605,-14,1702,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,610,-6,709,-8,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1603,65,1702,62,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,610,-8,704,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1645,-16,1746,-29,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,610,-5,704,-1,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1606,168,1705,164,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,600,-2,659,-4,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,600,-8,700,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,610,-4,709,-17,0,"","SkyWest Airlines Inc. "
