"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,5,1400,77,1643,70,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-13,905,-31,0,"","Endeavor Air Inc. "
"ATL",2018,2,1645,20,1932,32,0,"","Endeavor Air Inc. "
"ATL",2018,2,1155,83,1439,81,0,"","Endeavor Air Inc. "
"MSP",2018,5,625,-9,810,-6,0,"","Endeavor Air Inc. "
"MSP",2018,5,625,-9,810,-21,0,"","Endeavor Air Inc. "
"MSP",2018,4,633,-12,813,-24,0,"","Endeavor Air Inc. "
"ATL",2018,10,1144,33,1420,39,0,"","Endeavor Air Inc. "
"ATL",2018,5,1744,-7,2029,-3,0,"","Endeavor Air Inc. "
"ATL",2018,1,1400,-1,1651,-13,0,"","Endeavor Air Inc. "
"MSP",2018,3,623,-6,805,-17,0,"","Endeavor Air Inc. "
"MSP",2018,4,633,-19,815,-32,0,"","Endeavor Air Inc. "
"MSP",2018,3,623,-5,805,-23,0,"","Endeavor Air Inc. "
"MSP",2018,3,623,-5,805,-23,0,"","Endeavor Air Inc. "
"ATL",2018,2,1155,-6,1439,-9,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-2,859,-12,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-6,855,-26,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-8,848,-24,0,"","Endeavor Air Inc. "
"ATL",2018,1,1155,-4,1437,-16,0,"","Endeavor Air Inc. "
"ATL",2018,1,1645,-6,1932,-9,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,4,859,-5,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-10,848,-10,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-11,848,-24,0,"","Endeavor Air Inc. "
"ATL",2018,10,1144,41,1420,34,0,"","Endeavor Air Inc. "
"ATL",2018,11,1725,-17,2011,-32,0,"","Endeavor Air Inc. "
"ATL",2018,3,1740,122,2019,120,0,"","Endeavor Air Inc. "
"ATL",2018,11,1144,26,1420,42,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-5,845,-16,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,0,854,9,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,215,859,191,0,"","Endeavor Air Inc. "
"ATL",2018,1,1155,-10,1437,-2,0,"","Endeavor Air Inc. "
"ATL",2018,12,1400,-10,1652,-25,0,"","Endeavor Air Inc. "
"ATL",2018,1,1155,85,1437,76,0,"","Endeavor Air Inc. "
"MSP",2018,3,623,-1,805,-9,0,"","Endeavor Air Inc. "
"ATL",2018,8,600,-6,843,2,0,"","Endeavor Air Inc. "
"ATL",2018,9,1142,-4,1420,-4,0,"","Endeavor Air Inc. "
"ATL",2018,8,600,7,843,15,0,"","Endeavor Air Inc. "
"ATL",2018,5,1744,-4,2029,53,0,"","Endeavor Air Inc. "
"MSP",2018,4,633,39,815,52,0,"","Endeavor Air Inc. "
"ATL",2018,12,1725,-5,2011,-16,0,"","Endeavor Air Inc. "
"ATL",2018,6,600,-8,844,-16,0,"","Endeavor Air Inc. "
"MSP",2018,4,633,-9,815,-15,0,"","Endeavor Air Inc. "
"ATL",2018,11,1144,-5,1420,7,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-2,859,-31,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,1,859,-8,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,48,858,38,0,"","Endeavor Air Inc. "
