"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ORD",2018,10,610,-12,657,-27,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1305,-9,1343,-26,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,610,-4,657,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,600,45,640,55,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,610,-11,643,5,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1305,NA,1345,NA,1,"Weather","SkyWest Airlines Inc. "
"ORD",2018,7,1305,-11,1339,-12,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1305,-8,1339,-1,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1305,-21,1345,-45,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1305,78,1339,92,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,610,-12,657,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,610,-1,658,-33,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1305,-10,1339,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,610,-12,643,-8,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1305,-5,1343,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1305,101,1339,105,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,610,-12,648,5,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1305,36,1339,NA,1,"Weather","SkyWest Airlines Inc. "
"ORD",2018,4,610,-13,648,-23,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,600,NA,640,NA,1,"Airline","SkyWest Airlines Inc. "
"ORD",2018,12,1301,-12,1349,-15,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1305,-11,1345,3,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,610,-15,658,-3,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,548,-11,628,-9,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1300,-10,1338,-22,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,610,-10,655,7,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1305,-4,1339,-15,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1300,-12,1338,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,610,881,650,879,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1307,-15,1347,-6,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,610,-3,643,-11,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,610,-11,655,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1305,9,1339,17,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,600,-10,640,-22,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1305,119,1339,168,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,610,-17,643,1,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1301,2,1348,-26,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,610,6,643,3,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1301,16,1348,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,610,25,650,23,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,610,-11,643,-5,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1300,24,1338,14,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,610,306,648,298,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,610,-10,643,-16,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,610,-5,650,-11,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1312,-6,1345,-13,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,610,-8,643,-6,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,610,664,643,686,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1300,-14,1338,-31,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,610,-8,643,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1300,4,1338,-1,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1315,-11,1348,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1305,-4,1339,-13,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1312,-10,1345,-11,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,610,-10,648,-25,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1300,-15,1338,-22,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,610,-13,650,-29,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1301,-10,1348,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,610,-14,643,-24,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1305,-23,1345,-44,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1309,217,1349,215,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,610,-10,643,-17,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1301,-20,1348,-39,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1301,-18,1348,-25,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1305,32,1339,25,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1305,179,1339,178,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,610,-14,650,-22,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1300,242,1338,241,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,610,-16,643,-11,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,610,-12,657,2,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,610,-11,650,-2,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1307,662,1347,633,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1305,-12,1339,-23,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1315,-9,1348,-13,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1305,137,1345,125,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1300,74,1338,76,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,610,-9,643,-11,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1307,-10,1347,-22,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1300,-18,1338,-25,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1305,77,1339,68,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,610,-15,648,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1315,13,1348,34,0,"","SkyWest Airlines Inc. "
