"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"LAS",2018,1,1202,100,1259,85,0,"","Allegiant Air "
"DEN",2018,12,1710,-15,1820,-26,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1333,175,1434,176,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1333,-8,1434,-7,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1145,-14,1311,2,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,1145,-9,1309,-22,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1145,-6,1311,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1325,8,1429,1,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,620,-4,746,19,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1744,-6,1910,35,0,"","SkyWest Airlines Inc. "
"DEN",2018,1,730,-10,849,-32,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1325,-4,1434,4,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,600,34,714,39,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1145,-12,1306,-15,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,620,-11,746,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,1,730,-10,849,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,620,-9,746,2,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1145,-5,1307,2,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,620,-12,746,-10,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1145,-10,1307,-13,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,620,-10,746,-29,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,935,-11,1040,-6,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,620,-12,746,-17,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1145,11,1311,27,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1744,7,1910,29,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1145,10,1306,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1710,-8,1820,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1325,-10,1426,-6,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1145,-8,1309,-10,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1145,-1,1309,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,620,-13,746,-18,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1145,2,1311,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,550,-14,654,-12,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,620,-9,746,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,1145,-9,1309,-3,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1145,33,1314,31,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1145,-7,1309,-7,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,620,-4,747,4,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,620,-5,746,-7,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1145,-9,1308,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,620,-7,746,-32,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1325,102,1429,139,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,620,-8,746,-31,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,620,-2,746,-10,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,620,-12,746,-13,0,"","SkyWest Airlines Inc. "
"COD",2018,11,1338,113,1433,NA,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1325,-17,1429,-3,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,620,-8,746,0,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1145,-6,1314,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1333,-9,1434,14,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,1145,-14,1307,-21,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,620,-2,746,-28,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1145,-12,1309,-31,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,620,-3,746,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1325,-8,1429,-8,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1145,-13,1307,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,555,-10,710,-17,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,620,-5,748,-30,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1333,4,1434,37,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1325,-10,1429,5,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,620,-2,746,1,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,620,-6,746,-30,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,620,-11,746,-15,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1145,-5,1307,-12,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,620,434,747,420,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,620,-5,748,-30,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1145,-9,1309,-9,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,620,-9,746,-4,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,620,-1,746,6,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,550,-8,654,-14,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1325,-9,1426,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1325,-8,1429,-8,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,550,-5,654,-10,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1145,-12,1305,-13,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1726,-4,1852,-16,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,620,-6,748,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,620,-6,746,-23,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1145,-8,1311,-12,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1145,-12,1311,-32,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1145,-6,1306,-12,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,720,-8,846,-33,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1145,-25,1311,-31,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1325,1,1429,2,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,620,-3,746,-20,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1145,-2,1307,-3,0,"","SkyWest Airlines Inc. "
"DEN",2018,1,730,-5,849,-24,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1325,-6,1429,0,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1145,-8,1309,-7,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,622,-8,750,-25,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,620,-4,746,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1744,-12,1910,-21,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,620,-14,746,-26,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,620,-10,746,-3,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1145,-13,1308,-12,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,620,16,746,15,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,620,-16,746,4,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,620,-2,746,-20,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1145,-4,1307,-8,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1325,-12,1429,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,550,-9,654,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1710,-7,1820,-5,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1145,-13,1314,-22,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,620,-8,746,-16,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,1145,-8,1308,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,935,-16,1040,-16,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,620,-8,746,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,620,-8,746,-29,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1145,-15,1311,-36,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,620,-7,746,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,620,-13,748,-36,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1325,NA,1429,NA,1,"Weather","SkyWest Airlines Inc. "
"DEN",2018,7,550,7,654,48,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,550,2,654,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,600,-6,714,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,550,-7,654,-8,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,620,-4,748,9,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1656,81,1822,76,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1656,-2,1822,-1,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,620,-21,746,-28,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1145,-16,1311,-34,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,1145,-17,1307,-22,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,620,-1,746,-13,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,622,-4,750,-29,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1145,-12,1305,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1325,-10,1429,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,550,-10,654,1,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1325,-7,1429,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1710,-20,1820,-21,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1710,-17,1820,-17,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,620,-12,746,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,1,730,3,849,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,550,-5,657,9,0,"","SkyWest Airlines Inc. "
"DEN",2018,1,730,-8,849,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1325,-6,1426,0,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1145,-4,1314,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,550,-9,654,-4,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,620,-5,746,-16,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1145,3,1314,-8,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,1145,-11,1309,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1145,-5,1305,-4,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1145,-7,1305,2,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,620,-4,746,-24,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,555,-9,713,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,555,-9,713,-32,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1710,-10,1820,16,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1325,99,1426,96,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1744,-10,1910,-3,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1145,-14,1311,-13,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1145,-9,1306,0,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1145,-21,1308,-41,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1145,-12,1311,-8,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1744,-9,1910,-23,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1145,0,1306,6,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1710,-7,1820,1,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1145,-11,1314,-3,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1325,-10,1429,3,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1325,-12,1426,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1333,4,1434,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,935,-9,1040,2,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1325,-5,1429,-1,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1145,-11,1311,-3,0,"","SkyWest Airlines Inc. "
