"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DTW",2018,1,1019,5,1129,NA,0,"","Endeavor Air Inc. "
"MSP",2018,12,630,-3,745,-9,0,"","Endeavor Air Inc. "
"LGA",2018,3,735,-7,935,-3,0,"","Endeavor Air Inc. "
"DTW",2018,4,1337,-4,1442,-12,0,"","Endeavor Air Inc. "
"DTW",2018,1,1019,225,1129,219,0,"","Endeavor Air Inc. "
"LGA",2018,1,730,-5,938,-20,0,"","Endeavor Air Inc. "
"DTW",2018,1,1019,-11,1129,-29,0,"","Endeavor Air Inc. "
"DTW",2018,1,1019,-6,1129,-9,0,"","Endeavor Air Inc. "
"DTW",2018,3,1335,-8,1441,-13,0,"","Endeavor Air Inc. "
"LGA",2018,1,730,-9,938,-21,0,"","Endeavor Air Inc. "
"LGA",2018,2,730,-7,938,-9,0,"","Endeavor Air Inc. "
"LGA",2018,2,730,254,938,244,0,"","Endeavor Air Inc. "
"DTW",2018,2,615,3,733,-12,0,"","Endeavor Air Inc. "
"LGA",2018,2,730,149,938,140,0,"","Endeavor Air Inc. "
"LGA",2018,3,735,-7,940,-22,0,"","Endeavor Air Inc. "
"DTW",2018,2,1019,-12,1129,-22,0,"","Endeavor Air Inc. "
"DTW",2018,3,1335,-10,1441,-21,0,"","Endeavor Air Inc. "
"LGA",2018,3,740,-8,940,-5,0,"","Endeavor Air Inc. "
"MSP",2018,12,628,127,745,119,0,"","Endeavor Air Inc. "
"DTW",2018,5,1338,-10,1445,-14,0,"","Endeavor Air Inc. "
"DTW",2018,2,1342,-6,1451,-11,0,"","Endeavor Air Inc. "
"DTW",2018,4,1337,-11,1442,2,0,"","Endeavor Air Inc. "
"DTW",2018,1,1019,-5,1129,-13,0,"","Endeavor Air Inc. "
"MSP",2018,3,700,-10,803,-3,0,"","Endeavor Air Inc. "
"LGA",2018,2,803,161,1000,176,0,"","Endeavor Air Inc. "
"LGA",2018,2,803,-6,1000,-13,0,"","Endeavor Air Inc. "
"MSP",2018,2,700,-11,811,-21,0,"","Endeavor Air Inc. "
"DTW",2018,2,1342,63,1451,58,0,"","Endeavor Air Inc. "
