"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DEN",2014,6,1611,2,1741,32,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,730,314,912,307,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,1627,-7,1809,-9,0,"","ExpressJet Airlines Inc. "
"DEN",2014,12,727,-10,920,-22,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,1206,-1,1348,-10,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,732,-12,925,-33,0,"","ExpressJet Airlines Inc. "
"DEN",2014,1,1151,28,1320,34,0,"","ExpressJet Airlines Inc. "
"DEN",2014,1,730,-4,859,11,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,722,-5,852,2,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,1627,-4,1809,5,0,"","ExpressJet Airlines Inc. "
"DEN",2014,2,1151,0,1320,5,0,"","ExpressJet Airlines Inc. "
"DEN",2014,12,727,53,920,53,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,1620,-13,1802,-28,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,1206,-17,1348,-25,0,"","ExpressJet Airlines Inc. "
"DEN",2014,12,1625,-10,1809,-18,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,1611,10,1741,25,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,1633,-2,1815,-18,0,"","ExpressJet Airlines Inc. "
"DEN",2014,6,730,-10,910,-1,0,"","ExpressJet Airlines Inc. "
"DEN",2014,7,1204,0,1344,1,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,1604,-4,1744,-2,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,1620,-20,1802,-12,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,730,-10,912,-22,0,"","ExpressJet Airlines Inc. "
"DEN",2014,7,730,50,910,48,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,732,-12,925,-32,0,"","ExpressJet Airlines Inc. "
"DEN",2014,7,1304,-7,1444,-17,0,"","ExpressJet Airlines Inc. "
"DEN",2014,7,1604,2,1744,-3,0,"","ExpressJet Airlines Inc. "
"DEN",2014,1,1151,19,1320,23,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,1633,-9,1815,-4,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,730,-9,912,-12,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,1158,0,1328,6,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,1625,-10,1807,-28,0,"","ExpressJet Airlines Inc. "
"DEN",2014,2,730,-10,859,2,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,730,-2,912,-5,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,1627,-4,1809,-7,0,"","ExpressJet Airlines Inc. "
"DEN",2014,12,1625,-6,1809,-7,0,"","ExpressJet Airlines Inc. "
"DEN",2014,6,1206,-5,1346,-8,0,"","ExpressJet Airlines Inc. "
"DEN",2014,7,1624,-9,1804,3,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,1611,NA,1741,NA,1,"National Air System","ExpressJet Airlines Inc. "
"DEN",2014,3,1238,7,1407,24,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,730,-7,910,46,0,"","ExpressJet Airlines Inc. "
"DEN",2014,6,730,-10,910,-8,0,"","ExpressJet Airlines Inc. "
"DEN",2014,11,1308,-12,1452,-8,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,1611,-10,1741,-9,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,1206,2,1348,5,0,"","ExpressJet Airlines Inc. "
"DEN",2014,6,1610,-9,1750,-25,0,"","ExpressJet Airlines Inc. "
"DEN",2014,7,1204,19,1344,15,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,1308,-16,1452,-12,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,1206,-11,1348,-20,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,1206,-6,1348,12,0,"","ExpressJet Airlines Inc. "
"DEN",2014,4,1611,-14,1741,-21,0,"","ExpressJet Airlines Inc. "
"DEN",2014,4,1250,21,1420,23,0,"","ExpressJet Airlines Inc. "
"DEN",2014,7,1624,144,1804,136,0,"","ExpressJet Airlines Inc. "
"DEN",2014,11,732,3,925,10,0,"","ExpressJet Airlines Inc. "
"DEN",2014,12,1631,14,1815,14,0,"","ExpressJet Airlines Inc. "
"DEN",2014,6,730,-5,910,9,0,"","ExpressJet Airlines Inc. "
"DEN",2014,1,730,-3,859,0,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,850,70,1032,65,0,"","ExpressJet Airlines Inc. "
"DEN",2014,10,1633,-14,1815,-21,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,1206,-5,1348,-8,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,730,-2,912,3,0,"","ExpressJet Airlines Inc. "
"DEN",2014,7,1624,6,1804,8,0,"","ExpressJet Airlines Inc. "
"DEN",2014,4,720,390,850,421,0,"","ExpressJet Airlines Inc. "
"DEN",2014,1,730,50,859,66,0,"","ExpressJet Airlines Inc. "
"DEN",2014,1,730,-10,859,39,0,"","ExpressJet Airlines Inc. "
"DEN",2014,9,730,-5,912,-9,0,"","ExpressJet Airlines Inc. "
"DEN",2014,11,732,-5,925,-14,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,1654,38,1824,41,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,722,-3,852,13,0,"","ExpressJet Airlines Inc. "
"DEN",2014,2,730,-5,859,15,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,1204,-10,1334,-4,0,"","ExpressJet Airlines Inc. "
"DEN",2014,6,1610,-10,1750,-22,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,1611,-7,1741,-4,0,"","ExpressJet Airlines Inc. "
"DEN",2014,1,730,-10,859,5,0,"","ExpressJet Airlines Inc. "
"DEN",2014,5,722,1,852,14,0,"","ExpressJet Airlines Inc. "
"DEN",2014,8,730,-5,910,-8,0,"","ExpressJet Airlines Inc. "
"DEN",2014,3,722,6,851,19,0,"","ExpressJet Airlines Inc. "
