"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"SLC",2018,11,1403,2,1557,-3,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1418,-4,1618,-20,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,540,-13,740,-22,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1403,4,1557,18,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1426,-3,1620,1,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1426,1,1620,2,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1410,-11,1604,-22,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1426,-10,1620,-13,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1410,-2,1604,-6,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,550,-7,750,-16,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,550,-8,750,-18,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1418,-2,1618,16,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,549,211,750,224,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1418,21,1618,14,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1426,-9,1620,9,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,550,-7,750,-15,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,550,-4,750,-11,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,548,-7,750,-20,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,600,-11,800,-25,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,540,-10,740,15,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,550,-11,750,-24,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,552,-2,750,-15,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1426,-8,1620,6,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,548,-4,750,1,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1406,4,1600,2,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1426,-7,1620,-3,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,540,-8,740,-15,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1426,-10,1620,-7,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,1410,-4,1604,-12,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,548,-12,750,-26,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,540,-7,740,-8,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1426,32,1620,42,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1415,-12,1615,-8,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,555,-12,755,-17,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1410,12,1604,9,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,550,-7,750,-24,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,1426,-14,1620,-11,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1403,4,1557,14,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1410,-7,1604,-2,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,550,13,750,1,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,555,-2,755,-10,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,540,-3,740,-15,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,550,-11,750,-29,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,552,9,750,33,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,540,-12,740,-25,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1426,-5,1620,13,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,540,-9,740,-28,0,"","SkyWest Airlines Inc. "
