"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DFW",2018,11,1407,10,1917,6,0,"","American Airlines Inc. "
"DFW",2018,12,1407,-6,1917,1,0,"","American Airlines Inc. "
"DFW",2018,1,610,-6,1126,-18,0,"","American Airlines Inc. "
"DFW",2018,6,45,-4,556,-14,0,"","American Airlines Inc. "
"DFW",2018,3,610,-2,1126,-13,0,"","American Airlines Inc. "
"DFW",2018,8,604,-2,1124,-25,0,"","American Airlines Inc. "
"PHX",2018,1,1235,-11,1516,-6,0,"","American Airlines Inc. "
"DFW",2018,9,1358,2,1917,-5,0,"","American Airlines Inc. "
"PHX",2018,1,1235,84,1516,101,0,"","American Airlines Inc. "
"PHX",2018,1,1235,-11,1516,-4,0,"","American Airlines Inc. "
"DFW",2018,12,1407,17,1917,-4,0,"","American Airlines Inc. "
"DFW",2018,6,1358,-12,1917,8,0,"","American Airlines Inc. "
"DFW",2018,6,607,-1,1124,-7,0,"","American Airlines Inc. "
"DFW",2018,5,1420,13,1937,32,0,"","American Airlines Inc. "
"PHX",2018,1,1235,-9,1516,-9,0,"","American Airlines Inc. "
"DFW",2018,9,1358,24,1917,15,0,"","American Airlines Inc. "
"DFW",2018,5,600,-2,1117,-8,0,"","American Airlines Inc. "
"DFW",2018,12,1157,-4,1704,-15,0,"","American Airlines Inc. "
"PHX",2018,2,1235,-9,1516,-4,0,"","American Airlines Inc. "
"DFW",2018,9,609,-1,1125,-2,0,"","American Airlines Inc. "
"DFW",2018,4,600,-2,1118,-17,0,"","American Airlines Inc. "
"PHX",2018,2,1235,-8,1516,-5,0,"","American Airlines Inc. "
"DFW",2018,8,1355,162,1917,150,0,"","American Airlines Inc. "
"DFW",2018,3,1400,-6,1916,-12,0,"","American Airlines Inc. "
"DFW",2018,8,605,-1,1125,-16,0,"","American Airlines Inc. "
"DFW",2018,11,611,125,1125,127,0,"","American Airlines Inc. "
"DFW",2018,5,45,-3,556,-28,0,"","American Airlines Inc. "
"DFW",2018,8,605,-5,1125,-20,0,"","American Airlines Inc. "
"PHX",2018,1,1235,30,1516,38,0,"","American Airlines Inc. "
"DFW",2018,8,605,27,1125,24,0,"","American Airlines Inc. "
"DFW",2018,5,600,-2,1117,-16,0,"","American Airlines Inc. "
"DFW",2018,4,600,-10,1118,-23,0,"","American Airlines Inc. "
"DFW",2018,8,50,-6,605,-29,0,"","American Airlines Inc. "
"DFW",2018,10,1401,NA,1917,NA,1,"Weather","American Airlines Inc. "
"DFW",2018,6,607,-3,1124,-19,0,"","American Airlines Inc. "
"DFW",2018,8,609,-7,1125,-20,0,"","American Airlines Inc. "
"DFW",2018,11,613,3,1125,-13,0,"","American Airlines Inc. "
"DFW",2018,10,611,-6,1125,0,0,"","American Airlines Inc. "
"DFW",2018,2,1400,-5,1916,-19,0,"","American Airlines Inc. "
"DFW",2018,8,1355,-4,1917,17,0,"","American Airlines Inc. "
"DFW",2018,5,1420,-1,1937,-12,0,"","American Airlines Inc. "
"DFW",2018,6,53,58,605,46,0,"","American Airlines Inc. "
"DFW",2018,1,610,-3,1123,10,0,"","American Airlines Inc. "
"DFW",2018,3,610,-5,1126,-35,0,"","American Airlines Inc. "
"DFW",2018,3,610,-5,1126,-20,0,"","American Airlines Inc. "
"PHX",2018,3,1235,-1,1516,-11,0,"","American Airlines Inc. "
"DFW",2018,7,607,-5,1124,-12,0,"","American Airlines Inc. "
"DFW",2018,10,1401,17,1917,20,0,"","American Airlines Inc. "
"DFW",2018,1,55,-4,601,-17,0,"","American Airlines Inc. "
"PHX",2018,2,1235,98,1516,114,0,"","American Airlines Inc. "
"DFW",2018,7,50,-8,605,-38,0,"","American Airlines Inc. "
"DFW",2018,1,1400,21,1916,18,0,"","American Airlines Inc. "
"DFW",2018,10,1401,-2,1917,4,0,"","American Airlines Inc. "
"DFW",2018,11,613,-2,1125,-32,0,"","American Airlines Inc. "
"DFW",2018,3,1400,-6,1916,-28,0,"","American Airlines Inc. "
"DFW",2018,1,610,-4,1126,-4,0,"","American Airlines Inc. "
"DFW",2018,1,610,101,1126,98,0,"","American Airlines Inc. "
"PHX",2018,3,1245,-12,1422,-13,0,"","American Airlines Inc. "
"DFW",2018,10,611,-2,1125,-14,0,"","American Airlines Inc. "
"DFW",2018,6,607,-5,1124,-18,0,"","American Airlines Inc. "
"DFW",2018,1,610,-5,1123,-21,0,"","American Airlines Inc. "
"DFW",2018,10,611,45,1125,36,0,"","American Airlines Inc. "
"DFW",2018,12,1407,3,1917,-5,0,"","American Airlines Inc. "
"PHX",2018,1,1235,-9,1516,-1,0,"","American Airlines Inc. "
"DFW",2018,8,50,-6,605,-10,0,"","American Airlines Inc. "
"DFW",2018,7,1355,163,1917,189,0,"","American Airlines Inc. "
"PHX",2018,2,1235,-5,1516,5,0,"","American Airlines Inc. "
"DFW",2018,1,610,-5,1126,-2,0,"","American Airlines Inc. "
"PHX",2018,3,1245,-6,1422,-8,0,"","American Airlines Inc. "
"PHX",2018,3,1245,-8,1422,2,0,"","American Airlines Inc. "
"PHX",2018,2,1235,-1,1516,2,0,"","American Airlines Inc. "
"DFW",2018,5,600,-3,1117,-16,0,"","American Airlines Inc. "
"DFW",2018,7,1355,9,1917,8,0,"","American Airlines Inc. "
"DFW",2018,2,610,-3,1126,-11,0,"","American Airlines Inc. "
"DFW",2018,3,610,-4,1126,-6,0,"","American Airlines Inc. "
"DFW",2018,3,610,-5,1126,-21,0,"","American Airlines Inc. "
"DFW",2018,10,611,-6,1125,-4,0,"","American Airlines Inc. "
"PHX",2018,2,1235,-1,1516,-14,0,"","American Airlines Inc. "
"PHX",2018,1,1235,-4,1516,-22,0,"","American Airlines Inc. "
"DFW",2018,8,1358,-10,1917,-9,0,"","American Airlines Inc. "
"DFW",2018,12,613,-7,1125,-14,0,"","American Airlines Inc. "
"DFW",2018,7,604,-3,1124,-20,0,"","American Airlines Inc. "
"DFW",2018,5,600,-7,1117,-18,0,"","American Airlines Inc. "
"DFW",2018,6,53,53,605,48,0,"","American Airlines Inc. "
"PHX",2018,2,1235,133,1516,119,0,"","American Airlines Inc. "
"DFW",2018,12,1434,67,1942,62,0,"","American Airlines Inc. "
"DFW",2018,12,1434,17,1942,-1,0,"","American Airlines Inc. "
"DFW",2018,11,1407,268,1917,260,0,"","American Airlines Inc. "
"DFW",2018,6,53,-2,605,-12,0,"","American Airlines Inc. "
"PHX",2018,2,1235,-13,1516,7,0,"","American Airlines Inc. "
"DFW",2018,2,610,8,1126,0,0,"","American Airlines Inc. "
"DFW",2018,7,50,-5,605,-28,0,"","American Airlines Inc. "
