"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DTW",2018,2,543,-4,750,-6,0,"","Endeavor Air Inc. "
"ATL",2018,9,1920,-1,2145,-10,0,"","Endeavor Air Inc. "
"ATL",2018,5,1230,8,1455,7,0,"","Endeavor Air Inc. "
"ATL",2018,10,1029,-10,1250,-23,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-3,840,-6,0,"","Endeavor Air Inc. "
"ATL",2018,6,1230,-7,1458,-5,0,"","Endeavor Air Inc. "
"ATL",2018,12,1512,-4,1752,-15,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-7,820,7,0,"","Endeavor Air Inc. "
"DTW",2018,3,1629,-9,1837,-37,0,"","Endeavor Air Inc. "
"DTW",2018,4,1629,-12,1837,-27,0,"","Endeavor Air Inc. "
"ATL",2018,4,1230,-9,1457,-17,0,"","Endeavor Air Inc. "
"ATL",2018,10,1615,-15,1843,-19,0,"","Endeavor Air Inc. "
"DTW",2018,6,1235,-9,1433,-32,0,"","Endeavor Air Inc. "
"DTW",2018,2,543,-6,750,10,0,"","Endeavor Air Inc. "
"ATL",2018,6,1230,9,1458,-9,0,"","Endeavor Air Inc. "
"ATL",2018,4,1230,386,1457,403,0,"","Endeavor Air Inc. "
"DTW",2018,3,1235,124,1435,101,0,"","Endeavor Air Inc. "
"ATL",2018,7,600,-5,817,-1,0,"","Endeavor Air Inc. "
"ATL",2018,4,1020,-5,1245,-12,0,"","Endeavor Air Inc. "
"ATL",2018,7,1230,39,1456,32,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-10,820,-25,0,"","Endeavor Air Inc. "
"DTW",2018,5,550,-14,747,-25,0,"","Endeavor Air Inc. "
"DTW",2018,4,1629,30,1835,18,0,"","Endeavor Air Inc. "
"ATL",2018,12,1021,0,1304,-15,0,"","Endeavor Air Inc. "
"DTW",2018,3,1235,-12,1435,-26,0,"","Endeavor Air Inc. "
"ATL",2018,4,1505,-7,1729,-20,0,"","Endeavor Air Inc. "
"ATL",2018,3,1505,40,1727,17,0,"","Endeavor Air Inc. "
"ATL",2018,8,1230,8,1456,-3,0,"","Endeavor Air Inc. "
"DTW",2018,6,1629,43,1831,23,0,"","Endeavor Air Inc. "
"ATL",2018,12,1233,-5,1515,-33,0,"","Endeavor Air Inc. "
"ATL",2018,9,600,-4,820,14,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-8,843,-26,0,"","Endeavor Air Inc. "
"ATL",2018,4,600,-3,820,-2,0,"","Endeavor Air Inc. "
"ATL",2018,5,1025,-3,1247,-2,0,"","Endeavor Air Inc. "
"DTW",2018,6,1629,-6,1831,-20,0,"","Endeavor Air Inc. "
"ATL",2018,3,1505,1,1727,6,0,"","Endeavor Air Inc. "
"DTW",2018,5,930,-10,1127,-27,0,"","Endeavor Air Inc. "
"DTW",2018,1,1235,-14,1434,-34,0,"","Endeavor Air Inc. "
"ATL",2018,8,1230,42,1456,25,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-2,843,-28,0,"","Endeavor Air Inc. "
"DTW",2018,2,545,31,750,30,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,0,820,-4,0,"","Endeavor Air Inc. "
"DTW",2018,3,1235,-10,1435,-40,0,"","Endeavor Air Inc. "
"ATL",2018,4,1020,333,1245,344,0,"","Endeavor Air Inc. "
"ATL",2018,9,600,-6,820,-6,0,"","Endeavor Air Inc. "
"DTW",2018,1,1629,-11,1832,-35,0,"","Endeavor Air Inc. "
"ATL",2018,3,1025,NA,1245,NA,1,"Airline","Endeavor Air Inc. "
"ATL",2018,7,600,-7,815,6,0,"","Endeavor Air Inc. "
"ATL",2018,7,1230,-4,1457,-14,0,"","Endeavor Air Inc. "
"DTW",2018,5,1235,-5,1433,-22,0,"","Endeavor Air Inc. "
"ATL",2018,6,1230,56,1458,47,0,"","Endeavor Air Inc. "
"ATL",2018,7,1230,16,1456,-4,0,"","Endeavor Air Inc. "
"ATL",2018,6,1025,NA,1247,-14,0,"","Endeavor Air Inc. "
"ATL",2018,4,1505,-15,1729,-11,0,"","Endeavor Air Inc. "
"ATL",2018,11,1021,-10,1304,-43,0,"","Endeavor Air Inc. "
"ATL",2018,6,1725,-5,1958,-33,0,"","Endeavor Air Inc. "
"ATL",2018,12,1512,17,1752,-4,0,"","Endeavor Air Inc. "
"ATL",2018,6,600,96,819,87,0,"","Endeavor Air Inc. "
"ATL",2018,3,1505,11,1727,-1,0,"","Endeavor Air Inc. "
"ATL",2018,8,1230,18,1456,6,0,"","Endeavor Air Inc. "
"DTW",2018,5,1629,-10,1830,-47,0,"","Endeavor Air Inc. "
"DTW",2018,2,1629,-6,1832,-18,0,"","Endeavor Air Inc. "
"DTW",2018,5,1629,-8,1830,-28,0,"","Endeavor Air Inc. "
"DTW",2018,2,543,-5,750,-24,0,"","Endeavor Air Inc. "
"ATL",2018,5,1230,-14,1455,-17,0,"","Endeavor Air Inc. "
"ATL",2018,6,1230,-2,1458,3,0,"","Endeavor Air Inc. "
"ATL",2018,8,1026,-7,1246,-10,0,"","Endeavor Air Inc. "
"ATL",2018,5,1725,-6,1958,19,0,"","Endeavor Air Inc. "
"DTW",2018,6,1629,-6,1830,-31,0,"","Endeavor Air Inc. "
"DTW",2018,6,550,-7,747,-21,0,"","Endeavor Air Inc. "
"ATL",2018,11,1507,-4,1737,15,0,"","Endeavor Air Inc. "
"DTW",2018,4,545,9,749,19,0,"","Endeavor Air Inc. "
"ATL",2018,11,1021,-2,1304,-21,0,"","Endeavor Air Inc. "
"ATL",2018,4,600,-5,824,-20,0,"","Endeavor Air Inc. "
"ATL",2018,11,1615,-10,1849,-24,0,"","Endeavor Air Inc. "
"DTW",2018,3,1629,-1,1837,-30,0,"","Endeavor Air Inc. "
"ATL",2018,3,1025,36,1245,40,0,"","Endeavor Air Inc. "
"ATL",2018,5,1507,43,1736,22,0,"","Endeavor Air Inc. "
"ATL",2018,7,1029,-5,1252,-18,0,"","Endeavor Air Inc. "
"ATL",2018,4,1020,-11,1245,-19,0,"","Endeavor Air Inc. "
"ATL",2018,4,1505,-3,1729,-5,0,"","Endeavor Air Inc. "
"ATL",2018,8,1505,-4,1734,-14,0,"","Endeavor Air Inc. "
"DTW",2018,6,1629,-4,1830,-28,0,"","Endeavor Air Inc. "
"ATL",2018,7,1505,NA,1737,-25,0,"","Endeavor Air Inc. "
"ATL",2018,6,600,-8,814,4,0,"","Endeavor Air Inc. "
"ATL",2018,10,1510,-2,1737,-18,0,"","Endeavor Air Inc. "
"DTW",2018,1,1629,-8,1832,-23,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-3,843,-25,0,"","Endeavor Air Inc. "
"DTW",2018,2,1629,-3,1832,-22,0,"","Endeavor Air Inc. "
"ATL",2018,5,1725,-6,1958,-3,0,"","Endeavor Air Inc. "
"ATL",2018,3,1025,-5,1245,2,0,"","Endeavor Air Inc. "
"DTW",2018,4,1235,4,1435,-12,0,"","Endeavor Air Inc. "
"ATL",2018,9,600,-10,820,-14,0,"","Endeavor Air Inc. "
"ATL",2018,7,1729,-5,2000,-29,0,"","Endeavor Air Inc. "
"ATL",2018,10,1510,-5,1737,-14,0,"","Endeavor Air Inc. "
"ATL",2018,8,1929,-1,2159,-26,0,"","Endeavor Air Inc. "
"ATL",2018,4,1020,-5,1245,-12,0,"","Endeavor Air Inc. "
"ATL",2018,8,600,-5,817,1,0,"","Endeavor Air Inc. "
"DTW",2018,5,1235,NA,1433,-7,0,"","Endeavor Air Inc. "
"DTW",2018,4,549,157,750,133,0,"","Endeavor Air Inc. "
"ATL",2018,7,1725,-6,1959,-27,0,"","Endeavor Air Inc. "
"ATL",2018,5,600,-4,819,-10,0,"","Endeavor Air Inc. "
"ATL",2018,6,1929,112,2202,89,0,"","Endeavor Air Inc. "
"DTW",2018,3,545,-1,749,-16,0,"","Endeavor Air Inc. "
"DTW",2018,1,1629,-14,1832,-35,0,"","Endeavor Air Inc. "
"ATL",2018,6,1929,NA,2202,NA,1,"National Air System","Endeavor Air Inc. "
"ATL",2018,3,600,-8,827,NA,0,"","Endeavor Air Inc. "
"ATL",2018,5,600,-6,817,-7,0,"","Endeavor Air Inc. "
"ATL",2018,9,1025,-5,1247,-14,0,"","Endeavor Air Inc. "
"ATL",2018,7,1230,55,1456,53,0,"","Endeavor Air Inc. "
"ATL",2018,8,1505,-8,1734,-7,0,"","Endeavor Air Inc. "
"DTW",2018,4,1235,1,1435,-21,0,"","Endeavor Air Inc. "
"ATL",2018,8,1029,-6,1252,-12,0,"","Endeavor Air Inc. "
"ATL",2018,7,1729,-10,2000,-10,0,"","Endeavor Air Inc. "
"ATL",2018,6,1600,1,1825,-8,0,"","Endeavor Air Inc. "
"ATL",2018,3,1025,-5,1245,-14,0,"","Endeavor Air Inc. "
"ATL",2018,12,1500,32,1740,13,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-10,820,2,0,"","Endeavor Air Inc. "
"DTW",2018,2,543,-6,748,-12,0,"","Endeavor Air Inc. "
"ATL",2018,12,1512,41,1752,35,0,"","Endeavor Air Inc. "
"DTW",2018,3,545,-10,749,-32,0,"","Endeavor Air Inc. "
"ATL",2018,4,1505,-10,1729,-8,0,"","Endeavor Air Inc. "
"ATL",2018,6,600,-8,819,3,0,"","Endeavor Air Inc. "
"DTW",2018,7,1235,-5,1426,-12,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-3,842,-10,0,"","Endeavor Air Inc. "
"DTW",2018,1,1235,14,1434,-6,0,"","Endeavor Air Inc. "
"ATL",2018,7,1929,-11,2159,-23,0,"","Endeavor Air Inc. "
"DTW",2018,4,1235,-9,1435,-33,0,"","Endeavor Air Inc. "
"ATL",2018,10,1918,0,2140,-3,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-6,843,-42,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-1,827,3,0,"","Endeavor Air Inc. "
"DTW",2018,5,1629,-10,1830,-18,0,"","Endeavor Air Inc. "
"ATL",2018,7,1505,171,1734,155,0,"","Endeavor Air Inc. "
"DTW",2018,5,550,-10,747,-28,0,"","Endeavor Air Inc. "
"ATL",2018,9,1505,13,1733,27,0,"","Endeavor Air Inc. "
"ATL",2018,6,1507,185,1735,170,0,"","Endeavor Air Inc. "
"ATL",2018,7,1029,-8,1252,-20,0,"","Endeavor Air Inc. "
"ATL",2018,11,1507,-9,1737,-12,0,"","Endeavor Air Inc. "
"ATL",2018,8,1029,1,1252,1,0,"","Endeavor Air Inc. "
"DTW",2018,6,1235,-12,1426,-11,0,"","Endeavor Air Inc. "
"ATL",2018,12,1512,-1,1752,-13,0,"","Endeavor Air Inc. "
"DTW",2018,1,543,104,750,100,0,"","Endeavor Air Inc. "
"DTW",2018,1,1235,-15,1434,-23,0,"","Endeavor Air Inc. "
"DTW",2018,1,543,-8,750,-18,0,"","Endeavor Air Inc. "
"ATL",2018,4,1230,-5,1454,-18,0,"","Endeavor Air Inc. "
"DTW",2018,2,543,-7,750,-8,0,"","Endeavor Air Inc. "
"ATL",2018,8,1505,-3,1734,-24,0,"","Endeavor Air Inc. "
"ATL",2018,7,600,-6,817,-21,0,"","Endeavor Air Inc. "
"ATL",2018,5,1725,-9,1958,-40,0,"","Endeavor Air Inc. "
"ATL",2018,5,1600,-5,1825,46,0,"","Endeavor Air Inc. "
"DTW",2018,4,1629,-13,1835,-42,0,"","Endeavor Air Inc. "
"DTW",2018,4,1629,-9,1835,-15,0,"","Endeavor Air Inc. "
"ATL",2018,5,1929,30,2157,13,0,"","Endeavor Air Inc. "
"ATL",2018,9,1505,52,1733,67,0,"","Endeavor Air Inc. "
"ATL",2018,6,600,-5,815,-19,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-5,820,-8,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-7,842,-35,0,"","Endeavor Air Inc. "
"DTW",2018,3,1629,-1,1837,-35,0,"","Endeavor Air Inc. "
"ATL",2018,5,1025,-3,1247,-7,0,"","Endeavor Air Inc. "
"ATL",2018,6,600,-3,814,1,0,"","Endeavor Air Inc. "
"ATL",2018,7,1505,-3,1734,23,0,"","Endeavor Air Inc. "
"ATL",2018,8,1505,-3,1734,-35,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-5,843,-16,0,"","Endeavor Air Inc. "
"ATL",2018,8,600,-8,817,-16,0,"","Endeavor Air Inc. "
"ATL",2018,9,600,-3,820,-5,0,"","Endeavor Air Inc. "
"DTW",2018,3,1629,-8,1837,-31,0,"","Endeavor Air Inc. "
"DTW",2018,2,543,NA,748,NA,1,"National Air System","Endeavor Air Inc. "
"ATL",2018,2,1230,-4,1504,-15,0,"","Endeavor Air Inc. "
"ATL",2018,4,1729,-1,1959,-17,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-4,827,6,0,"","Endeavor Air Inc. "
"ATL",2018,5,1230,-5,1455,-21,0,"","Endeavor Air Inc. "
"DTW",2018,5,550,-8,747,-8,0,"","Endeavor Air Inc. "
"ATL",2018,12,1615,-2,1859,-31,0,"","Endeavor Air Inc. "
"ATL",2018,5,1507,-9,1736,-29,0,"","Endeavor Air Inc. "
"ATL",2018,5,600,346,819,373,0,"","Endeavor Air Inc. "
"DTW",2018,3,545,-5,749,-14,0,"","Endeavor Air Inc. "
"ATL",2018,4,1729,36,1951,37,0,"","Endeavor Air Inc. "
"ATL",2018,4,1505,-8,1729,11,0,"","Endeavor Air Inc. "
"ATL",2018,10,1510,-6,1737,-35,0,"","Endeavor Air Inc. "
"ATL",2018,7,600,35,817,34,0,"","Endeavor Air Inc. "
"ATL",2018,10,1918,67,2140,44,0,"","Endeavor Air Inc. "
"ATL",2018,7,1029,-8,1252,-14,0,"","Endeavor Air Inc. "
"ATL",2018,3,1505,-6,1727,NA,0,"","Endeavor Air Inc. "
"ATL",2018,7,1029,-3,1252,5,0,"","Endeavor Air Inc. "
"ATL",2018,2,1725,-5,2003,-13,0,"","Endeavor Air Inc. "
