"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"PHL",2018,2,1305,-14,1412,-30,0,"","PSA Airlines Inc. "
"PHL",2018,1,1750,-9,1857,-20,0,"","PSA Airlines Inc. "
"PHL",2018,6,1203,3,1315,-18,0,"","PSA Airlines Inc. "
"PHL",2018,3,1306,-13,1413,-26,0,"","PSA Airlines Inc. "
"PHL",2018,11,1224,-4,1330,-8,0,"","PSA Airlines Inc. "
"PHL",2018,10,608,-13,720,-29,0,"","PSA Airlines Inc. "
"PHL",2018,9,608,-9,720,-33,0,"","PSA Airlines Inc. "
"PHL",2018,9,1202,-2,1315,-20,0,"","PSA Airlines Inc. "
"PHL",2018,8,1753,1,1909,-17,0,"","PSA Airlines Inc. "
"PHL",2018,1,1750,5,1857,8,0,"","PSA Airlines Inc. "
"PHL",2018,10,608,-9,720,-24,0,"","PSA Airlines Inc. "
"PHL",2018,6,1203,26,1315,2,0,"","PSA Airlines Inc. "
"PHL",2018,7,1158,NA,1315,NA,1,"National Air System","PSA Airlines Inc. "
"PHL",2018,5,605,-6,707,-16,0,"","PSA Airlines Inc. "
"PHL",2018,8,1759,-14,1919,-39,0,"","PSA Airlines Inc. "
"PHL",2018,10,608,-17,720,-33,0,"","PSA Airlines Inc. "
"PHL",2018,8,615,49,732,29,0,"","PSA Airlines Inc. "
"PHL",2018,4,556,-3,659,14,0,"","PSA Airlines Inc. "
"PHL",2018,1,550,NA,657,NA,1,"Weather","PSA Airlines Inc. "
"PHL",2018,10,1823,-9,1937,-23,0,"","PSA Airlines Inc. "
"PHL",2018,10,1823,12,1937,-13,0,"","PSA Airlines Inc. "
"PHL",2018,3,1306,-14,1413,-27,0,"","PSA Airlines Inc. "
"PHL",2018,8,608,-6,720,-23,0,"","PSA Airlines Inc. "
"PHL",2018,9,608,-3,720,-1,0,"","PSA Airlines Inc. "
"PHL",2018,2,1311,-18,1418,-31,0,"","PSA Airlines Inc. "
"PHL",2018,12,610,-11,720,-14,0,"","PSA Airlines Inc. "
"PHL",2018,11,1224,-10,1330,-15,0,"","PSA Airlines Inc. "
"PHL",2018,7,1158,-17,1315,-24,0,"","PSA Airlines Inc. "
"PHL",2018,12,1901,-14,2010,-24,0,"","PSA Airlines Inc. "
"PHL",2018,10,1219,-14,1330,-30,0,"","PSA Airlines Inc. "
"PHL",2018,3,1306,-14,1413,-26,0,"","PSA Airlines Inc. "
"PHL",2018,7,1759,29,1919,0,0,"","PSA Airlines Inc. "
"PHL",2018,9,1833,-14,1949,-19,0,"","PSA Airlines Inc. "
"PHL",2018,12,1224,10,1330,15,0,"","PSA Airlines Inc. "
"PHL",2018,5,800,-9,902,-13,0,"","PSA Airlines Inc. "
"PHL",2018,4,1755,-16,1858,-18,0,"","PSA Airlines Inc. "
"PHL",2018,7,1759,-13,1919,-42,0,"","PSA Airlines Inc. "
"PHL",2018,10,1823,-10,1937,-15,0,"","PSA Airlines Inc. "
"PHL",2018,5,1323,-13,1425,-13,0,"","PSA Airlines Inc. "
"PHL",2018,9,608,-9,720,-23,0,"","PSA Airlines Inc. "
"PHL",2018,5,1755,172,1858,157,0,"","PSA Airlines Inc. "
"PHL",2018,2,1311,-17,1418,-12,0,"","PSA Airlines Inc. "
"PHL",2018,12,609,12,720,24,0,"","PSA Airlines Inc. "
"PHL",2018,10,1823,-12,1937,-28,0,"","PSA Airlines Inc. "
"PHL",2018,6,1758,-14,1900,-16,0,"","PSA Airlines Inc. "
"PHL",2018,3,1750,47,1857,51,0,"","PSA Airlines Inc. "
"PHL",2018,4,556,-5,659,-9,0,"","PSA Airlines Inc. "
"PHL",2018,8,608,-6,720,-22,0,"","PSA Airlines Inc. "
"PHL",2018,12,1901,NA,2010,NA,1,"Weather","PSA Airlines Inc. "
"PHL",2018,1,600,4,714,-5,0,"","PSA Airlines Inc. "
"PHL",2018,8,1753,-9,1909,-30,0,"","PSA Airlines Inc. "
"PHL",2018,6,1759,-14,1919,-20,0,"","PSA Airlines Inc. "
