"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DEN",2018,4,700,-5,707,-3,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1433,153,1436,157,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1400,-7,1407,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,700,-10,707,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,700,-6,703,6,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1400,-6,1407,-8,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1355,-9,1409,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-2,647,-3,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1400,-11,1407,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1355,-8,1400,2,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1355,-14,1400,-4,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,700,-9,703,6,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,640,-12,645,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-10,654,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1400,9,1407,4,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,700,-7,703,-4,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,700,-14,707,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,700,-10,707,-21,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,640,-11,654,-27,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,700,-10,703,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1400,-16,1407,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,700,-11,703,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,700,556,703,568,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1400,-18,1407,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1353,-17,1400,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,700,-12,703,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1352,-9,1359,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1400,-9,1407,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,700,-9,707,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1400,8,1407,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1433,-21,1436,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1355,-8,1400,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1353,-11,1400,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1355,-10,1409,-21,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-2,645,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1433,-15,1436,9,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1433,-10,1436,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-4,645,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-12,645,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,640,-5,645,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,640,-10,645,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,640,-1,655,11,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-8,647,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-4,647,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1353,-14,1400,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,640,-6,654,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1352,3,1359,3,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,640,-15,655,-24,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,640,-1,654,35,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1352,-7,1359,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,700,-8,707,-6,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1433,-12,1436,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1400,-10,1407,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-6,647,-14,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1355,-11,1409,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1355,-12,1400,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-9,647,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,640,2,654,26,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1355,-8,1409,-24,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,640,-6,645,18,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,700,-4,703,-1,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1355,-10,1400,39,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1355,-5,1400,-4,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,640,29,647,24,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,640,-12,645,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1400,-19,1407,-24,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-10,645,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,700,-9,707,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,640,-16,645,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1400,-9,1407,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,640,-10,647,-21,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1355,20,1409,3,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,640,-7,645,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1353,-9,1400,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,640,-5,655,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,700,NA,703,NA,1,"Weather","SkyWest Airlines Inc. "
"DEN",2018,10,640,-15,654,-32,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,700,-12,707,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1355,-16,1409,-31,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,700,-11,703,1,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1433,-2,1436,0,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,640,-8,647,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,640,-6,654,-13,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,700,-10,707,-24,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-2,645,-14,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,640,-10,654,-25,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,640,62,654,62,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-12,647,-15,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1355,-12,1400,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-12,647,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1433,-15,1436,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,640,-3,647,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-13,647,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1355,-12,1400,13,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-14,647,-26,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1355,-13,1409,-12,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,640,-10,647,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,1400,-18,1407,-27,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1353,-6,1400,-14,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,700,-6,707,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,640,-14,647,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1352,-6,1359,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,640,-8,645,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1405,NA,1419,NA,1,"Weather","SkyWest Airlines Inc. "
"DEN",2018,9,640,-8,647,-16,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1405,-1,1419,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-9,645,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,640,-5,645,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-6,647,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,640,-10,647,-7,0,"","SkyWest Airlines Inc. "
"DEN",2018,4,700,-8,707,-11,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1433,-19,1436,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1355,-7,1400,1,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1433,55,1436,57,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1355,-19,1409,-28,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1355,-14,1400,-23,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,640,-6,645,-13,0,"","SkyWest Airlines Inc. "
