"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"IAD",2018,9,1030,605,1126,605,0,"","SkyWest Airlines Inc. "
"SHD",2018,8,1921,-7,2003,-2,0,"","SkyWest Airlines Inc. "
"SHD",2018,8,1921,11,2003,6,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1745,-6,1850,-16,0,"","SkyWest Airlines Inc. "
"SHD",2018,5,1920,109,1955,121,0,"","SkyWest Airlines Inc. "
"SHD",2018,5,1920,14,1955,26,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1745,19,1850,5,0,"","SkyWest Airlines Inc. "
"IAD",2018,12,1020,-9,1117,-11,0,"","SkyWest Airlines Inc. "
"SHD",2018,8,1921,-4,2003,-10,0,"","SkyWest Airlines Inc. "
"SHD",2018,8,1921,-7,2003,1,0,"","SkyWest Airlines Inc. "
"SHD",2018,8,1921,57,2003,53,0,"","SkyWest Airlines Inc. "
"IAD",2018,9,1030,-14,1126,-20,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1512,327,1554,332,0,"","SkyWest Airlines Inc. "
"IAD",2018,9,1030,-16,1126,-13,0,"","SkyWest Airlines Inc. "
"IAD",2018,10,1030,-11,1126,-10,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1515,316,1605,319,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1510,10,1600,0,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1745,-10,1850,-36,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1515,14,1605,13,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1511,-8,1555,-17,0,"","SkyWest Airlines Inc. "
"IAD",2018,12,1020,-3,1148,-22,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1511,241,1557,276,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1745,-13,1850,-3,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1511,-5,1555,11,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1515,2,1605,-4,0,"","SkyWest Airlines Inc. "
"IAD",2018,10,1030,-10,1126,-9,0,"","SkyWest Airlines Inc. "
"IAD",2018,11,1020,-8,1147,-44,0,"","SkyWest Airlines Inc. "
"IAD",2018,8,1020,29,1116,34,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,1515,3,1605,8,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1511,-6,1557,5,0,"","SkyWest Airlines Inc. "
"IAD",2018,10,1030,168,1126,165,0,"","SkyWest Airlines Inc. "
"IAD",2018,12,1020,-15,1117,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1512,-2,1554,-8,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1745,-10,1850,-30,0,"","SkyWest Airlines Inc. "
"IAD",2018,12,1020,NA,1148,NA,1,"Weather","SkyWest Airlines Inc. "
"IAD",2018,10,1030,-10,1126,-10,0,"","SkyWest Airlines Inc. "
"IAD",2018,12,1020,-9,1117,-13,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1745,-15,1850,-32,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1511,-21,1557,-30,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1745,-10,1850,-22,0,"","SkyWest Airlines Inc. "
"IAD",2018,7,1020,-5,1116,0,0,"","SkyWest Airlines Inc. "
"SHD",2018,6,1931,-2,2013,4,0,"","SkyWest Airlines Inc. "
"SHD",2018,8,1921,-6,2003,-13,0,"","SkyWest Airlines Inc. "
"IAD",2018,12,1020,-6,1148,-42,0,"","SkyWest Airlines Inc. "
"IAD",2018,10,1030,-6,1126,-14,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1745,50,1850,73,0,"","SkyWest Airlines Inc. "
"SHD",2018,8,1921,NA,2003,NA,1,"Weather","SkyWest Airlines Inc. "
"SHD",2018,7,1921,69,2003,60,0,"","SkyWest Airlines Inc. "
"IAD",2018,6,1020,-12,1116,-6,0,"","SkyWest Airlines Inc. "
"IAD",2018,6,1020,-19,1116,-22,0,"","SkyWest Airlines Inc. "
"IAD",2018,11,1023,-10,1150,-43,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1750,-4,1849,-17,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1745,-8,1850,-29,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1511,150,1555,164,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1745,-8,1850,-18,0,"","SkyWest Airlines Inc. "
