"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,9,1828,80,2029,72,0,"","Endeavor Air Inc. "
"ATL",2018,12,710,-5,932,-4,0,"","Endeavor Air Inc. "
"ATL",2018,8,600,-10,806,-15,0,"","Endeavor Air Inc. "
"ATL",2018,8,600,-11,806,-19,0,"","Endeavor Air Inc. "
"ATL",2018,8,1829,-7,2030,7,0,"","Endeavor Air Inc. "
"ATL",2018,8,600,-12,806,-29,0,"","Endeavor Air Inc. "
"ATL",2018,8,720,56,933,56,0,"","Endeavor Air Inc. "
"ATL",2018,10,1825,7,2030,16,0,"","Endeavor Air Inc. "
"ATL",2018,9,600,-6,801,-13,0,"","Endeavor Air Inc. "
"ATL",2018,5,1533,-10,1737,-24,0,"","Endeavor Air Inc. "
"ATL",2018,12,1344,-11,1545,-6,0,"","Endeavor Air Inc. "
"ATL",2018,5,720,64,932,49,0,"","Endeavor Air Inc. "
"ATL",2018,12,710,-5,932,-18,0,"","Endeavor Air Inc. "
"ATL",2018,10,600,-5,807,-15,0,"","Endeavor Air Inc. "
"ATL",2018,10,930,14,1128,10,0,"","Endeavor Air Inc. "
"ATL",2018,11,1215,-10,1419,-27,0,"","Endeavor Air Inc. "
"ATL",2018,3,1200,-4,1405,-20,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,0,807,-5,0,"","Endeavor Air Inc. "
"ATL",2018,7,720,-8,933,-6,0,"","Endeavor Air Inc. "
"ATL",2018,11,715,-5,929,2,0,"","Endeavor Air Inc. "
"ATL",2018,9,1828,237,2029,235,0,"","Endeavor Air Inc. "
"ATL",2018,12,1600,-7,1808,-25,0,"","Endeavor Air Inc. "
"ATL",2018,3,1200,-2,1405,6,0,"","Endeavor Air Inc. "
"ATL",2018,3,1855,-7,2103,12,0,"","Endeavor Air Inc. "
"ATL",2018,10,930,-1,1128,-2,0,"","Endeavor Air Inc. "
"ATL",2018,9,1828,-6,2029,5,0,"","Endeavor Air Inc. "
"ATL",2018,9,1130,-13,1335,-22,0,"","Endeavor Air Inc. "
"ATL",2018,9,1130,17,1335,54,0,"","Endeavor Air Inc. "
"ATL",2018,11,715,51,929,45,0,"","Endeavor Air Inc. "
"ATL",2018,6,1855,119,2100,116,0,"","Endeavor Air Inc. "
"ATL",2018,12,1344,-3,1545,-13,0,"","Endeavor Air Inc. "
"ATL",2018,12,924,-10,1130,-9,0,"","Endeavor Air Inc. "
