"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DFW",2018,2,1625,30,1934,26,0,"","American Airlines Inc. "
"CLT",2018,2,1244,-8,1817,-35,0,"","American Airlines Inc. "
"DFW",2018,3,1240,0,1544,-11,0,"","American Airlines Inc. "
"DFW",2018,2,1240,-8,1544,-7,0,"","American Airlines Inc. "
"CLT",2018,1,1244,-11,1817,-3,0,"","American Airlines Inc. "
"DFW",2018,12,1456,-7,1809,-19,0,"","American Airlines Inc. "
"DFW",2018,2,1240,-15,1544,-17,0,"","American Airlines Inc. "
"DFW",2018,2,1240,85,1544,78,0,"","American Airlines Inc. "
"DFW",2018,3,1240,7,1544,5,0,"","American Airlines Inc. "
"DFW",2018,1,1240,12,1544,26,0,"","American Airlines Inc. "
"DFW",2018,2,1625,-3,1934,-19,0,"","American Airlines Inc. "
"DFW",2018,3,1240,3,1544,6,0,"","American Airlines Inc. "
"DFW",2018,12,1236,112,1545,105,0,"","American Airlines Inc. "
"DFW",2018,1,1633,-2,1945,-7,0,"","American Airlines Inc. "
"DFW",2018,3,1240,-8,1544,-15,0,"","American Airlines Inc. "
"DFW",2018,1,1240,-12,1544,-20,0,"","American Airlines Inc. "
"DFW",2018,1,1240,0,1544,-1,0,"","American Airlines Inc. "
"DFW",2018,1,1245,136,1554,128,0,"","American Airlines Inc. "
"DFW",2018,2,1240,29,1544,32,0,"","American Airlines Inc. "
"DFW",2018,2,1240,36,1544,NA,0,"","American Airlines Inc. "
"DFW",2018,3,1050,-3,1353,-19,0,"","American Airlines Inc. "
"DFW",2018,3,1240,-7,1544,-25,0,"","American Airlines Inc. "
"DFW",2018,3,1240,-19,1544,-23,0,"","American Airlines Inc. "
"DFW",2018,3,1240,-6,1544,-10,0,"","American Airlines Inc. "
"DFW",2018,1,1633,-13,1942,-27,0,"","American Airlines Inc. "
"DFW",2018,3,1240,49,1544,59,0,"","American Airlines Inc. "
"DFW",2018,3,1240,-15,1544,-17,0,"","American Airlines Inc. "
"DFW",2018,2,1240,-11,1544,-11,0,"","American Airlines Inc. "
"DFW",2018,4,1240,50,1544,36,0,"","American Airlines Inc. "
"DFW",2018,1,1240,4,1544,2,0,"","American Airlines Inc. "
"CLT",2018,3,1244,NA,1817,NA,1,"Weather","American Airlines Inc. "
"DFW",2018,3,1240,-8,1544,-22,0,"","American Airlines Inc. "
"DFW",2018,1,1633,-8,1942,-20,0,"","American Airlines Inc. "
"DFW",2018,3,1240,-5,1544,-21,0,"","American Airlines Inc. "
"DFW",2018,12,1236,12,1545,9,0,"","American Airlines Inc. "
"DFW",2018,3,1625,35,1934,12,0,"","American Airlines Inc. "
"DFW",2018,12,1236,10,1545,30,0,"","American Airlines Inc. "
"DFW",2018,1,1633,-3,1942,-22,0,"","American Airlines Inc. "
"DFW",2018,1,1240,-5,1544,-21,0,"","American Airlines Inc. "
"DFW",2018,2,1240,-6,1544,1,0,"","American Airlines Inc. "
"DFW",2018,3,1240,32,1544,20,0,"","American Airlines Inc. "
"DFW",2018,1,1050,-5,1359,-24,0,"","American Airlines Inc. "
