"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,12,1411,36,1541,43,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,NA,1302,15,0,"","Endeavor Air Inc. "
"LGA",2018,7,1300,215,1456,202,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-7,1302,-11,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-11,1307,-4,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,19,1302,8,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-8,1307,-21,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-11,1307,-11,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-7,1302,-14,0,"","Endeavor Air Inc. "
"DTW",2018,4,1230,-9,1432,-16,0,"","Endeavor Air Inc. "
"LGA",2018,7,1300,-6,1456,-8,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-10,1307,-14,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-3,1302,-18,0,"","Endeavor Air Inc. "
"ATL",2018,12,1743,-9,1912,8,0,"","Endeavor Air Inc. "
"ATL",2018,12,1743,71,1912,73,0,"","Endeavor Air Inc. "
"ATL",2018,12,1134,-10,1302,-11,0,"","Endeavor Air Inc. "
"DTW",2018,6,1105,-6,1302,-9,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,NA,1302,-19,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-9,1302,-18,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,53,1302,44,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,4,1302,5,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,5,1302,-2,0,"","Endeavor Air Inc. "
"BOS",2018,6,1310,-12,1516,7,0,"","Endeavor Air Inc. "
"ATL",2018,12,1411,-2,1541,0,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,27,1307,3,0,"","Endeavor Air Inc. "
"ATL",2018,12,1411,-2,1541,-7,0,"","Endeavor Air Inc. "
"DTW",2018,5,1230,-8,1430,-10,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-9,1302,-21,0,"","Endeavor Air Inc. "
"DTW",2018,4,1230,-4,1432,-11,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,2,1307,1,0,"","Endeavor Air Inc. "
"BOS",2018,6,1310,-12,1516,-7,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-2,1307,-16,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-3,1307,-19,0,"","Endeavor Air Inc. "
"DTW",2018,6,1105,-7,1302,-7,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-8,1302,-20,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-6,1307,-4,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-4,1307,-11,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-11,1307,-23,0,"","Endeavor Air Inc. "
"ATL",2018,12,1411,-5,1541,6,0,"","Endeavor Air Inc. "
"ATL",2018,12,1135,-9,1303,-24,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-7,1307,NA,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,4,1307,-9,0,"","Endeavor Air Inc. "
"DTW",2018,6,1105,-4,1302,-13,0,"","Endeavor Air Inc. "
"DTW",2018,5,1230,-6,1430,-6,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,10,1307,10,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-3,1302,-17,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-10,1307,1,0,"","Endeavor Air Inc. "
"DTW",2018,4,1230,-10,1432,-14,0,"","Endeavor Air Inc. "
"ATL",2018,12,1743,-11,1912,-16,0,"","Endeavor Air Inc. "
"DTW",2018,4,1103,26,1302,29,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-7,1307,-7,0,"","Endeavor Air Inc. "
"ATL",2018,12,1411,-9,1541,-18,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,23,1307,17,0,"","Endeavor Air Inc. "
"ATL",2018,12,1411,0,1541,6,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-11,1302,-21,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-8,1302,-13,0,"","Endeavor Air Inc. "
"ATL",2018,12,1134,-11,1302,-15,0,"","Endeavor Air Inc. "
"DTW",2018,4,1230,-9,1432,-13,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-4,1302,-16,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-15,1302,-28,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,-2,1302,-13,0,"","Endeavor Air Inc. "
"ATL",2018,12,1411,-17,1541,-11,0,"","Endeavor Air Inc. "
"LGA",2018,7,1300,-7,1456,NA,0,"","Endeavor Air Inc. "
"ATL",2018,12,1743,27,1912,24,0,"","Endeavor Air Inc. "
"ATL",2018,12,1411,59,1541,49,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,21,1307,29,0,"","Endeavor Air Inc. "
"ATL",2018,12,1134,20,1302,18,0,"","Endeavor Air Inc. "
"DTW",2018,4,1108,-6,1307,-19,0,"","Endeavor Air Inc. "
"ATL",2018,12,1134,-6,1302,-16,0,"","Endeavor Air Inc. "
"DTW",2018,5,1105,97,1302,112,0,"","Endeavor Air Inc. "
"DTW",2018,5,1230,-12,1430,-19,0,"","Endeavor Air Inc. "
