"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"TYS",2018,4,630,0,817,-8,0,"","Allegiant Air "
"DAY",2018,8,630,-15,847,-13,0,"","Allegiant Air "
"SDF",2018,4,1348,-8,1559,-2,0,"","Allegiant Air "
"BNA",2018,6,810,-13,906,-20,0,"","Allegiant Air "
"ABE",2018,6,720,33,957,33,0,"","Allegiant Air "
"ABE",2018,10,1312,7,1551,-3,0,"","Allegiant Air "
"ABE",2018,6,720,NA,957,NA,1,"Weather","Allegiant Air "
"CVG",2018,3,640,-2,900,13,0,"","Allegiant Air "
"ABE",2018,8,1435,132,1709,134,0,"","Allegiant Air "
"TYS",2018,2,1832,120,2020,116,0,"","Allegiant Air "
"ABE",2018,2,1642,-17,1922,-33,0,"","Allegiant Air "
"SDF",2018,5,740,349,951,340,0,"","Allegiant Air "
"SDF",2018,10,700,-2,910,0,0,"","Allegiant Air "
"ABE",2018,7,720,-3,956,-9,0,"","Allegiant Air "
"ABE",2018,6,720,-10,957,-20,0,"","Allegiant Air "
"TYS",2018,6,1250,-4,1432,1,0,"","Allegiant Air "
"PIT",2018,5,1918,24,2142,8,0,"","Allegiant Air "
"ABE",2018,12,710,-6,949,-23,0,"","Allegiant Air "
"ABE",2018,7,1347,2,1623,60,0,"","Allegiant Air "
"ABE",2018,8,640,-3,914,-3,0,"","Allegiant Air "
"CVG",2018,7,1611,130,1827,128,0,"","Allegiant Air "
"ABE",2018,5,1351,0,1629,-8,0,"","Allegiant Air "
"TYS",2018,10,1405,8,1548,8,0,"","Allegiant Air "
"DSM",2018,9,640,-8,837,-14,0,"","Allegiant Air "
"ABE",2018,1,1646,-19,1921,-30,0,"","Allegiant Air "
"DSM",2018,11,640,-10,841,-8,0,"","Allegiant Air "
"PIT",2018,9,1656,-6,1922,-11,0,"","Allegiant Air "
"CVG",2018,6,954,44,1209,47,0,"","Allegiant Air "
"ABE",2018,8,1353,43,1628,41,0,"","Allegiant Air "
"TYS",2018,7,1300,-3,1442,-9,0,"","Allegiant Air "
"ABE",2018,11,710,-1,948,-14,0,"","Allegiant Air "
"CVG",2018,1,730,-7,948,-15,0,"","Allegiant Air "
"ABE",2018,8,720,-1,955,0,0,"","Allegiant Air "
"TYS",2018,1,1134,2,1321,-6,0,"","Allegiant Air "
"TYS",2018,9,1341,0,1525,-6,0,"","Allegiant Air "
"ABE",2018,2,650,-6,932,-2,0,"","Allegiant Air "
"ABE",2018,9,640,0,914,-3,0,"","Allegiant Air "
"ABE",2018,5,1313,15,1551,12,0,"","Allegiant Air "
"ABE",2018,5,1351,-2,1629,-12,0,"","Allegiant Air "
"ABE",2018,8,720,-6,955,-8,0,"","Allegiant Air "
"SDF",2018,7,630,-9,845,-17,0,"","Allegiant Air "
"CVG",2018,8,1758,89,2012,97,0,"","Allegiant Air "
"TYS",2018,11,931,-14,1116,-18,0,"","Allegiant Air "
"CLE",2018,6,800,-11,1027,-8,0,"","Allegiant Air "
"CLE",2018,10,1348,5,1620,-6,0,"","Allegiant Air "
"TYS",2018,2,1250,28,1438,20,0,"","Allegiant Air "
"MCI",2018,6,700,-20,850,-20,0,"","Allegiant Air "
"ABE",2018,6,720,-14,957,-28,0,"","Allegiant Air "
"ABE",2018,10,710,0,949,-7,0,"","Allegiant Air "
"MCI",2018,3,700,5,859,10,0,"","Allegiant Air "
"ABE",2018,11,740,-10,1018,-23,0,"","Allegiant Air "
"MCI",2018,2,1332,28,1535,32,0,"","Allegiant Air "
"CVG",2018,3,720,-6,940,-11,0,"","Allegiant Air "
"ABE",2018,12,720,-5,954,-23,0,"","Allegiant Air "
"TYS",2018,1,1134,-9,1321,-16,0,"","Allegiant Air "
"ABE",2018,6,830,-9,1107,-19,0,"","Allegiant Air "
"TYS",2018,10,720,-13,903,-19,0,"","Allegiant Air "
"ABE",2018,2,1642,133,1922,118,0,"","Allegiant Air "
"ABE",2018,3,700,0,942,4,0,"","Allegiant Air "
"ABE",2018,10,1312,-16,1551,-22,0,"","Allegiant Air "
"PIT",2018,4,1539,-5,1805,-10,0,"","Allegiant Air "
"ABE",2018,6,720,-12,957,-18,0,"","Allegiant Air "
"ABE",2018,7,720,0,956,3,0,"","Allegiant Air "
"ABE",2018,4,800,8,1038,16,0,"","Allegiant Air "
"CVG",2018,5,1712,5,1930,-1,0,"","Allegiant Air "
"ABE",2018,2,1642,-20,1922,-20,0,"","Allegiant Air "
"TYS",2018,5,1300,-11,1442,-10,0,"","Allegiant Air "
"CVG",2018,7,953,14,1209,6,0,"","Allegiant Air "
"PIT",2018,1,2022,-18,2249,-25,0,"","Allegiant Air "
"ABE",2018,4,810,-7,1048,-17,0,"","Allegiant Air "
"ABE",2018,12,710,36,949,12,0,"","Allegiant Air "
"CLE",2018,3,750,-1,1028,-3,0,"","Allegiant Air "
"MCI",2018,9,720,-5,907,-14,0,"","Allegiant Air "
"TYS",2018,12,1007,0,1151,-1,0,"","Allegiant Air "
"ABE",2018,2,700,-2,939,-16,0,"","Allegiant Air "
"PIT",2018,2,1926,-11,2154,-12,0,"","Allegiant Air "
"CVG",2018,7,1513,-17,1729,-8,0,"","Allegiant Air "
"TYS",2018,2,1625,-3,1809,1,0,"","Allegiant Air "
"ABE",2018,11,710,-6,946,-23,0,"","Allegiant Air "
"ABE",2018,9,640,-2,914,-9,0,"","Allegiant Air "
"ABE",2018,4,743,3,1021,13,0,"","Allegiant Air "
"ABE",2018,8,640,-4,915,-2,0,"","Allegiant Air "
