"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"CLT",2018,7,1423,-4,1540,-12,0,"","PSA Airlines Inc. "
"CLT",2018,8,727,-6,841,-22,0,"","PSA Airlines Inc. "
"CLT",2018,6,1732,52,1905,43,0,"","PSA Airlines Inc. "
"CLT",2018,9,533,-7,651,-23,0,"","PSA Airlines Inc. "
"CLT",2018,9,713,13,836,-4,0,"","PSA Airlines Inc. "
"CLT",2018,10,1248,-9,1415,-27,0,"","PSA Airlines Inc. "
"CLT",2018,6,922,-6,1039,-7,0,"","PSA Airlines Inc. "
"CLT",2018,7,1113,45,1230,40,0,"","PSA Airlines Inc. "
"CLT",2018,4,1730,1,1900,-2,0,"","PSA Airlines Inc. "
"CLT",2018,6,922,28,1039,13,0,"","PSA Airlines Inc. "
"CLT",2018,11,533,-7,651,-15,0,"","PSA Airlines Inc. "
"CLT",2018,9,1414,0,1540,-19,0,"","PSA Airlines Inc. "
"CLT",2018,8,727,-5,841,-1,0,"","PSA Airlines Inc. "
"CLT",2018,9,702,-3,825,7,0,"","PSA Airlines Inc. "
"CLT",2018,10,1248,-9,1415,-34,0,"","PSA Airlines Inc. "
"CLT",2018,7,1423,31,1540,13,0,"","PSA Airlines Inc. "
"CLT",2018,7,1423,7,1540,-11,0,"","PSA Airlines Inc. "
"CLT",2018,6,922,26,1039,14,0,"","PSA Airlines Inc. "
"CLT",2018,7,727,-6,841,16,0,"","PSA Airlines Inc. "
"CLT",2018,10,533,-1,651,-16,0,"","PSA Airlines Inc. "
"CLT",2018,5,1426,51,1552,41,0,"","PSA Airlines Inc. "
"CLT",2018,6,922,-6,1039,-16,0,"","PSA Airlines Inc. "
"CLT",2018,9,1414,17,1540,3,0,"","PSA Airlines Inc. "
"CLT",2018,7,922,-6,1039,-24,0,"","PSA Airlines Inc. "
"CLT",2018,8,1423,49,1540,49,0,"","PSA Airlines Inc. "
"CLT",2018,9,1414,NA,1540,NA,1,"Weather","PSA Airlines Inc. "
"CLT",2018,7,542,NA,651,NA,1,"Airline","PSA Airlines Inc. "
"CLT",2018,9,702,-5,825,-22,0,"","PSA Airlines Inc. "
"CLT",2018,7,542,22,651,9,0,"","PSA Airlines Inc. "
"CLT",2018,4,929,35,1050,32,0,"","PSA Airlines Inc. "
"CLT",2018,5,929,-11,1050,-12,0,"","PSA Airlines Inc. "
"CLT",2018,4,532,-10,646,-11,0,"","PSA Airlines Inc. "
"CLT",2018,7,1732,20,1855,-3,0,"","PSA Airlines Inc. "
"CLT",2018,10,533,-2,651,19,0,"","PSA Airlines Inc. "
"CLT",2018,4,929,-19,1050,NA,1,"Airline","PSA Airlines Inc. "
"CLT",2018,4,929,0,1050,17,0,"","PSA Airlines Inc. "
"CLT",2018,10,700,2,825,13,0,"","PSA Airlines Inc. "
"CLT",2018,8,1751,5,1926,22,0,"","PSA Airlines Inc. "
"CLT",2018,7,542,-3,651,-9,0,"","PSA Airlines Inc. "
"CLT",2018,10,1107,-1,1235,-19,0,"","PSA Airlines Inc. "
"CLT",2018,4,1103,86,1225,97,0,"","PSA Airlines Inc. "
"CLT",2018,8,533,-9,651,-27,0,"","PSA Airlines Inc. "
"CLT",2018,7,542,-7,651,-6,0,"","PSA Airlines Inc. "
"CLT",2018,10,533,-7,651,-18,0,"","PSA Airlines Inc. "
"CLT",2018,10,1751,-6,1925,-33,0,"","PSA Airlines Inc. "
"CLT",2018,5,1426,-1,1552,-6,0,"","PSA Airlines Inc. "
"CLT",2018,5,1738,132,1905,120,0,"","PSA Airlines Inc. "
"CLT",2018,9,1414,-6,1540,-16,0,"","PSA Airlines Inc. "
"CLT",2018,10,1751,-10,1925,-26,0,"","PSA Airlines Inc. "
"CLT",2018,8,533,-5,651,-23,0,"","PSA Airlines Inc. "
"CLT",2018,9,533,-4,651,-17,0,"","PSA Airlines Inc. "
"CLT",2018,4,1730,8,1900,4,0,"","PSA Airlines Inc. "
"CLT",2018,4,532,-7,646,-20,0,"","PSA Airlines Inc. "
"CLT",2018,6,922,-3,1039,-7,0,"","PSA Airlines Inc. "
"CLT",2018,4,532,-7,646,-26,0,"","PSA Airlines Inc. "
"CLT",2018,10,1107,-2,1235,-9,0,"","PSA Airlines Inc. "
"CLT",2018,9,533,-5,651,-22,0,"","PSA Airlines Inc. "
"CLT",2018,10,1107,-8,1235,-14,0,"","PSA Airlines Inc. "
"CLT",2018,7,1732,-6,1855,-9,0,"","PSA Airlines Inc. "
