"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,10,545,-4,732,-8,0,"","Endeavor Air Inc. "
"ATL",2018,12,1716,-6,1915,-5,0,"","Endeavor Air Inc. "
"ATL",2018,11,1716,1,1915,-16,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,5,1748,-11,0,"","Endeavor Air Inc. "
"ATL",2018,12,1714,-3,1914,8,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,-5,1748,28,0,"","Endeavor Air Inc. "
"ATL",2018,10,1155,-16,1341,-27,0,"","Endeavor Air Inc. "
"ATL",2018,10,1720,-9,1908,-1,0,"","Endeavor Air Inc. "
"ATL",2018,10,545,-1,730,2,0,"","Endeavor Air Inc. "
"ATL",2018,7,550,-4,731,11,0,"","Endeavor Air Inc. "
"ATL",2018,10,545,-3,732,-1,0,"","Endeavor Air Inc. "
"ATL",2018,10,1155,-5,1341,-9,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,265,804,247,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,144,1914,157,0,"","Endeavor Air Inc. "
"ATL",2018,5,1125,-1,1315,-5,0,"","Endeavor Air Inc. "
"ATL",2018,6,1249,1,1434,7,0,"","Endeavor Air Inc. "
"ATL",2018,11,1716,1,1915,-15,0,"","Endeavor Air Inc. "
"ATL",2018,6,1746,224,1935,261,0,"","Endeavor Air Inc. "
"ATL",2018,4,1720,11,1914,20,0,"","Endeavor Air Inc. "
"ATL",2018,8,1159,-8,1348,-7,0,"","Endeavor Air Inc. "
"ATL",2018,4,1720,-6,1914,-14,0,"","Endeavor Air Inc. "
"ATL",2018,12,1716,-1,1915,-5,0,"","Endeavor Air Inc. "
"ATL",2018,5,1125,-6,1315,-19,0,"","Endeavor Air Inc. "
"ATL",2018,11,540,100,733,100,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,31,1914,42,0,"","Endeavor Air Inc. "
"ATL",2018,10,1720,-9,1908,-6,0,"","Endeavor Air Inc. "
"ATL",2018,5,1400,-13,1547,-16,0,"","Endeavor Air Inc. "
"ATL",2018,10,545,-8,732,5,0,"","Endeavor Air Inc. "
"ATL",2018,10,1720,20,1908,18,0,"","Endeavor Air Inc. "
"ATL",2018,12,1716,-5,1915,-10,0,"","Endeavor Air Inc. "
"ATL",2018,4,1720,2,1914,5,0,"","Endeavor Air Inc. "
"ATL",2018,12,1716,-7,1915,-13,0,"","Endeavor Air Inc. "
"ATL",2018,10,1720,-5,1908,-5,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,-4,1748,3,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-8,804,-18,0,"","Endeavor Air Inc. "
"ATL",2018,12,1213,14,1413,15,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,454,1748,434,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,57,1748,45,0,"","Endeavor Air Inc. "
"ATL",2018,5,1125,16,1315,10,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-5,804,6,0,"","Endeavor Air Inc. "
"ATL",2018,5,1125,-6,1315,-13,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,-4,1748,-9,0,"","Endeavor Air Inc. "
"ATL",2018,5,1125,-6,1315,-14,0,"","Endeavor Air Inc. "
"ATL",2018,8,1559,-7,1748,-3,0,"","Endeavor Air Inc. "
"ATL",2018,8,1559,-3,1748,-18,0,"","Endeavor Air Inc. "
"ATL",2018,10,545,-6,732,-5,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,-3,1914,-2,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,-4,1914,-7,0,"","Endeavor Air Inc. "
"ATL",2018,12,1714,-4,1914,13,0,"","Endeavor Air Inc. "
"ATL",2018,8,1559,63,1748,57,0,"","Endeavor Air Inc. "
"ATL",2018,12,1213,-5,1410,-14,0,"","Endeavor Air Inc. "
"ATL",2018,12,1716,-9,1915,-3,0,"","Endeavor Air Inc. "
"ATL",2018,10,545,-7,732,27,0,"","Endeavor Air Inc. "
"ATL",2018,5,1125,-5,1315,-11,0,"","Endeavor Air Inc. "
"ATL",2018,5,1249,9,1434,10,0,"","Endeavor Air Inc. "
"ATL",2018,6,1746,-10,1935,-27,0,"","Endeavor Air Inc. "
"ATL",2018,7,550,-5,731,-3,0,"","Endeavor Air Inc. "
"ATL",2018,10,545,-4,732,-12,0,"","Endeavor Air Inc. "
"ATL",2018,10,545,1,730,6,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,3,1914,18,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-3,804,3,0,"","Endeavor Air Inc. "
"ATL",2018,10,545,-5,732,-7,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,56,1914,65,0,"","Endeavor Air Inc. "
"ATL",2018,4,1720,-6,1914,-13,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,24,1748,13,0,"","Endeavor Air Inc. "
"ATL",2018,12,1716,10,1915,8,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,-6,1914,3,0,"","Endeavor Air Inc. "
"ATL",2018,12,1213,58,1410,57,0,"","Endeavor Air Inc. "
"ATL",2018,12,600,-4,804,-10,0,"","Endeavor Air Inc. "
"ATL",2018,6,1125,-15,1315,-24,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,5,1914,28,0,"","Endeavor Air Inc. "
"ATL",2018,11,1720,-9,1914,-4,0,"","Endeavor Air Inc. "
"ATL",2018,4,1720,156,1914,169,0,"","Endeavor Air Inc. "
"ATL",2018,10,1720,-9,1908,-12,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,-3,1748,-18,0,"","Endeavor Air Inc. "
"ATL",2018,7,1200,10,1348,-3,0,"","Endeavor Air Inc. "
"ATL",2018,7,1559,-8,1748,-22,0,"","Endeavor Air Inc. "
"ATL",2018,5,1125,-6,1315,-7,0,"","Endeavor Air Inc. "
"ATL",2018,4,1720,-10,1914,-24,0,"","Endeavor Air Inc. "
