"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DTW",2018,1,1150,-5,1429,13,0,"","Endeavor Air Inc. "
"ATL",2018,1,1109,-9,1401,-19,0,"","Endeavor Air Inc. "
"ATL",2018,2,1105,20,1400,2,0,"","Endeavor Air Inc. "
"DTW",2018,2,1150,NA,1429,NA,1,"Weather","Endeavor Air Inc. "
"MSP",2018,1,620,-9,811,-38,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-5,903,-11,0,"","Endeavor Air Inc. "
"ATL",2018,3,1105,-5,1400,-12,0,"","Endeavor Air Inc. "
"ATL",2018,2,1109,20,1401,25,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-5,903,6,0,"","Endeavor Air Inc. "
"DTW",2018,2,830,-3,1107,-14,0,"","Endeavor Air Inc. "
"ATL",2018,1,1330,-4,1632,-18,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-7,905,-8,0,"","Endeavor Air Inc. "
"ATL",2018,1,1620,-7,1912,-10,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-5,903,16,0,"","Endeavor Air Inc. "
"MSP",2018,2,620,-4,811,53,0,"","Endeavor Air Inc. "
"ATL",2018,11,1125,-7,1416,-13,0,"","Endeavor Air Inc. "
"ATL",2018,2,1105,4,1400,-2,0,"","Endeavor Air Inc. "
"DTW",2018,1,630,2,916,-23,0,"","Endeavor Air Inc. "
"ATL",2018,12,1400,-4,1702,8,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,5,905,-2,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-8,905,17,0,"","Endeavor Air Inc. "
"DTW",2018,1,630,-8,916,-15,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-4,905,7,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-6,905,-21,0,"","Endeavor Air Inc. "
"ATL",2018,2,1109,-10,1401,-22,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-10,905,-3,0,"","Endeavor Air Inc. "
"DTW",2018,2,630,NA,916,NA,1,"Weather","Endeavor Air Inc. "
"ATL",2018,2,1619,-5,1914,-7,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-1,905,-4,0,"","Endeavor Air Inc. "
"MSP",2018,2,620,-6,811,9,0,"","Endeavor Air Inc. "
"ATL",2018,2,1105,NA,1400,7,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-12,905,-24,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-2,905,-11,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,NA,905,NA,1,"Weather","Endeavor Air Inc. "
"DTW",2018,2,1119,-1,1345,-15,0,"","Endeavor Air Inc. "
"ATL",2018,1,1620,NA,1912,NA,1,"National Air System","Endeavor Air Inc. "
"MSP",2018,1,620,43,811,42,0,"","Endeavor Air Inc. "
"DTW",2018,1,630,-4,916,-8,0,"","Endeavor Air Inc. "
"DTW",2018,2,1150,-4,1429,-28,0,"","Endeavor Air Inc. "
"DTW",2018,1,1150,-10,1429,-25,0,"","Endeavor Air Inc. "
"DTW",2018,2,630,-8,916,-35,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-7,905,-28,0,"","Endeavor Air Inc. "
"ATL",2018,1,1109,23,1401,49,0,"","Endeavor Air Inc. "
"ATL",2018,1,1639,9,1942,-9,0,"","Endeavor Air Inc. "
"DTW",2018,1,630,-2,916,-31,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-2,905,NA,0,"","Endeavor Air Inc. "
"ATL",2018,11,1620,-5,1913,-9,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-5,903,22,0,"","Endeavor Air Inc. "
"ATL",2018,2,1619,19,1914,1,0,"","Endeavor Air Inc. "
"DTW",2018,2,1119,12,1345,4,0,"","Endeavor Air Inc. "
"ATL",2018,2,1109,NA,1401,-10,0,"","Endeavor Air Inc. "
"ATL",2018,2,1105,-5,1400,-14,0,"","Endeavor Air Inc. "
"DTW",2018,2,630,-4,916,-23,0,"","Endeavor Air Inc. "
"DTW",2018,2,630,-5,916,-5,0,"","Endeavor Air Inc. "
"DTW",2018,2,1119,-3,1345,-11,0,"","Endeavor Air Inc. "
"ATL",2018,11,1620,26,1913,33,0,"","Endeavor Air Inc. "
"ATL",2018,12,545,-1,857,-10,0,"","Endeavor Air Inc. "
"ATL",2018,2,1350,-5,1650,-16,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,165,905,208,0,"","Endeavor Air Inc. "
"ATL",2018,2,1105,-6,1400,-19,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-6,903,-15,0,"","Endeavor Air Inc. "
"MSP",2018,1,620,-8,811,-38,0,"","Endeavor Air Inc. "
"DTW",2018,1,1150,29,1429,24,0,"","Endeavor Air Inc. "
"DTW",2018,1,1150,-14,1429,-31,0,"","Endeavor Air Inc. "
"DTW",2018,1,1150,-8,1429,-13,0,"","Endeavor Air Inc. "
"ATL",2018,1,1109,29,1401,14,0,"","Endeavor Air Inc. "
"ATL",2018,1,1620,-9,1912,-24,0,"","Endeavor Air Inc. "
"DTW",2018,3,630,-6,916,-35,0,"","Endeavor Air Inc. "
"DTW",2018,2,630,-3,916,-28,0,"","Endeavor Air Inc. "
"ATL",2018,2,1109,-9,1401,-24,0,"","Endeavor Air Inc. "
"ATL",2018,2,1619,3,1914,-8,0,"","Endeavor Air Inc. "
"ATL",2018,1,1620,-2,1912,-13,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-12,908,-14,0,"","Endeavor Air Inc. "
"ATL",2018,2,1330,-12,1632,-39,0,"","Endeavor Air Inc. "
"ATL",2018,12,1640,35,1939,78,0,"","Endeavor Air Inc. "
"ATL",2018,2,1619,-3,1914,-19,0,"","Endeavor Air Inc. "
"ATL",2018,11,1620,-3,1913,8,0,"","Endeavor Air Inc. "
"ATL",2018,11,1125,171,1416,166,0,"","Endeavor Air Inc. "
"ATL",2018,1,600,-5,903,-20,0,"","Endeavor Air Inc. "
"DTW",2018,1,630,-1,916,27,0,"","Endeavor Air Inc. "
"MSP",2018,1,620,-4,811,-28,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,-9,902,-5,0,"","Endeavor Air Inc. "
"DTW",2018,2,630,178,916,178,0,"","Endeavor Air Inc. "
"ATL",2018,2,1105,-11,1400,-24,0,"","Endeavor Air Inc. "
"ATL",2018,1,1109,-5,1401,-11,0,"","Endeavor Air Inc. "
"ATL",2018,12,1640,-3,1939,-25,0,"","Endeavor Air Inc. "
"ATL",2018,11,1620,-7,1913,-25,0,"","Endeavor Air Inc. "
"ATL",2018,2,1620,31,1912,18,0,"","Endeavor Air Inc. "
"DTW",2018,1,1150,-8,1429,-32,0,"","Endeavor Air Inc. "
"ATL",2018,2,600,-3,902,-26,0,"","Endeavor Air Inc. "
"ATL",2018,2,1109,-5,1401,-13,0,"","Endeavor Air Inc. "
"DTW",2018,1,630,-4,916,-33,0,"","Endeavor Air Inc. "
"DTW",2018,1,630,256,916,229,0,"","Endeavor Air Inc. "
"ATL",2018,11,600,262,903,253,0,"","Endeavor Air Inc. "
