"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DEN",2018,10,1350,-15,1435,5,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,620,-7,707,4,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,622,-8,709,8,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,610,-1,658,16,0,"","SkyWest Airlines Inc. "
"DEN",2018,7,1353,30,1440,39,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,620,-5,714,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,620,135,715,135,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,615,-6,703,-7,0,"","SkyWest Airlines Inc. "
"LBL",2018,10,2135,-15,2327,-20,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,615,-12,703,0,0,"","SkyWest Airlines Inc. "
"LBL",2018,8,2135,23,2327,39,0,"","SkyWest Airlines Inc. "
"LBL",2018,11,2131,50,2331,91,0,"","SkyWest Airlines Inc. "
"LBL",2018,5,2135,-16,2328,-18,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,1353,-3,1440,3,0,"","SkyWest Airlines Inc. "
"LBL",2018,4,2135,8,2328,13,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1330,-4,1418,-3,0,"","SkyWest Airlines Inc. "
"DEN",2018,1,610,-12,658,-17,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,610,-3,658,6,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,620,-10,715,1,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,620,-7,714,-2,0,"","SkyWest Airlines Inc. "
"LBL",2018,5,2135,50,2328,84,0,"","SkyWest Airlines Inc. "
"DEN",2018,2,1415,-3,1505,-2,0,"","SkyWest Airlines Inc. "
"DEN",2018,5,1353,-8,1441,-5,0,"","SkyWest Airlines Inc. "
"LBL",2018,3,2135,-15,2330,-28,0,"","SkyWest Airlines Inc. "
"DEN",2018,3,1415,-21,1503,-19,0,"","SkyWest Airlines Inc. "
"DEN",2018,11,1351,-10,1445,-9,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1353,-16,1440,-3,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,622,19,709,26,0,"","SkyWest Airlines Inc. "
"LBL",2018,5,2135,-10,2328,-22,0,"","SkyWest Airlines Inc. "
"DEN",2018,9,1353,-10,1440,-5,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,1353,0,1440,24,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1353,24,1446,68,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,622,-9,709,5,0,"","SkyWest Airlines Inc. "
"DEN",2018,10,1350,-7,1435,9,0,"","SkyWest Airlines Inc. "
"DEN",2018,8,620,-8,707,9,0,"","SkyWest Airlines Inc. "
"DEN",2018,12,1352,-7,1445,-10,0,"","SkyWest Airlines Inc. "
"DEN",2018,6,620,-10,707,-1,0,"","SkyWest Airlines Inc. "
