"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DTW",2018,9,1646,-12,1847,8,0,"","Endeavor Air Inc. "
"DTW",2018,11,1715,-12,1916,-8,0,"","Endeavor Air Inc. "
"DTW",2018,10,1232,-8,1438,-14,0,"","Endeavor Air Inc. "
"DTW",2018,11,1700,-3,1906,-4,0,"","Endeavor Air Inc. "
"DTW",2018,11,530,-6,750,1,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,-4,1647,-20,0,"","Endeavor Air Inc. "
"DTW",2018,11,1700,-7,1906,5,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-5,1847,-11,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,-8,1647,-31,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-9,1847,-4,0,"","Endeavor Air Inc. "
"DTW",2018,11,1700,-10,1906,2,0,"","Endeavor Air Inc. "
"DTW",2018,11,1234,-9,1438,-6,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-9,1849,-12,0,"","Endeavor Air Inc. "
"DTW",2018,10,1232,-11,1438,-3,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,11,1647,-1,0,"","Endeavor Air Inc. "
"DTW",2018,10,1232,-1,1438,3,0,"","Endeavor Air Inc. "
"DTW",2018,7,1700,-6,1904,-7,0,"","Endeavor Air Inc. "
"DTW",2018,8,1700,6,1859,NA,0,"","Endeavor Air Inc. "
"DTW",2018,6,1701,-1,1903,-19,0,"","Endeavor Air Inc. "
"DTW",2018,10,1630,-7,1834,-7,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-4,1849,-7,0,"","Endeavor Air Inc. "
"DTW",2018,11,1700,-4,1906,5,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-9,1849,-5,0,"","Endeavor Air Inc. "
"DTW",2018,11,1700,-10,1906,-9,0,"","Endeavor Air Inc. "
"DTW",2018,11,530,-4,750,0,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-1,1847,-6,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-9,1849,0,0,"","Endeavor Air Inc. "
"DTW",2018,10,1232,-12,1438,-11,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,-5,1647,-23,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,-7,1647,-19,0,"","Endeavor Air Inc. "
"DTW",2018,10,1232,-10,1438,-22,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-6,1849,-10,0,"","Endeavor Air Inc. "
"DTW",2018,7,1700,-6,1904,-9,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,-4,1647,-15,0,"","Endeavor Air Inc. "
"DTW",2018,11,1700,-8,1906,-6,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,51,1647,42,0,"","Endeavor Air Inc. "
"DTW",2018,10,1232,-5,1438,-6,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,NA,1647,-16,0,"","Endeavor Air Inc. "
"DTW",2018,9,1646,-5,1849,-19,0,"","Endeavor Air Inc. "
"DTW",2018,11,1700,-8,1906,-5,0,"","Endeavor Air Inc. "
"DTW",2018,6,1440,-10,1647,-22,0,"","Endeavor Air Inc. "
"DTW",2018,10,1232,-10,1438,-10,0,"","Endeavor Air Inc. "
