"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DFW",2018,2,635,-10,741,-13,0,"","Envoy Air "
"DFW",2018,11,1043,340,1149,340,0,"","Envoy Air "
"DFW",2018,1,635,-5,741,-6,0,"","Envoy Air "
"DFW",2018,11,508,-6,612,-18,0,"","Envoy Air "
"DFW",2018,10,1038,-18,1150,-10,0,"","Envoy Air "
"DFW",2018,5,1818,-8,1929,-20,0,"","Envoy Air "
"DFW",2018,4,1035,-12,1141,-11,0,"","Envoy Air "
"DFW",2018,8,1430,-7,1545,-24,0,"","Envoy Air "
"DFW",2018,5,1426,6,1535,3,0,"","Envoy Air "
"DFW",2018,4,630,0,737,8,0,"","Envoy Air "
"DFW",2018,3,1808,-5,1917,-15,0,"","Envoy Air "
"DFW",2018,11,1436,-5,1544,-16,0,"","Envoy Air "
"DFW",2018,1,1621,0,1724,19,0,"","Envoy Air "
"DFW",2018,3,1026,-7,1133,-10,0,"","Envoy Air "
"DFW",2018,7,1812,NA,1924,NA,1,"Weather","Envoy Air "
"DFW",2018,6,1817,-12,1930,-17,0,"","Envoy Air "
"DFW",2018,7,1812,-1,1924,-11,0,"","Envoy Air "
"DFW",2018,10,1434,-12,1544,-12,0,"","Envoy Air "
"DFW",2018,7,1812,-9,1924,-16,0,"","Envoy Air "
"DFW",2018,9,1038,-13,1150,-16,0,"","Envoy Air "
"DFW",2018,4,1817,59,1928,NA,1,"Weather","Envoy Air "
"DFW",2018,11,503,-13,610,-17,0,"","Envoy Air "
"DFW",2018,11,503,-9,610,-14,0,"","Envoy Air "
"DFW",2018,1,1621,2,1724,10,0,"","Envoy Air "
"DFW",2018,6,1029,-4,1145,-4,0,"","Envoy Air "
"DFW",2018,7,1030,-12,1145,-20,0,"","Envoy Air "
"DFW",2018,1,635,-6,741,-14,0,"","Envoy Air "
"DFW",2018,6,1817,56,1930,39,0,"","Envoy Air "
"DFW",2018,10,1038,-8,1150,-3,0,"","Envoy Air "
"DFW",2018,2,1026,95,1133,101,0,"","Envoy Air "
"DFW",2018,8,1430,13,1545,-1,0,"","Envoy Air "
"DFW",2018,5,1817,-9,1928,-24,0,"","Envoy Air "
"DFW",2018,8,1812,9,1924,1,0,"","Envoy Air "
"DFW",2018,5,630,-12,737,-21,0,"","Envoy Air "
"DFW",2018,7,1420,-7,1534,-20,0,"","Envoy Air "
"DFW",2018,7,1812,NA,1924,NA,1,"Airline","Envoy Air "
"DFW",2018,2,1808,15,1917,25,0,"","Envoy Air "
"DFW",2018,5,1818,17,1929,10,0,"","Envoy Air "
"DFW",2018,1,635,0,741,7,0,"","Envoy Air "
"DFW",2018,10,1813,29,1924,27,0,"","Envoy Air "
"DFW",2018,5,1818,1,1929,-8,0,"","Envoy Air "
"DFW",2018,9,506,-11,612,-2,0,"","Envoy Air "
"DFW",2018,6,630,-9,737,-15,0,"","Envoy Air "
"DFW",2018,8,1029,-11,1145,-27,0,"","Envoy Air "
"DFW",2018,7,1812,11,1924,1,0,"","Envoy Air "
"DFW",2018,5,1818,-11,1929,-25,0,"","Envoy Air "
"DFW",2018,10,1434,-8,1544,-22,0,"","Envoy Air "
"DFW",2018,9,1434,-7,1544,-18,0,"","Envoy Air "
"DFW",2018,9,1434,16,1544,15,0,"","Envoy Air "
"DFW",2018,1,1026,6,1133,6,0,"","Envoy Air "
"DFW",2018,9,1038,-21,1150,-24,0,"","Envoy Air "
"DFW",2018,11,1436,37,1544,29,0,"","Envoy Air "
"DFW",2018,2,1808,-8,1917,-21,0,"","Envoy Air "
