"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"GUM",2018,10,455,-16,541,-26,0,"","United Air Lines Inc. "
"GUM",2018,8,845,110,930,112,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-14,955,-10,0,"","United Air Lines Inc. "
"GUM",2018,10,845,3,930,2,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-5,955,2,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-1,930,-3,0,"","United Air Lines Inc. "
"GUM",2018,12,915,24,955,26,0,"","United Air Lines Inc. "
"GUM",2018,9,455,-19,541,-24,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-7,930,-15,0,"","United Air Lines Inc. "
"GUM",2018,8,455,-10,543,-16,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-3,930,-11,0,"","United Air Lines Inc. "
"GUM",2018,6,845,5,930,11,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-2,955,-3,0,"","United Air Lines Inc. "
"GUM",2018,7,845,19,930,17,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-14,930,-18,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-11,930,-11,0,"","United Air Lines Inc. "
"GUM",2018,11,915,77,955,73,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-12,955,-13,0,"","United Air Lines Inc. "
"GUM",2018,6,845,14,930,10,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-8,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-9,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-8,955,-9,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-19,955,-21,0,"","United Air Lines Inc. "
"GUM",2018,12,915,43,955,50,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-3,930,-15,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-9,955,-10,0,"","United Air Lines Inc. "
"GUM",2018,12,1645,-13,1725,-12,0,"","United Air Lines Inc. "
"GUM",2018,8,845,9,930,6,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-21,930,-24,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-19,930,-23,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-13,930,-16,0,"","United Air Lines Inc. "
"GUM",2018,9,455,-8,541,-12,0,"","United Air Lines Inc. "
"GUM",2018,8,455,-6,543,-9,0,"","United Air Lines Inc. "
"GUM",2018,9,455,-18,541,-19,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-12,930,-18,0,"","United Air Lines Inc. "
"GUM",2018,11,1825,-112,1905,-108,0,"","United Air Lines Inc. "
"GUM",2018,10,915,3,955,11,0,"","United Air Lines Inc. "
"GUM",2018,7,845,NA,930,NA,1,"Airline","United Air Lines Inc. "
"GUM",2018,8,845,-5,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,11,915,15,955,14,0,"","United Air Lines Inc. "
"GUM",2018,9,845,438,930,436,0,"","United Air Lines Inc. "
"GUM",2018,6,845,-2,930,-12,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-10,930,-17,0,"","United Air Lines Inc. "
"GUM",2018,8,455,-20,543,-31,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-7,930,-8,0,"","United Air Lines Inc. "
"GUM",2018,6,845,4,930,-2,0,"","United Air Lines Inc. "
"GUM",2018,11,915,141,955,146,0,"","United Air Lines Inc. "
"GUM",2018,10,455,-14,541,-14,0,"","United Air Lines Inc. "
"GUM",2018,7,845,0,930,-10,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-13,930,-24,0,"","United Air Lines Inc. "
"GUM",2018,6,845,-8,930,-14,0,"","United Air Lines Inc. "
"GUM",2018,6,845,-1,930,8,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-15,955,-14,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-10,930,-3,0,"","United Air Lines Inc. "
"GUM",2018,11,915,3,955,5,0,"","United Air Lines Inc. "
"GUM",2018,9,845,8,930,9,0,"","United Air Lines Inc. "
"GUM",2018,8,845,222,930,219,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-4,930,-7,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-7,930,-8,0,"","United Air Lines Inc. "
"GUM",2018,6,845,-3,930,-8,0,"","United Air Lines Inc. "
"GUM",2018,10,455,-13,541,-9,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-11,930,-19,0,"","United Air Lines Inc. "
"GUM",2018,6,845,55,930,52,0,"","United Air Lines Inc. "
"GUM",2018,7,845,13,930,8,0,"","United Air Lines Inc. "
"GUM",2018,8,455,-22,543,-29,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-2,955,-2,0,"","United Air Lines Inc. "
"GUM",2018,12,915,18,955,12,0,"","United Air Lines Inc. "
"GUM",2018,11,915,38,955,50,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-1,930,1,0,"","United Air Lines Inc. "
"GUM",2018,8,845,53,930,44,0,"","United Air Lines Inc. "
"GUM",2018,11,915,8,955,4,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-10,930,-15,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-6,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-20,930,-17,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-7,955,-6,0,"","United Air Lines Inc. "
"GUM",2018,6,845,17,930,8,0,"","United Air Lines Inc. "
"GUM",2018,8,845,1,930,-9,0,"","United Air Lines Inc. "
"GUM",2018,6,845,50,930,41,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-5,930,-12,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-8,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-3,955,-3,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-13,930,-19,0,"","United Air Lines Inc. "
"GUM",2018,10,845,NA,930,NA,1,"Airline","United Air Lines Inc. "
"GUM",2018,8,845,-1,930,-3,0,"","United Air Lines Inc. "
"GUM",2018,10,845,4,930,1,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-8,930,-17,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-4,955,-5,0,"","United Air Lines Inc. "
"GUM",2018,9,845,NA,930,NA,1,"Weather","United Air Lines Inc. "
"GUM",2018,12,915,-6,955,-7,0,"","United Air Lines Inc. "
"GUM",2018,6,845,0,930,-1,0,"","United Air Lines Inc. "
"GUM",2018,12,915,22,955,19,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-4,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,12,915,4,955,12,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-6,930,-7,0,"","United Air Lines Inc. "
"GUM",2018,10,915,24,955,26,0,"","United Air Lines Inc. "
"GUM",2018,7,845,14,930,7,0,"","United Air Lines Inc. "
"GUM",2018,11,1825,-47,1905,-52,0,"","United Air Lines Inc. "
"GUM",2018,6,845,15,930,4,0,"","United Air Lines Inc. "
"GUM",2018,10,845,NA,930,NA,1,"National Air System","United Air Lines Inc. "
"GUM",2018,12,915,18,955,20,0,"","United Air Lines Inc. "
"GUM",2018,12,915,66,955,60,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-9,930,-17,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-11,955,-14,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-13,955,-16,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-11,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,8,455,-9,543,-15,0,"","United Air Lines Inc. "
"GUM",2018,12,915,0,955,0,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-8,930,-16,0,"","United Air Lines Inc. "
"GUM",2018,12,1645,-7,1725,-8,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-1,930,-11,0,"","United Air Lines Inc. "
"GUM",2018,8,845,20,930,19,0,"","United Air Lines Inc. "
"GUM",2018,11,1825,-122,1905,-120,0,"","United Air Lines Inc. "
"GUM",2018,6,845,-6,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-12,930,-19,0,"","United Air Lines Inc. "
"GUM",2018,8,845,12,930,14,0,"","United Air Lines Inc. "
"GUM",2018,6,845,-12,930,-20,0,"","United Air Lines Inc. "
"GUM",2018,11,915,5,955,2,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-1,930,2,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-8,930,-2,0,"","United Air Lines Inc. "
"GUM",2018,7,515,26,600,27,0,"","United Air Lines Inc. "
"GUM",2018,8,455,-17,543,-18,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-5,955,-5,0,"","United Air Lines Inc. "
"GUM",2018,6,845,-1,930,0,0,"","United Air Lines Inc. "
"GUM",2018,11,915,7,955,4,0,"","United Air Lines Inc. "
"GUM",2018,11,915,7,955,5,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-14,930,-23,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-14,955,-14,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-4,955,6,0,"","United Air Lines Inc. "
"GUM",2018,9,455,-15,541,-17,0,"","United Air Lines Inc. "
"GUM",2018,7,845,33,930,25,0,"","United Air Lines Inc. "
"GUM",2018,6,845,23,930,45,0,"","United Air Lines Inc. "
"GUM",2018,7,845,-7,930,-9,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-11,930,-15,0,"","United Air Lines Inc. "
"GUM",2018,7,845,1,930,-3,0,"","United Air Lines Inc. "
"GUM",2018,11,1645,-1,1725,14,0,"","United Air Lines Inc. "
"GUM",2018,7,845,24,930,16,0,"","United Air Lines Inc. "
"GUM",2018,6,845,-11,930,-23,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-9,955,-12,0,"","United Air Lines Inc. "
"GUM",2018,11,1645,-2,1725,-3,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-14,930,-21,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-11,930,-13,0,"","United Air Lines Inc. "
"GUM",2018,8,845,76,930,77,0,"","United Air Lines Inc. "
"GUM",2018,12,1645,24,1725,23,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-10,930,-17,0,"","United Air Lines Inc. "
"GUM",2018,9,455,-14,541,-24,0,"","United Air Lines Inc. "
"GUM",2018,11,1645,-14,1725,-13,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-17,930,-18,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-7,930,-4,0,"","United Air Lines Inc. "
"GUM",2018,12,915,-7,955,-5,0,"","United Air Lines Inc. "
"GUM",2018,6,845,0,930,0,0,"","United Air Lines Inc. "
"GUM",2018,8,515,-12,600,-12,0,"","United Air Lines Inc. "
"GUM",2018,11,1645,-28,1725,-23,0,"","United Air Lines Inc. "
"GUM",2018,11,915,3,955,4,0,"","United Air Lines Inc. "
"GUM",2018,6,845,0,930,-4,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-17,930,-17,0,"","United Air Lines Inc. "
"GUM",2018,12,1645,15,1725,9,0,"","United Air Lines Inc. "
"GUM",2018,10,845,-20,930,-20,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-15,930,-17,0,"","United Air Lines Inc. "
"GUM",2018,12,1645,3,1725,5,0,"","United Air Lines Inc. "
"GUM",2018,12,915,2,955,0,0,"","United Air Lines Inc. "
"GUM",2018,9,845,13,930,6,0,"","United Air Lines Inc. "
"GUM",2018,11,915,-14,955,-15,0,"","United Air Lines Inc. "
"GUM",2018,8,845,-4,930,-4,0,"","United Air Lines Inc. "
"GUM",2018,9,845,5,930,-1,0,"","United Air Lines Inc. "
"GUM",2018,9,845,-18,930,-19,0,"","United Air Lines Inc. "
"GUM",2018,11,1645,-17,1725,-23,0,"","United Air Lines Inc. "
"GUM",2018,11,915,13,955,20,0,"","United Air Lines Inc. "
"GUM",2018,10,845,14,930,12,0,"","United Air Lines Inc. "
"GUM",2018,6,845,17,930,22,0,"","United Air Lines Inc. "
"GUM",2018,6,845,5,930,-5,0,"","United Air Lines Inc. "
"GUM",2018,10,455,-8,541,-14,0,"","United Air Lines Inc. "
"GUM",2018,9,455,-9,541,-7,0,"","United Air Lines Inc. "
