"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"DFW",2018,8,633,-7,739,-22,0,"","Envoy Air "
"DFW",2018,12,630,17,742,11,0,"","Envoy Air "
"DFW",2018,8,635,-10,742,-17,0,"","Envoy Air "
"DFW",2018,5,1422,-9,1529,-19,0,"","Envoy Air "
"DFW",2018,12,605,-4,718,-1,0,"","Envoy Air "
"DFW",2018,4,1420,-6,1527,1,0,"","Envoy Air "
"DFW",2018,9,627,-8,742,-20,0,"","Envoy Air "
"DFW",2018,8,1423,-9,1529,-6,0,"","Envoy Air "
"DFW",2018,1,1245,2,1354,-9,0,"","Envoy Air "
"DFW",2018,6,633,-5,742,-9,0,"","Envoy Air "
"DFW",2018,3,630,-3,745,-10,0,"","Envoy Air "
"DFW",2018,10,627,-10,742,-26,0,"","Envoy Air "
"DFW",2018,1,1245,-4,1354,-16,0,"","Envoy Air "
"DFW",2018,1,630,-9,745,-18,0,"","Envoy Air "
"DFW",2018,8,2001,-3,2109,1,0,"","Envoy Air "
"DFW",2018,6,633,-6,742,-18,0,"","Envoy Air "
"DFW",2018,6,633,-10,742,-8,0,"","Envoy Air "
"DFW",2018,11,629,243,742,235,0,"","Envoy Air "
"DFW",2018,9,1823,-9,1934,-14,0,"","Envoy Air "
"DFW",2018,2,1245,5,1354,-1,0,"","Envoy Air "
"DFW",2018,12,1152,-3,1304,-21,0,"","Envoy Air "
"DFW",2018,2,630,54,745,61,0,"","Envoy Air "
"DFW",2018,7,633,-7,739,-14,0,"","Envoy Air "
"DFW",2018,3,1245,-9,1354,-19,0,"","Envoy Air "
"DFW",2018,5,638,5,749,1,0,"","Envoy Air "
"DFW",2018,9,1423,NA,1529,NA,1,"Airline","Envoy Air "
"DFW",2018,9,1423,-11,1529,-16,0,"","Envoy Air "
"DFW",2018,7,1421,-8,1530,-19,0,"","Envoy Air "
"DFW",2018,10,1823,58,1934,50,0,"","Envoy Air "
"DFW",2018,12,1822,18,1934,19,0,"","Envoy Air "
"DFW",2018,5,1422,-13,1529,-22,0,"","Envoy Air "
"DFW",2018,4,625,-9,736,-11,0,"","Envoy Air "
"DFW",2018,8,1422,54,1529,56,0,"","Envoy Air "
"DFW",2018,3,1245,-7,1354,-17,0,"","Envoy Air "
"DFW",2018,11,1424,-4,1529,1,0,"","Envoy Air "
"DFW",2018,11,629,-12,742,-25,0,"","Envoy Air "
"DFW",2018,6,2005,NA,2115,NA,1,"National Air System","Envoy Air "
"DFW",2018,8,1422,91,1529,96,0,"","Envoy Air "
"DFW",2018,4,625,-1,736,27,0,"","Envoy Air "
"DFW",2018,4,1420,69,1527,72,0,"","Envoy Air "
"DFW",2018,4,1420,NA,1527,NA,1,"Airline","Envoy Air "
"DFW",2018,2,1245,-4,1354,-1,0,"","Envoy Air "
"DFW",2018,6,1421,2,1530,-5,0,"","Envoy Air "
"DFW",2018,9,1423,-8,1529,-20,0,"","Envoy Air "
"DFW",2018,10,1423,-14,1529,-25,0,"","Envoy Air "
"DFW",2018,11,1424,-2,1529,-1,0,"","Envoy Air "
"DFW",2018,8,1423,-11,1529,-15,0,"","Envoy Air "
"DFW",2018,8,2008,-12,2115,-17,0,"","Envoy Air "
"DFW",2018,3,630,-2,745,-13,0,"","Envoy Air "
"DFW",2018,12,630,-12,742,-19,0,"","Envoy Air "
"DFW",2018,5,638,-5,749,17,0,"","Envoy Air "
"DFW",2018,7,1424,35,1530,31,0,"","Envoy Air "
"DFW",2018,10,1423,-8,1529,-7,0,"","Envoy Air "
"DFW",2018,11,1425,-2,1529,4,0,"","Envoy Air "
"DFW",2018,8,627,-9,742,-29,0,"","Envoy Air "
"DFW",2018,10,1423,30,1529,57,0,"","Envoy Air "
"DFW",2018,1,630,-8,745,-24,0,"","Envoy Air "
