"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ATL",2018,12,1030,-4,1327,1,0,"","Endeavor Air Inc. "
"ATL",2018,7,1002,15,1303,3,0,"","Endeavor Air Inc. "
"ATL",2018,12,1247,0,1545,-10,0,"","Endeavor Air Inc. "
"ATL",2018,12,1843,-1,2145,-7,0,"","Endeavor Air Inc. "
"ATL",2018,10,1845,4,2139,-3,0,"","Endeavor Air Inc. "
"ATL",2018,12,1033,-9,1328,-17,0,"","Endeavor Air Inc. "
"ATL",2018,10,1010,-9,1305,-19,0,"","Endeavor Air Inc. "
"ATL",2018,8,1003,-10,1304,-10,0,"","Endeavor Air Inc. "
"ATL",2018,9,959,-9,1255,-13,0,"","Endeavor Air Inc. "
"ATL",2018,10,1010,-10,1305,-22,0,"","Endeavor Air Inc. "
"ATL",2018,9,1232,-13,1529,-15,0,"","Endeavor Air Inc. "
"ATL",2018,11,1849,44,2144,40,0,"","Endeavor Air Inc. "
"ATL",2018,11,1010,11,1305,7,0,"","Endeavor Air Inc. "
"ATL",2018,11,1010,45,1305,38,0,"","Endeavor Air Inc. "
"ATL",2018,9,1835,-3,2132,-7,0,"","Endeavor Air Inc. "
"ATL",2018,9,1835,6,2132,-4,0,"","Endeavor Air Inc. "
"ATL",2018,10,1845,30,2139,21,0,"","Endeavor Air Inc. "
"ATL",2018,9,1835,-10,2132,-15,0,"","Endeavor Air Inc. "
"ATL",2018,10,1010,-10,1305,-10,0,"","Endeavor Air Inc. "
"ATL",2018,11,1849,-5,2144,11,0,"","Endeavor Air Inc. "
"ATL",2018,12,1008,-11,1305,-14,0,"","Endeavor Air Inc. "
"ATL",2018,9,1835,-9,2132,-12,0,"","Endeavor Air Inc. "
"ATL",2018,9,1600,-6,1859,-13,0,"","Endeavor Air Inc. "
"ATL",2018,9,959,-9,1255,1,0,"","Endeavor Air Inc. "
"ATL",2018,9,608,-10,913,-16,0,"","Endeavor Air Inc. "
"ATL",2018,12,1616,-8,1915,-11,0,"","Endeavor Air Inc. "
"ATL",2018,12,1008,-6,1305,-11,0,"","Endeavor Air Inc. "
"ATL",2018,12,1616,-10,1915,-5,0,"","Endeavor Air Inc. "
"ATL",2018,9,1606,-6,1907,-8,0,"","Endeavor Air Inc. "
"ATL",2018,10,1010,-9,1305,-16,0,"","Endeavor Air Inc. "
"ATL",2018,7,1840,13,2143,7,0,"","Endeavor Air Inc. "
"ATL",2018,8,1002,4,1300,-2,0,"","Endeavor Air Inc. "
"ATL",2018,9,959,-8,1255,-6,0,"","Endeavor Air Inc. "
"ATL",2018,8,1003,185,1304,178,0,"","Endeavor Air Inc. "
"ATL",2018,12,1008,-5,1305,-12,0,"","Endeavor Air Inc. "
"ATL",2018,8,1840,-11,2143,-19,0,"","Endeavor Air Inc. "
"ATL",2018,8,1002,39,1300,42,0,"","Endeavor Air Inc. "
"ATL",2018,10,1845,38,2139,27,0,"","Endeavor Air Inc. "
"ATL",2018,8,1840,-13,2143,NA,0,"","Endeavor Air Inc. "
"ATL",2018,12,1815,-9,2117,-17,0,"","Endeavor Air Inc. "
"ATL",2018,9,959,-9,1255,-12,0,"","Endeavor Air Inc. "
"ATL",2018,10,1845,1,2139,2,0,"","Endeavor Air Inc. "
"ATL",2018,8,1003,-5,1304,-15,0,"","Endeavor Air Inc. "
"ATL",2018,7,1840,-5,2143,-9,0,"","Endeavor Air Inc. "
"ATL",2018,12,1247,64,1545,46,0,"","Endeavor Air Inc. "
"ATL",2018,8,1840,-7,2143,-9,0,"","Endeavor Air Inc. "
"ATL",2018,10,1010,-1,1305,-11,0,"","Endeavor Air Inc. "
"ATL",2018,11,1010,-3,1305,-7,0,"","Endeavor Air Inc. "
"ATL",2018,7,1840,-2,2143,-7,0,"","Endeavor Air Inc. "
"ATL",2018,8,1003,-6,1304,-3,0,"","Endeavor Air Inc. "
"ATL",2018,9,959,-8,1255,-10,0,"","Endeavor Air Inc. "
"ATL",2018,7,1840,-9,2143,-5,0,"","Endeavor Air Inc. "
"ATL",2018,7,1840,-2,2143,-18,0,"","Endeavor Air Inc. "
"ATL",2018,8,1002,-8,1303,-8,0,"","Endeavor Air Inc. "
"ATL",2018,8,1002,1,1303,-2,0,"","Endeavor Air Inc. "
"ATL",2018,11,1010,-6,1305,-14,0,"","Endeavor Air Inc. "
"ATL",2018,11,1010,-3,1305,-10,0,"","Endeavor Air Inc. "
"ATL",2018,9,1835,-10,2132,-13,0,"","Endeavor Air Inc. "
"ATL",2018,11,1849,-9,2144,-17,0,"","Endeavor Air Inc. "
"ATL",2018,11,1239,-8,1534,-11,0,"","Endeavor Air Inc. "
"ATL",2018,11,1008,-7,1305,-18,0,"","Endeavor Air Inc. "
"ATL",2018,11,1849,-8,2144,-12,0,"","Endeavor Air Inc. "
"ATL",2018,9,1835,-4,2132,-4,0,"","Endeavor Air Inc. "
"ATL",2018,8,1840,30,2143,98,0,"","Endeavor Air Inc. "
"ATL",2018,8,1840,13,2143,14,0,"","Endeavor Air Inc. "
"ATL",2018,12,1815,-8,2117,-2,0,"","Endeavor Air Inc. "
"ATL",2018,8,1840,-7,2143,-3,0,"","Endeavor Air Inc. "
"ATL",2018,12,1815,-5,2117,0,0,"","Endeavor Air Inc. "
"ATL",2018,12,1843,-3,2145,4,0,"","Endeavor Air Inc. "
"ATL",2018,12,1242,-5,1539,-15,0,"","Endeavor Air Inc. "
"ATL",2018,12,1843,37,2145,24,0,"","Endeavor Air Inc. "
