"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"SLC",2018,11,630,-5,730,NA,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,700,26,755,32,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,630,-10,730,-28,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,630,-12,730,-27,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1505,-15,1605,-27,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,630,-7,730,-29,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1220,34,1312,41,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1220,-2,1312,3,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,1820,-4,1920,-15,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,630,-6,730,-28,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1229,132,1326,121,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1239,-4,1336,-16,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1820,-3,1917,2,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1505,-11,1605,-19,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1220,-8,1312,-2,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1220,-9,1312,-6,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1505,-14,1605,-17,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1505,-10,1605,-29,0,"","SkyWest Airlines Inc. "
"SLC",2018,9,630,-5,730,-27,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1505,-12,1605,-13,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,630,-11,730,-31,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1820,-9,1920,-10,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,630,-12,730,-30,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1820,139,1917,144,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,1505,-6,1605,-12,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1242,22,1342,14,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1820,-2,1920,-11,0,"","SkyWest Airlines Inc. "
"SLC",2018,7,1505,-5,1605,-9,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1229,-6,1326,-5,0,"","SkyWest Airlines Inc. "
"SFO",2018,2,1350,45,1501,19,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,630,-10,730,-10,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1303,-15,1414,-31,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1820,-11,1917,-23,0,"","SkyWest Airlines Inc. "
"SLC",2018,5,1505,-11,1605,-23,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,630,-12,730,-30,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1820,-7,1920,-19,0,"","SkyWest Airlines Inc. "
"SLC",2018,1,1820,-9,1920,-14,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1834,-9,1934,37,0,"","SkyWest Airlines Inc. "
"SLC",2018,2,1217,-4,1310,-13,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,630,-12,730,-26,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1505,-6,1605,-8,0,"","SkyWest Airlines Inc. "
"SLC",2018,3,1220,-4,1312,-4,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1229,-12,1326,-18,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,630,-10,730,-5,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,1820,-12,1920,-27,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1834,-9,1934,25,0,"","SkyWest Airlines Inc. "
"SLC",2018,4,1820,-8,1920,-18,0,"","SkyWest Airlines Inc. "
"SLC",2018,8,1220,0,1312,3,0,"","SkyWest Airlines Inc. "
"SLC",2018,10,630,-4,730,-22,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,1220,-8,1312,-1,0,"","SkyWest Airlines Inc. "
"SLC",2018,12,1834,-15,1934,6,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,630,32,730,12,0,"","SkyWest Airlines Inc. "
"SLC",2018,11,1835,-14,1935,-19,0,"","SkyWest Airlines Inc. "
"SLC",2018,6,1505,-15,1605,-26,0,"","SkyWest Airlines Inc. "
