"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"ORD",2018,11,1720,-8,1841,14,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,805,-16,919,-4,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,755,-3,907,12,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,805,207,920,195,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1835,103,1947,90,0,"","SkyWest Airlines Inc. "
"CGI",2018,3,2150,-27,2248,-31,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,805,NA,916,NA,1,"National Air System","SkyWest Airlines Inc. "
"ORD",2018,9,1712,-14,1826,-10,0,"","SkyWest Airlines Inc. "
"CGI",2018,8,2225,-41,2322,-46,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,805,-12,916,-21,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,805,-8,919,1,0,"","SkyWest Airlines Inc. "
"CGI",2018,3,2150,-17,2248,-11,0,"","SkyWest Airlines Inc. "
"CGI",2018,1,2200,-26,2258,-30,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,755,-5,916,-11,0,"","SkyWest Airlines Inc. "
"CGI",2018,1,2200,-21,2258,-29,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,805,-14,917,0,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1712,18,1826,9,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1712,145,1826,142,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1835,-10,1947,0,0,"","SkyWest Airlines Inc. "
"CGI",2018,5,2150,-24,2248,-25,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1720,-5,1841,-14,0,"","SkyWest Airlines Inc. "
"CGI",2018,8,2218,-36,2315,-45,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1728,-1,1850,-8,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,805,-14,919,-6,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1835,-4,1947,-11,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1725,-8,1837,-16,0,"","SkyWest Airlines Inc. "
"ORD",2018,5,805,-12,920,-27,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,754,-15,915,-9,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1720,108,1841,95,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,805,-7,917,-4,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1712,-1,1826,-6,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1725,-2,1837,8,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,805,-10,916,4,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,805,-10,919,-4,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,805,-7,917,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1720,55,1841,44,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1727,163,1841,158,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,1800,-8,1912,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,1720,-16,1841,-17,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,755,6,907,15,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1835,49,1947,38,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,1725,6,1837,8,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1823,-13,1935,17,0,"","SkyWest Airlines Inc. "
"CGI",2018,7,2218,3,2315,-4,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1720,-1,1841,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1727,-2,1841,-17,0,"","SkyWest Airlines Inc. "
"ORD",2018,7,1727,-6,1841,-8,0,"","SkyWest Airlines Inc. "
"CGI",2018,11,2215,21,2312,17,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1712,-4,1826,-5,0,"","SkyWest Airlines Inc. "
"ORD",2018,11,1720,-7,1841,-9,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,1835,-11,1947,-6,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,805,-12,919,41,0,"","SkyWest Airlines Inc. "
"ORD",2018,12,1720,-11,1842,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,4,1725,-7,1837,13,0,"","SkyWest Airlines Inc. "
"ORD",2018,10,805,-16,916,-7,0,"","SkyWest Airlines Inc. "
"ORD",2018,9,1712,-9,1826,1,0,"","SkyWest Airlines Inc. "
"ORD",2018,2,755,-13,907,-25,0,"","SkyWest Airlines Inc. "
"ORD",2018,3,805,-4,917,-10,0,"","SkyWest Airlines Inc. "
"CGI",2018,2,2200,-10,2258,-12,0,"","SkyWest Airlines Inc. "
"ORD",2018,1,808,94,920,91,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,805,-16,919,-12,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,805,-16,919,-3,0,"","SkyWest Airlines Inc. "
"CGI",2018,3,2150,-7,2248,5,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,805,-18,916,-8,0,"","SkyWest Airlines Inc. "
"CGI",2018,2,2150,-13,2248,-13,0,"","SkyWest Airlines Inc. "
"ORD",2018,8,1712,53,1826,53,0,"","SkyWest Airlines Inc. "
"CGI",2018,4,2150,-18,2248,-20,0,"","SkyWest Airlines Inc. "
"ORD",2018,6,1726,10,1841,9,0,"","SkyWest Airlines Inc. "
