"Destination","Year","Month","Scheduled Departure Time","Departure Delay Time (mins)","Scheduled Arrival Time","Arrival Delay Time (mins)","Flight Cancellation","Cancellation Reason","Airline"
"LGA",2018,7,1710,NA,2115,NA,1,"National Air System","Endeavor Air Inc. "
"ATL",2018,3,1516,-7,1759,-18,0,"","Endeavor Air Inc. "
"ATL",2018,11,1151,-4,1442,-20,0,"","Endeavor Air Inc. "
"ATL",2018,11,1151,-8,1442,-23,0,"","Endeavor Air Inc. "
"MSP",2018,12,1640,-1,1849,-20,0,"","Endeavor Air Inc. "
"ATL",2018,11,1846,-5,2130,-9,0,"","Endeavor Air Inc. "
"ATL",2018,11,1007,-4,1258,-7,0,"","Endeavor Air Inc. "
"ATL",2018,10,1535,67,1820,60,0,"","Endeavor Air Inc. "
"ATL",2018,12,1151,34,1442,36,0,"","Endeavor Air Inc. "
"ATL",2018,5,1625,-5,1915,NA,0,"","Endeavor Air Inc. "
"ATL",2018,1,1530,1029,1817,1016,0,"","Endeavor Air Inc. "
"ATL",2018,4,1850,-11,2139,-24,0,"","Endeavor Air Inc. "
"MSP",2018,9,1654,-8,1855,-25,0,"","Endeavor Air Inc. "
"LGA",2018,6,1700,24,2108,16,0,"","Endeavor Air Inc. "
"ATL",2018,4,1850,-2,2139,-13,0,"","Endeavor Air Inc. "
"MSP",2018,10,1654,167,1854,153,0,"","Endeavor Air Inc. "
"LGA",2018,12,1705,-9,2100,-9,0,"","Endeavor Air Inc. "
"ATL",2018,11,940,-2,1223,0,0,"","Endeavor Air Inc. "
"ATL",2018,6,1845,-11,2136,-25,0,"","Endeavor Air Inc. "
"ATL",2018,9,1141,92,1437,77,0,"","Endeavor Air Inc. "
"ATL",2018,1,1530,-4,1817,-14,0,"","Endeavor Air Inc. "
"ATL",2018,9,946,-10,1236,-15,0,"","Endeavor Air Inc. "
"MSP",2018,10,1654,-4,1854,-20,0,"","Endeavor Air Inc. "
"ATL",2018,12,1151,-4,1442,-9,0,"","Endeavor Air Inc. "
"LGA",2018,10,1700,56,2100,39,0,"","Endeavor Air Inc. "
